종목,테스트,파라미터,시작연도,방향,시대 구간,날짜,종가,등락률(%),당시 순위,사건 번호,z-score,종가 1일,종가 2일,종가 3일,종가 1주,종가 2주,종가 1개월,익일시가 1일
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭락,전체,2003-01-29,7500.0,-3.23,2,1,-1.76,1.2,2.8,2.8,0.67,-2.0,-0.8,0.66
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭락,전체,2003-02-25,7690.0,-4.0,1,1,-2.15,-0.78,-1.95,-3.25,-3.12,-8.71,-5.72,-1.17
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭락,전체,2003-03-17,6800.0,-3.82,3,1,-1.89,4.26,4.71,9.26,9.56,3.24,16.03,0.71
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭락,전체,2003-03-31,7020.0,-3.44,4,1,-1.62,0.0,1.28,1.99,9.54,10.83,8.83,0.43
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭락,전체,2003-04-22,7890.0,-3.31,5,1,-1.52,-0.51,-2.41,-5.83,-3.17,0.0,-1.52,-1.26
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭락,전체,2003-04-25,7430.0,-3.51,4,1,-1.62,0.27,2.83,2.69,3.23,3.77,7.4,1.5
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭락,전체,2003-09-22,9140.0,-4.19,1,2,-3.44,0.66,1.42,-0.88,-2.63,1.75,10.28,0.99
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭락,전체,2003-10-23,9720.0,-3.57,5,3,-2.63,-0.41,1.03,3.7,5.35,5.45,2.88,-0.1
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭락,전체,2003-11-19,10010.0,-4.12,2,3,-2.75,-0.1,-0.1,-2.4,1.8,4.7,3.8,-0.7
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭락,전체,2004-04-29,11380.0,-4.37,1,4,-3.46,-1.67,-1.23,-0.26,-3.87,-13.09,-7.73,-0.8
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭락,전체,2004-05-10,10240.0,-6.4,1,4,-4.43,0.0,3.12,0.39,-7.91,0.49,-0.1,0.29
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭락,전체,2004-05-17,9430.0,-4.65,2,4,-2.6,2.23,7.53,4.88,9.12,11.35,1.7,4.22
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭락,전체,2004-06-03,9890.0,-4.17,5,4,-1.93,1.11,5.36,5.26,0.91,-1.72,-1.62,0.7
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭락,전체,2004-06-11,9490.0,-4.91,2,4,-2.14,-0.95,1.16,1.05,-0.21,5.69,0.84,-0.11
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭락,전체,2007-07-27,24005.0,-4.74,3,6,-4.64,1.02,2.06,-2.31,-1.06,-4.02,-3.06,2.52
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭락,전체,2007-08-10,23040.0,-4.56,5,6,-3.25,1.61,0.22,-5.84,-4.25,-0.59,2.0,1.47
