대상,격자 칸,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),1차 판정
KODEX 코스닥150,20일 → 말일,131,아래,53.44,0.18,23.7,제외
KODEX 코스닥150,20일 → 말일+1,131,아래,52.67,-0.09,-12.16,제외
KODEX 코스닥150,20일 → 말일+2,131,아래,51.91,-0.09,-11.16,제외
KODEX 코스닥150,20일 → 말일+3,130,위,52.31,0.22,28.46,제외
KODEX 코스닥150,20일 → 말일-1,131,아래,53.44,0.2,26.19,제외
KODEX 코스닥150,20일 → 말일-2,131,아래,54.96,0.43,56.28,제외
KODEX 코스닥150,20일 → 말일-3,130,아래,55.38,0.3,39.38,제외
KODEX 코스닥150,21일 → 말일,131,아래,54.2,-0.0,-0.47,제외
KODEX 코스닥150,21일 → 말일+1,131,아래,50.38,-0.28,-36.1,제외
KODEX 코스닥150,21일 → 말일+2,131,아래,51.15,-0.27,-35.19,제외
KODEX 코스닥150,21일 → 말일+3,130,위,54.62,0.36,46.84,제외
KODEX 코스닥150,21일 → 말일-1,131,위,49.62,-0.02,-2.1,제외
KODEX 코스닥150,21일 → 말일-2,130,아래,53.08,0.25,32.44,제외
KODEX 코스닥150,21일 → 말일-3,130,아래,53.08,0.12,15.3,제외
KODEX 코스닥150,22일 → 말일,131,아래,51.91,-0.07,-8.77,제외
KODEX 코스닥150,22일 → 말일+1,131,위,52.67,0.34,44.65,제외
KODEX 코스닥150,22일 → 말일+2,131,아래,49.62,-0.34,-43.94,제외
KODEX 코스닥150,22일 → 말일+3,130,위,56.92,0.42,55.2,제외
KODEX 코스닥150,22일 → 말일-1,131,위,53.44,0.05,6.06,제외
KODEX 코스닥150,22일 → 말일-2,130,아래,53.08,0.19,24.34,제외
KODEX 코스닥150,22일 → 말일-3,126,위,50.0,-0.06,-6.98,제외
KODEX 코스닥150,23일 → 말일,131,위,53.44,0.27,34.81,제외
KODEX 코스닥150,23일 → 말일+1,131,위,55.73,0.54,70.98,제외
KODEX 코스닥150,23일 → 말일+2,131,위,51.91,0.52,68.65,제외
KODEX 코스닥150,23일 → 말일+3,130,위,59.23,0.62,80.27,제외
KODEX 코스닥150,23일 → 말일-1,131,위,51.91,0.25,33.12,제외
KODEX 코스닥150,23일 → 말일-2,129,위,50.39,0.01,1.76,제외
KODEX 코스닥150,23일 → 말일-3,121,위,51.24,0.16,19.19,제외
KODEX 코스닥150,24일 → 말일,131,위,56.49,0.31,41.14,제외
KODEX 코스닥150,24일 → 말일+1,131,위,54.2,0.6,78.52,제외
KODEX 코스닥150,24일 → 말일+2,131,위,54.2,0.59,76.83,제외
KODEX 코스닥150,24일 → 말일+3,130,위,55.38,0.69,89.94,제외
KODEX 코스닥150,24일 → 말일-1,130,위,57.69,0.3,38.91,제외
KODEX 코스닥150,24일 → 말일-2,125,위,52.0,0.07,8.65,제외
KODEX 코스닥150,24일 → 말일-3,110,위,49.09,0.18,19.35,제외
KODEX 코스닥150,25일 → 말일,131,위,56.49,0.26,34.13,제외
KODEX 코스닥150,25일 → 말일+1,131,위,54.96,0.54,71.15,제외
KODEX 코스닥150,25일 → 말일+2,131,위,53.44,0.53,69.47,제외
KODEX 코스닥150,25일 → 말일+3,130,위,55.38,0.65,83.98,제외
KODEX 코스닥150,25일 → 말일-1,128,위,57.03,0.25,31.56,제외
KODEX 코스닥150,25일 → 말일-2,120,위,52.5,0.08,9.73,제외
KODEX 코스닥150,25일 → 말일-3,84,위,57.14,0.21,18.01,제외
KODEX 코스닥150선물인버스,15일 → 말일,121,아래,50.41,-0.13,-15.62,판정 안 함
KODEX 코스닥150선물인버스,15일 → 말일+1,121,아래,54.55,0.25,30.09,판정 안 함
KODEX 코스닥150선물인버스,15일 → 말일+2,121,아래,51.24,0.17,20.34,판정 안 함
KODEX 코스닥150선물인버스,15일 → 말일+3,120,아래,53.33,0.31,37.15,판정 안 함
KODEX 코스닥150선물인버스,15일 → 말일-1,121,아래,52.89,-0.13,-16.29,판정 안 함
KODEX 코스닥150선물인버스,15일 → 말일-2,121,아래,52.07,-0.43,-52.04,판정 안 함
KODEX 코스닥150선물인버스,15일 → 말일-3,121,위,50.41,0.18,21.4,판정 안 함
KODEX 코스닥150선물인버스,16일 → 말일,121,아래,50.41,-0.22,-26.36,판정 안 함
KODEX 코스닥150선물인버스,16일 → 말일+1,121,아래,50.41,0.16,18.84,판정 안 함
KODEX 코스닥150선물인버스,16일 → 말일+2,121,아래,52.07,0.08,9.45,판정 안 함
KODEX 코스닥150선물인버스,16일 → 말일+3,120,아래,55.83,0.22,26.24,판정 안 함
KODEX 코스닥150선물인버스,16일 → 말일-1,121,아래,52.07,-0.22,-26.22,판정 안 함
KODEX 코스닥150선물인버스,16일 → 말일-2,121,아래,55.37,-0.51,-61.79,판정 안 함
KODEX 코스닥150선물인버스,16일 → 말일-3,121,위,51.24,0.26,31.5,판정 안 함
KODEX 코스닥150선물인버스,17일 → 말일,121,위,50.41,0.22,27.2,판정 안 함
KODEX 코스닥150선물인버스,17일 → 말일+1,121,아래,50.41,0.15,17.62,판정 안 함
KODEX 코스닥150선물인버스,17일 → 말일+2,121,아래,54.55,0.07,8.34,판정 안 함
KODEX 코스닥150선물인버스,17일 → 말일+3,120,아래,57.5,0.21,25.43,판정 안 함
KODEX 코스닥150선물인버스,17일 → 말일-1,121,아래,51.24,-0.22,-27.15,판정 안 함
KODEX 코스닥150선물인버스,17일 → 말일-2,121,아래,54.55,-0.52,-63.11,판정 안 함
KODEX 코스닥150선물인버스,17일 → 말일-3,121,위,50.41,0.27,33.15,판정 안 함
KODEX 코스닥150선물인버스,18일 → 말일,121,위,51.24,0.13,15.25,판정 안 함
KODEX 코스닥150선물인버스,18일 → 말일+1,121,아래,50.41,0.25,30.09,판정 안 함
KODEX 코스닥150선물인버스,18일 → 말일+2,121,아래,51.24,0.17,20.18,판정 안 함
KODEX 코스닥150선물인버스,18일 → 말일+3,120,아래,53.33,0.27,32.74,판정 안 함
KODEX 코스닥150선물인버스,18일 → 말일-1,121,아래,52.89,-0.12,-14.95,판정 안 함
KODEX 코스닥150선물인버스,18일 → 말일-2,121,아래,50.41,-0.42,-50.77,판정 안 함
KODEX 코스닥150선물인버스,18일 → 말일-3,121,위,51.24,0.17,20.87,판정 안 함
KODEX 코스닥150선물인버스,19일 → 말일,121,위,52.07,0.09,10.5,판정 안 함
KODEX 코스닥150선물인버스,19일 → 말일+1,121,위,49.59,-0.29,-34.86,판정 안 함
KODEX 코스닥150선물인버스,19일 → 말일+2,121,아래,52.07,0.2,23.64,판정 안 함
KODEX 코스닥150선물인버스,19일 → 말일+3,120,아래,53.33,0.32,37.81,판정 안 함
KODEX 코스닥150선물인버스,19일 → 말일-1,121,아래,50.41,-0.08,-9.91,판정 안 함
KODEX 코스닥150선물인버스,19일 → 말일-2,121,위,51.24,0.38,45.69,판정 안 함
KODEX 코스닥150선물인버스,19일 → 말일-3,121,위,54.55,0.13,15.64,판정 안 함
KODEX 코스닥150선물인버스,20일 → 말일,121,위,52.89,0.13,15.29,판정 안 함
KODEX 코스닥150선물인버스,20일 → 말일+1,121,위,49.59,-0.24,-29.59,판정 안 함
KODEX 코스닥150선물인버스,20일 → 말일+2,121,위,49.59,-0.15,-18.42,판정 안 함
KODEX 코스닥150선물인버스,20일 → 말일+3,120,아래,55.0,0.29,35.16,판정 안 함
KODEX 코스닥150선물인버스,20일 → 말일-1,121,위,49.59,0.12,14.61,판정 안 함
KODEX 코스닥150선물인버스,20일 → 말일-2,121,위,49.59,0.42,50.9,판정 안 함
KODEX 코스닥150선물인버스,20일 → 말일-3,120,위,53.33,0.18,21.56,판정 안 함
KODEX 코스닥150선물인버스,21일 → 말일,121,위,50.41,-0.04,-4.7,판정 안 함
KODEX 코스닥150선물인버스,21일 → 말일+1,121,아래,51.24,0.41,49.55,판정 안 함
KODEX 코스닥150선물인버스,21일 → 말일+2,121,아래,50.41,0.32,38.34,판정 안 함
KODEX 코스닥150선물인버스,21일 → 말일+3,120,아래,55.0,0.41,49.55,판정 안 함
KODEX 코스닥150선물인버스,21일 → 말일-1,121,아래,52.07,0.05,5.53,판정 안 함
KODEX 코스닥150선물인버스,21일 → 말일-2,120,위,51.67,0.26,30.65,판정 안 함
KODEX 코스닥150선물인버스,21일 → 말일-3,120,위,50.0,0.0,0.51,판정 안 함
KODEX 코스닥150선물인버스,22일 → 말일,121,아래,52.07,0.11,13.18,판정 안 함
KODEX 코스닥150선물인버스,22일 → 말일+1,121,아래,56.2,0.48,57.73,판정 안 함
KODEX 코스닥150선물인버스,22일 → 말일+2,121,아래,51.24,0.38,46.2,판정 안 함
KODEX 코스닥150선물인버스,22일 → 말일+3,120,아래,54.17,0.48,57.87,판정 안 함
KODEX 코스닥150선물인버스,22일 → 말일-1,121,아래,54.55,0.12,14.31,판정 안 함
KODEX 코스닥150선물인버스,22일 → 말일-2,120,위,50.0,0.18,21.75,판정 안 함
KODEX 코스닥150선물인버스,22일 → 말일-3,116,아래,50.0,0.07,8.06,판정 안 함
KODEX 코스닥150선물인버스,23일 → 말일,121,아래,54.55,0.32,38.51,판정 안 함
KODEX 코스닥150선물인버스,23일 → 말일+1,121,아래,56.2,0.69,82.91,판정 안 함
KODEX 코스닥150선물인버스,23일 → 말일+2,121,아래,54.55,0.6,73.12,판정 안 함
KODEX 코스닥150선물인버스,23일 → 말일+3,120,아래,58.33,0.7,84.41,판정 안 함
KODEX 코스닥150선물인버스,23일 → 말일-1,121,아래,56.2,0.31,38.06,판정 안 함
KODEX 코스닥150선물인버스,23일 → 말일-2,119,아래,50.42,0.03,3.26,판정 안 함
KODEX 코스닥150선물인버스,23일 → 말일-3,111,아래,52.25,0.29,31.87,판정 안 함
KODEX 코스닥150선물인버스,24일 → 말일,121,아래,54.55,0.29,35.61,판정 안 함
KODEX 코스닥150선물인버스,24일 → 말일+1,121,아래,55.37,0.65,78.79,판정 안 함
KODEX 코스닥150선물인버스,24일 → 말일+2,121,아래,52.89,0.57,68.48,판정 안 함
KODEX 코스닥150선물인버스,24일 → 말일+3,120,아래,53.33,0.69,82.59,판정 안 함
KODEX 코스닥150선물인버스,24일 → 말일-1,120,아래,57.5,0.3,35.99,판정 안 함
KODEX 코스닥150선물인버스,24일 → 말일-2,115,아래,51.3,0.02,1.77,판정 안 함
KODEX 코스닥150선물인버스,24일 → 말일-3,102,아래,50.0,0.22,22.31,판정 안 함
KODEX 코스닥150선물인버스,25일 → 말일,121,아래,52.89,0.2,24.31,판정 안 함
KODEX 코스닥150선물인버스,25일 → 말일+1,121,아래,54.55,0.56,67.88,판정 안 함
KODEX 코스닥150선물인버스,25일 → 말일+2,121,아래,55.37,0.47,57.47,판정 안 함
KODEX 코스닥150선물인버스,25일 → 말일+3,120,아래,57.5,0.61,73.43,판정 안 함
KODEX 코스닥150선물인버스,25일 → 말일-1,118,아래,55.93,0.21,25.0,판정 안 함
KODEX 코스닥150선물인버스,25일 → 말일-2,111,아래,53.15,-0.0,-0.4,판정 안 함
KODEX 코스닥150선물인버스,25일 → 말일-3,77,아래,53.25,0.23,17.94,판정 안 함
코스닥150 지수,15일 → 말일,200,아래,50.5,0.11,22.6,판정 안 함
코스닥150 지수,15일 → 말일+1,200,위,53.5,0.1,19.53,판정 안 함
코스닥150 지수,15일 → 말일+2,200,위,52.0,0.13,25.08,판정 안 함
코스닥150 지수,15일 → 말일+3,200,위,51.5,0.15,30.5,판정 안 함
코스닥150 지수,15일 → 말일-1,200,위,50.5,-0.23,-46.0,판정 안 함
코스닥150 지수,15일 → 말일-2,200,아래,53.0,0.52,104.86,판정 안 함
코스닥150 지수,15일 → 말일-3,200,아래,52.0,0.35,70.13,판정 안 함
코스닥150 지수,16일 → 말일,200,위,50.0,-0.21,-41.73,판정 안 함
코스닥150 지수,16일 → 말일+1,200,위,51.5,0.0,0.92,판정 안 함
코스닥150 지수,16일 → 말일+2,200,위,52.0,0.03,6.02,판정 안 함
코스닥150 지수,16일 → 말일+3,200,위,51.5,0.06,11.54,판정 안 함
코스닥150 지수,16일 → 말일-1,200,아래,51.5,0.33,65.38,판정 안 함
코스닥150 지수,16일 → 말일-2,200,아래,52.5,0.62,124.4,판정 안 함
코스닥150 지수,16일 → 말일-3,200,아래,50.5,0.45,89.51,판정 안 함
코스닥150 지수,17일 → 말일,200,아래,51.0,0.21,41.11,판정 안 함
코스닥150 지수,17일 → 말일+1,200,위,50.5,0.01,1.92,판정 안 함
코스닥150 지수,17일 → 말일+2,200,위,52.5,0.04,7.15,판정 안 함
코스닥150 지수,17일 → 말일+3,200,위,53.0,0.06,12.4,판정 안 함
코스닥150 지수,17일 → 말일-1,200,위,50.0,-0.32,-64.61,판정 안 함
코스닥150 지수,17일 → 말일-2,200,아래,51.5,0.62,123.55,판정 안 함
코스닥150 지수,17일 → 말일-3,200,위,51.0,-0.44,-88.49,판정 안 함
코스닥150 지수,18일 → 말일,200,아래,50.5,0.16,31.88,판정 안 함
코스닥150 지수,18일 → 말일+1,200,위,51.5,0.05,10.26,판정 안 함
코스닥150 지수,18일 → 말일+2,200,위,52.0,0.08,15.86,판정 안 함
코스닥150 지수,18일 → 말일+3,200,위,51.5,0.11,21.01,판정 안 함
코스닥150 지수,18일 → 말일-1,200,아래,50.5,0.28,55.86,판정 안 함
코스닥150 지수,18일 → 말일-2,200,아래,52.0,0.57,114.85,판정 안 함
코스닥150 지수,18일 → 말일-3,200,아래,50.5,0.4,79.83,판정 안 함
코스닥150 지수,19일 → 말일,200,위,51.0,-0.06,-11.1,판정 안 함
코스닥150 지수,19일 → 말일+1,200,아래,50.5,-0.15,-30.36,판정 안 함
코스닥150 지수,19일 → 말일+2,200,위,50.0,0.19,37.31,판정 안 함
코스닥150 지수,19일 → 말일+3,200,위,51.5,0.21,41.23,판정 안 함
코스닥150 지수,19일 → 말일-1,200,아래,51.0,0.18,35.72,판정 안 함
코스닥150 지수,19일 → 말일-2,200,아래,56.0,0.48,95.04,판정 안 함
코스닥150 지수,19일 → 말일-3,200,아래,54.0,0.3,60.26,판정 안 함
코스닥150 지수,20일 → 말일,200,위,50.5,-0.09,-17.23,판정 안 함
코스닥150 지수,20일 → 말일+1,200,위,52.5,0.12,24.99,판정 안 함
코스닥150 지수,20일 → 말일+2,200,위,51.5,0.16,32.08,판정 안 함
코스닥150 지수,20일 → 말일+3,200,위,55.0,0.18,36.46,판정 안 함
코스닥150 지수,20일 → 말일-1,200,아래,51.0,0.21,41.41,판정 안 함
코스닥150 지수,20일 → 말일-2,200,아래,55.0,0.5,100.26,판정 안 함
코스닥150 지수,20일 → 말일-3,199,아래,53.27,0.33,64.86,판정 안 함
코스닥150 지수,21일 → 말일,200,위,50.0,-0.03,-6.74,판정 안 함
코스닥150 지수,21일 → 말일+1,200,위,53.0,0.18,35.25,판정 안 함
코스닥150 지수,21일 → 말일+2,200,위,52.0,0.21,42.54,판정 안 함
코스닥150 지수,21일 → 말일+3,200,위,56.0,0.23,46.53,판정 안 함
코스닥150 지수,21일 → 말일-1,200,아래,50.5,0.15,30.83,판정 안 함
코스닥150 지수,21일 → 말일-2,199,아래,53.27,0.45,89.94,판정 안 함
코스닥150 지수,21일 → 말일-3,199,아래,54.77,0.27,54.54,판정 안 함
코스닥150 지수,22일 → 말일,200,아래,51.0,-0.04,-7.69,판정 안 함
코스닥150 지수,22일 → 말일+1,200,위,53.0,0.25,49.88,판정 안 함
코스닥150 지수,22일 → 말일+2,200,위,52.0,0.29,57.33,판정 안 함
코스닥150 지수,22일 → 말일+3,200,위,56.5,0.3,60.81,판정 안 함
코스닥150 지수,22일 → 말일-1,200,아래,50.5,0.08,16.49,판정 안 함
코스닥150 지수,22일 → 말일-2,199,아래,54.27,0.38,75.75,판정 안 함
코스닥150 지수,22일 → 말일-3,195,아래,51.79,0.2,39.83,판정 안 함
코스닥150 지수,23일 → 말일,200,위,52.0,0.26,52.8,판정 안 함
코스닥150 지수,23일 → 말일+1,200,위,55.5,0.48,95.19,판정 안 함
코스닥150 지수,23일 → 말일+2,200,위,55.0,0.5,100.66,판정 안 함
코스닥150 지수,23일 → 말일+3,200,위,58.5,0.52,104.84,판정 안 함
코스닥150 지수,23일 → 말일-1,200,위,51.0,0.15,29.35,판정 안 함
코스닥150 지수,23일 → 말일-2,198,아래,52.02,0.16,30.88,판정 안 함
코스닥150 지수,23일 → 말일-3,187,아래,50.27,-0.03,-4.92,판정 안 함
코스닥150 지수,24일 → 말일,200,위,54.0,0.29,57.69,판정 안 함
코스닥150 지수,24일 → 말일+1,200,위,54.5,0.51,101.24,판정 안 함
코스닥150 지수,24일 → 말일+2,200,위,53.5,0.54,107.37,판정 안 함
코스닥150 지수,24일 → 말일+3,200,위,56.0,0.56,111.15,판정 안 함
코스닥150 지수,24일 → 말일-1,199,위,54.77,0.17,33.71,판정 안 함
코스닥150 지수,24일 → 말일-2,191,아래,50.79,0.14,25.79,판정 안 함
코스닥150 지수,24일 → 말일-3,170,아래,51.76,-0.01,-2.15,판정 안 함
코스닥150 지수,25일 → 말일,200,위,54.5,0.33,66.81,판정 안 함
코스닥150 지수,25일 → 말일+1,200,위,57.0,0.55,110.53,판정 안 함
코스닥150 지수,25일 → 말일+2,200,위,58.5,0.58,116.81,판정 안 함
코스닥150 지수,25일 → 말일+3,200,위,56.5,0.6,120.49,판정 안 함
코스닥150 지수,25일 → 말일-1,194,위,55.67,0.22,42.46,판정 안 함
코스닥150 지수,25일 → 말일-2,185,위,51.35,-0.05,-9.23,판정 안 함
코스닥150 지수,25일 → 말일-3,128,위,54.69,0.12,15.2,판정 안 함
코스닥 종합지수,15일 → 말일,362,아래,54.14,0.91,331.0,판정 안 함
코스닥 종합지수,15일 → 말일+1,362,아래,51.66,0.52,189.95,판정 안 함
코스닥 종합지수,15일 → 말일+2,362,아래,51.1,0.47,168.98,판정 안 함
코스닥 종합지수,15일 → 말일+3,362,아래,51.93,0.42,150.56,판정 안 함
코스닥 종합지수,15일 → 말일-1,362,아래,55.25,1.22,440.05,판정 안 함
코스닥 종합지수,15일 → 말일-2,362,아래,58.56,1.33,481.17,판정 안 함
코스닥 종합지수,15일 → 말일-3,362,아래,56.35,1.04,378.1,판정 안 함
코스닥 종합지수,16일 → 말일,362,아래,53.04,0.88,319.16,판정 안 함
코스닥 종합지수,16일 → 말일+1,362,아래,51.66,0.49,177.63,판정 안 함
코스닥 종합지수,16일 → 말일+2,362,위,50.0,-0.43,-156.84,판정 안 함
코스닥 종합지수,16일 → 말일+3,362,아래,51.38,0.38,138.72,판정 안 함
코스닥 종합지수,16일 → 말일-1,362,아래,56.91,1.18,428.49,판정 안 함
코스닥 종합지수,16일 → 말일-2,362,아래,57.73,1.3,470.85,판정 안 함
코스닥 종합지수,16일 → 말일-3,362,아래,54.42,1.01,367.21,판정 안 함
코스닥 종합지수,17일 → 말일,362,아래,53.31,0.66,238.4,판정 안 함
코스닥 종합지수,17일 → 말일+1,362,아래,50.55,0.27,96.17,판정 안 함
코스닥 종합지수,17일 → 말일+2,362,위,50.28,-0.21,-75.76,판정 안 함
코스닥 종합지수,17일 → 말일+3,362,위,50.55,-0.16,-57.52,판정 안 함
코스닥 종합지수,17일 → 말일-1,362,아래,54.97,0.96,349.1,판정 안 함
코스닥 종합지수,17일 → 말일-2,362,아래,56.35,1.08,391.86,판정 안 함
코스닥 종합지수,17일 → 말일-3,362,아래,53.31,0.79,287.3,판정 안 함
코스닥 종합지수,18일 → 말일,362,아래,52.21,0.53,193.59,판정 안 함
코스닥 종합지수,18일 → 말일+1,362,위,51.1,-0.15,-52.69,판정 안 함
코스닥 종합지수,18일 → 말일+2,362,위,51.1,-0.09,-32.64,판정 안 함
코스닥 종합지수,18일 → 말일+3,362,위,51.38,-0.04,-13.12,판정 안 함
코스닥 종합지수,18일 → 말일-1,362,아래,53.59,0.84,305.74,판정 안 함
코스닥 종합지수,18일 → 말일-2,362,아래,56.08,0.96,349.07,판정 안 함
코스닥 종합지수,18일 → 말일-3,362,아래,53.31,0.68,245.39,판정 안 함
코스닥 종합지수,19일 → 말일,362,아래,54.14,0.43,155.4,판정 안 함
코스닥 종합지수,19일 → 말일+1,362,위,50.55,-0.04,-14.12,판정 안 함
코스닥 종합지수,19일 → 말일+2,362,위,52.21,0.02,6.9,판정 안 함
코스닥 종합지수,19일 → 말일+3,362,위,51.1,0.08,27.23,판정 안 함
코스닥 종합지수,19일 → 말일-1,362,아래,54.42,0.74,268.85,판정 안 함
코스닥 종합지수,19일 → 말일-2,362,아래,58.56,0.86,312.77,판정 안 함
코스닥 종합지수,19일 → 말일-3,362,아래,55.8,0.58,208.45,판정 안 함
코스닥 종합지수,20일 → 말일,362,아래,51.1,0.38,138.72,판정 안 함
코스닥 종합지수,20일 → 말일+1,362,아래,50.55,-0.0,-1.62,판정 안 함
코스닥 종합지수,20일 → 말일+2,362,위,51.1,0.06,21.94,판정 안 함
코스닥 종합지수,20일 → 말일+3,362,위,53.04,0.12,42.88,판정 안 함
코스닥 종합지수,20일 → 말일-1,362,아래,56.08,0.7,251.81,판정 안 함
코스닥 종합지수,20일 → 말일-2,362,아래,58.01,0.82,295.32,판정 안 함
코스닥 종합지수,20일 → 말일-3,359,아래,53.76,0.53,189.75,판정 안 함
코스닥 종합지수,21일 → 말일,362,아래,52.49,0.36,132.08,판정 안 함
코스닥 종합지수,21일 → 말일+1,362,위,50.55,0.02,7.01,판정 안 함
코스닥 종합지수,21일 → 말일+2,362,위,51.1,0.08,27.49,판정 안 함
코스닥 종합지수,21일 → 말일+3,362,위,53.31,0.14,48.96,판정 안 함
코스닥 종합지수,21일 → 말일-1,362,아래,55.8,0.68,245.06,판정 안 함
코스닥 종합지수,21일 → 말일-2,359,아래,55.99,0.8,288.07,판정 안 함
코스닥 종합지수,21일 → 말일-3,359,아래,54.04,0.52,186.57,판정 안 함
코스닥 종합지수,22일 → 말일,362,아래,50.28,0.15,54.92,판정 안 함
코스닥 종합지수,22일 → 말일+1,362,위,53.59,0.24,86.06,판정 안 함
코스닥 종합지수,22일 → 말일+2,362,위,53.59,0.3,107.8,판정 안 함
코스닥 종합지수,22일 → 말일+3,362,위,54.97,0.36,130.96,판정 안 함
코스닥 종합지수,22일 → 말일-1,361,아래,54.02,0.47,169.78,판정 안 함
코스닥 종합지수,22일 → 말일-2,359,아래,54.87,0.61,219.7,판정 안 함
코스닥 종합지수,22일 → 말일-3,352,아래,52.56,0.34,119.03,판정 안 함
코스닥 종합지수,23일 → 말일,362,위,54.14,0.16,57.51,판정 안 함
코스닥 종합지수,23일 → 말일+1,362,위,57.18,0.55,200.11,판정 안 함
코스닥 종합지수,23일 → 말일+2,362,위,55.25,0.61,221.18,판정 안 함
코스닥 종합지수,23일 → 말일+3,362,위,56.91,0.68,245.01,판정 안 함
코스닥 종합지수,23일 → 말일-1,361,위,52.08,-0.16,-57.08,판정 안 함
코스닥 종합지수,23일 → 말일-2,356,아래,52.81,0.31,108.84,판정 안 함
코스닥 종합지수,23일 → 말일-3,334,위,50.0,-0.03,-9.68,판정 안 함
코스닥 종합지수,24일 → 말일,362,위,54.7,0.25,88.96,판정 안 함
코스닥 종합지수,24일 → 말일+1,362,위,56.91,0.64,233.48,판정 안 함
코스닥 종합지수,24일 → 말일+2,362,위,57.73,0.71,255.62,판정 안 함
코스닥 종합지수,24일 → 말일+3,362,위,56.35,0.77,279.63,판정 안 함
코스닥 종합지수,24일 → 말일-1,358,위,51.96,-0.07,-26.14,판정 안 함
코스닥 종합지수,24일 → 말일-2,342,아래,52.05,0.22,76.29,판정 안 함
코스닥 종합지수,24일 → 말일-3,307,위,50.49,0.05,13.86,판정 안 함
코스닥 종합지수,25일 → 말일,362,위,55.52,0.28,100.69,판정 안 함
코스닥 종합지수,25일 → 말일+1,362,위,58.84,0.68,246.48,판정 안 함
코스닥 종합지수,25일 → 말일+2,362,위,59.12,0.74,268.9,판정 안 함
코스닥 종합지수,25일 → 말일+3,362,위,56.63,0.81,292.24,판정 안 함
코스닥 종합지수,25일 → 말일-1,350,위,52.57,-0.04,-13.12,판정 안 함
코스닥 종합지수,25일 → 말일-2,333,아래,50.75,0.17,57.8,판정 안 함
코스닥 종합지수,25일 → 말일-3,234,위,55.13,0.11,26.7,판정 안 함
