대상,월,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),1차 판정
코스닥 종합지수,2,30,아래,56.67,1.01,30.33,판정 안 함
코스닥 종합지수,3,30,위,56.67,0.71,21.3,판정 안 함
코스닥 종합지수,4,30,아래,66.67,1.25,37.37,판정 안 함
코스닥 종합지수,5,30,위,70.0,1.28,38.42,판정 안 함
코스닥 종합지수,6,30,아래,66.67,0.9,27.1,판정 안 함
코스닥 종합지수,7,31,아래,58.06,1.72,53.33,판정 안 함
코스닥 종합지수,8,31,위,51.61,0.91,28.15,판정 안 함
코스닥 종합지수,9,30,아래,70.0,2.17,65.03,판정 안 함
코스닥 종합지수,10,30,위,50.0,-1.2,-35.87,판정 안 함
코스닥 종합지수,11,30,위,56.67,0.15,4.58,판정 안 함
코스닥 종합지수,12,30,위,63.33,0.45,13.4,판정 안 함
