종목,월,방향,손절선(%),손절적용,구간,신호,제외,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),질 때 표본,최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,구간 시작일,구간 종료일
KODEX 코스닥150,1,아래,-7.0,가능,뒤 절반,6,0,7.87,1.31,50.0,1.707,36.94,3,9.6,-7.0,6.08,0,1,5.83,아니오,2021-01-20,2026-01-20
KODEX 코스닥150,1,아래,-7.0,가능,최근 10년,10,0,8.15,0.82,50.0,1.443,40.93,5,9.6,-7.0,5.35,0,1,6.4,예,2017-01-20,2026-01-20
KODEX 코스닥150,1,아래,-7.0,가능,최근 5년,5,0,3.36,0.67,40.0,1.953,33.86,3,9.6,-7.0,6.57,0,1,5.6,아니오,2022-01-20,2026-01-20
KODEX 코스닥150,1,아래,-8.0,가능,전체,11,0,6.03,0.55,45.45,1.553,39.18,6,9.6,-8.0,5.27,0,1,6.45,예,2016-01-20,2026-01-20
KODEX 코스닥150,1,아래,-8.0,가능,앞 절반,5,0,-0.84,-0.17,40.0,1.35,42.55,3,6.46,-3.7,4.2,0,0,7.2,아니오,2016-01-20,2020-01-20
KODEX 코스닥150,1,아래,-8.0,가능,뒤 절반,6,0,6.87,1.14,50.0,1.566,38.97,3,9.6,-8.0,6.36,0,1,5.83,아니오,2021-01-20,2026-01-20
KODEX 코스닥150,1,아래,-8.0,가능,최근 10년,10,0,7.15,0.72,50.0,1.369,42.22,5,9.6,-8.0,5.52,0,1,6.4,예,2017-01-20,2026-01-20
KODEX 코스닥150,1,아래,-8.0,가능,최근 5년,5,0,2.36,0.47,40.0,1.792,35.81,3,9.6,-8.0,6.87,0,1,5.6,아니오,2022-01-20,2026-01-20
KODEX 코스닥150,1,아래,-9.0,가능,전체,11,0,5.03,0.46,45.45,1.48,40.32,6,9.6,-9.0,5.44,0,1,6.45,예,2016-01-20,2026-01-20
KODEX 코스닥150,1,아래,-9.0,가능,앞 절반,5,0,-0.84,-0.17,40.0,1.35,42.55,3,6.46,-3.7,4.2,0,0,7.2,아니오,2016-01-20,2020-01-20
KODEX 코스닥150,1,아래,-9.0,가능,뒤 절반,6,0,5.87,0.98,50.0,1.447,40.87,3,9.6,-9.0,6.65,0,1,5.83,아니오,2021-01-20,2026-01-20
KODEX 코스닥150,1,아래,-9.0,가능,최근 10년,10,0,6.15,0.62,50.0,1.301,43.45,5,9.6,-9.0,5.7,0,1,6.4,예,2017-01-20,2026-01-20
KODEX 코스닥150,1,아래,-9.0,가능,최근 5년,5,0,1.36,0.27,40.0,1.656,37.65,3,9.6,-9.0,7.18,0,1,5.6,아니오,2022-01-20,2026-01-20
KODEX 코스닥150,1,아래,-10.0,가능,전체,11,0,4.03,0.37,45.45,1.415,41.41,6,9.6,-10.0,5.61,0,1,6.45,예,2016-01-20,2026-01-20
KODEX 코스닥150,1,아래,-10.0,가능,앞 절반,5,0,-0.84,-0.17,40.0,1.35,42.55,3,6.46,-3.7,4.2,0,0,7.2,아니오,2016-01-20,2020-01-20
KODEX 코스닥150,1,아래,-10.0,가능,뒤 절반,6,0,4.87,0.81,50.0,1.345,42.65,3,9.6,-10.0,6.96,0,1,5.83,아니오,2021-01-20,2026-01-20
KODEX 코스닥150,1,아래,-10.0,가능,최근 10년,10,0,5.15,0.52,50.0,1.241,44.63,5,9.6,-10.0,5.9,0,1,6.4,예,2017-01-20,2026-01-20
KODEX 코스닥150,1,아래,-10.0,가능,최근 5년,5,0,0.36,0.07,40.0,1.539,39.39,3,9.6,-10.0,7.51,0,1,5.6,아니오,2022-01-20,2026-01-20
KODEX 코스닥150,1,아래,무손절,가능,전체,11,0,-12.36,-1.12,45.45,0.819,54.98,6,9.6,-26.39,9.48,0,0,6.82,예,2016-01-20,2026-01-20
KODEX 코스닥150,1,아래,무손절,가능,앞 절반,5,0,-0.84,-0.17,40.0,1.35,42.55,3,6.46,-3.7,4.2,0,0,7.2,아니오,2016-01-20,2020-01-20
