Date,Value
2019-05-22,10179.1
2019-05-23,10129.08
2019-05-24,10081.9
2019-05-27,10034.8
2019-05-28,10067.92
2019-05-29,10207.05
2019-05-30,10113.26
2019-05-31,10152.22
2019-06-03,9997.61
2019-06-04,10003.84
2019-06-05,9945.04
2019-06-07,9993.35
2019-06-10,10059.24
2019-06-11,9985.41
2019-06-12,10019.61
2019-06-13,10014.16
2019-06-14,10047.36
2019-06-17,10084.04
2019-06-18,10072.49
2019-06-19,9917.6
2019-06-20,9674.74
2019-06-21,9680.35
2019-06-24,9579.7
2019-06-25,9579.16
2019-06-26,9586.16
2019-06-27,9608.03
2019-06-28,9563.31
2019-07-01,9619.89
2019-07-02,9744.09
2019-07-03,9828.68
2019-07-04,9803.91
2019-07-05,9833.83
2019-07-08,10024.69
2019-07-09,9984.07
2019-07-10,10029.54
2019-07-11,9871.54
2019-07-12,9968.85
2019-07-15,9975.59
2019-07-16,9953.36
2019-07-17,10011.08
2019-07-18,9963.66
2019-07-19,9898.74
2019-07-22,9967.87
2019-07-23,9971.05
2019-07-24,9947.9
2019-07-25,10019.39
2019-07-26,10066.25
2019-07-29,10052.17
2019-07-30,10035.56
2019-07-31,10048.31
2019-08-01,10143.36
2019-08-02,10312.04
2019-08-05,10620.71
2019-08-06,10610.38
2019-08-07,10611.03
2019-08-08,10498.87
2019-08-09,10541.3
2019-08-12,10635.92
2019-08-13,10761.26
2019-08-14,10576.3
2019-08-16,10542.09
2019-08-19,10524.87
2019-08-20,10488.73
2019-08-21,10381.8
2019-08-22,10478.64
2019-08-23,10570.48
2019-08-26,10671.82
2019-08-27,10564.65
2019-08-28,10594.69
2019-08-29,10639.74
2019-08-30,10554.75
2019-09-02,10545.96
2019-09-03,10637.21
2019-09-04,10499.76
2019-09-05,10358.47
2019-09-06,10281.77
2019-09-09,10240.68
2019-09-10,10245.86
2019-09-11,10198.68
2019-09-16,10061.49
2019-09-17,10197.94
2019-09-18,10210.76
2019-09-19,10265.09
2019-09-20,10163.44
2019-09-23,10274.54
2019-09-24,10296.03
2019-09-25,10339.11
2019-09-26,10353.39
2019-09-27,10371.2
2019-09-30,10322.07
2019-10-01,10369.92
2019-10-02,10493.28
2019-10-04,10304.28
2019-10-07,10325.62
2019-10-08,10282.86
2019-10-10,10316.4
2019-10-11,10190.13
2019-10-14,10113.18
