Date,Value
2025-04-28,6656.48
2025-04-29,6492.93
2025-04-30,6713.05
2025-05-02,6535.83
2025-05-07,6638.71
2025-05-08,6533.1
2025-05-09,6729.03
2025-05-12,6660.99
2025-05-13,6503.87
2025-05-14,6470.25
2025-05-15,6594.15
2025-05-16,6765.02
2025-05-19,6965.47
2025-05-20,7020.26
2025-05-21,6827.98
2025-05-22,6885.92
2025-05-23,6881.2
2025-05-26,6711.96
2025-05-27,6543.59
2025-05-28,6507.49
2025-05-29,6445.3
2025-05-30,6412.98
2025-06-02,6297.02
2025-06-04,6233.02
2025-06-05,6154.01
2025-06-09,5971.62
2025-06-10,5794.2
2025-06-11,5511.67
2025-06-12,5514.57
2025-06-13,5856.37
2025-06-16,5782.54
2025-06-17,5822.23
2025-06-18,5769.71
2025-06-19,5715.18
2025-06-20,5521.71
2025-06-23,5702.99
2025-06-24,5392.51
2025-06-25,5430.76
2025-06-26,5580.6
2025-06-27,5662.58
2025-06-30,5673.22
2025-07-01,5701.15
2025-07-02,5601.54
2025-07-03,5413.57
2025-07-04,5728.16
2025-07-07,5637.34
2025-07-08,5606.61
2025-07-09,5516.37
2025-07-10,5375.98
2025-07-11,5324.13
2025-07-14,5355.78
2025-07-15,5042.7
2025-07-16,5054.11
2025-07-17,4873.62
2025-07-18,4818.06
2025-07-21,4811.03
2025-07-22,4928.74
2025-07-23,4871.57
2025-07-24,4888.8
2025-07-25,4963.42
2025-07-28,4927.46
2025-07-29,4982.04
2025-07-30,5014.65
2025-07-31,4957.58
2025-08-01,5434.06
2025-08-04,5246.06
2025-08-05,4995.13
2025-08-06,4929.09
2025-08-07,4954.06
2025-08-08,4905.0
2025-08-11,4828.93
2025-08-12,4930.19
2025-08-13,4723.97
2025-08-14,4723.29
2025-08-18,4901.41
2025-08-19,5102.83
2025-08-20,5204.56
2025-08-21,5252.34
2025-08-22,5190.58
2025-08-25,4931.59
2025-08-26,4906.14
2025-08-27,4912.2
2025-08-28,4979.26
2025-08-29,5051.37
2025-09-01,5154.52
2025-09-02,5041.33
2025-09-03,5042.32
2025-09-04,4924.46
2025-09-05,4827.4
2025-09-08,4742.48
2025-09-09,4736.51
2025-09-10,4653.22
2025-09-11,4605.92
2025-09-12,4390.04
2025-09-15,4366.03
2025-09-16,4389.37
2025-09-17,4465.21
2025-09-18,4359.4
2025-09-19,4276.69
2025-09-22,4102.26
2025-09-23,4172.46
2025-09-24,4318.06
2025-09-25,4429.4
2025-09-26,4558.1
2025-09-29,4425.77
2025-09-30,4493.29
2025-10-01,4471.77
2025-10-02,4402.48
2025-10-10,4411.02
2025-10-13,4402.29
2025-10-14,4526.2
2025-10-15,4395.42
2025-10-16,4361.02
2025-10-17,4270.7
2025-10-20,4084.87
2025-10-21,4077.86
2025-10-22,3992.42
2025-10-23,4095.33
2025-10-24,3959.71
2025-10-27,3665.61
2025-10-28,3664.81
2025-10-29,3709.8
2025-10-30,3783.51
2025-10-31,3699.33
2025-11-03,3521.27
2025-11-04,3330.04
2025-11-05,3572.8
2025-11-06,3541.47
2025-11-07,3759.91
2025-11-10,3717.99
2025-11-11,3740.94
2025-11-12,3459.1
2025-11-13,3333.14
2025-11-14,3505.78
2025-11-17,3448.79
2025-11-18,3645.92
2025-11-19,3734.59
2025-11-20,3499.23
2025-11-21,3747.11
2025-11-24,3883.27
2025-11-25,3888.66
2025-11-26,3684.7
2025-11-27,3663.58
2025-11-28,3341.76
2025-12-01,3221.74
2025-12-02,3243.74
2025-12-03,3249.52
