날짜,종가,NAV,괴리율
2018-11-08,8790,8784.58,0.06
2018-11-09,8955,8959.79,-0.05
2018-11-12,9045,9066.93,-0.24
2018-11-13,9030,9051.25,-0.23
2018-11-14,9055,9072.84,-0.2
2018-11-15,8980,8992.32,-0.14
2018-11-16,8985,8982.42,0.03
2018-11-19,8970,8973.48,-0.04
2018-11-20,8935,8943.93,-0.1
2018-11-21,9000,9008.53,-0.09
2018-11-22,8990,8988.36,0.02
2018-11-23,9000,9004.6,-0.05
2018-11-26,8985,8984.14,0.01
2018-11-27,8980,8996.49,-0.18
2018-11-28,8950,8948.87,0.01
2018-11-29,8835,8841.98,-0.08
2018-11-30,8855,8856.42,-0.02
2018-12-03,8700,8694.31,0.07
2018-12-04,8620,8636.23,-0.19
2018-12-05,8750,8748.48,0.02
2018-12-06,8845,8854.61,-0.11
2018-12-07,8835,8834.63,0.0
2018-12-10,8945,8955.1,-0.11
2018-12-11,8990,9010.88,-0.23
2018-12-12,8970,8978.13,-0.09
2018-12-13,8890,8908.06,-0.2
2018-12-14,9005,9011.87,-0.08
2018-12-17,9015,9022.14,-0.08
2018-12-18,9000,9011.13,-0.12
2018-12-19,8900,8920.15,-0.23
2018-12-20,8975,8973.08,0.02
2018-12-21,8905,8915.36,-0.12
2018-12-24,8940,8955.86,-0.18
2018-12-26,8940,8972.85,-0.37
2018-12-27,8880,8885.14,-0.06
2018-12-28,8825,8822.49,0.03
2019-01-02,8870,8870.41,-0.0
2019-01-03,9005,9006.79,-0.02
2019-01-04,8950,8965.04,-0.17
2019-01-07,8855,8850.87,0.05
2019-01-08,8925,8944.98,-0.22
2019-01-09,8910,8917.17,-0.08
2019-01-10,8860,8865.24,-0.06
2019-01-11,8825,8831.53,-0.07
2019-01-14,8930,8934.84,-0.05
2019-01-15,8895,8904.21,-0.1
2019-01-16,8890,8884.25,0.06
2019-01-17,8930,8930.0,0.0
2019-01-18,8915,8928.5,-0.15
2019-01-21,9005,9016.67,-0.13
2019-01-22,9055,9070.1,-0.17
2019-01-23,9010,9023.6,-0.15
2019-01-24,9030,9039.33,-0.1
2019-01-25,8915,8915.01,-0.0
2019-01-28,8855,8862.24,-0.08
2019-01-29,8840,8846.19,-0.07
2019-01-30,8840,8838.95,0.01
2019-01-31,8775,8778.58,-0.04
2019-02-01,8870,8879.44,-0.11
2019-02-07,8965,8954.51,0.12
2019-02-08,8955,8959.66,-0.05
2019-02-11,8965,8970.2,-0.06
2019-02-12,8955,8965.01,-0.11
2019-02-13,8920,8930.98,-0.12
2019-02-14,8980,8993.03,-0.14
2019-02-15,9030,9051.19,-0.23
2019-02-18,8985,8996.21,-0.12
2019-02-19,9030,9040.7,-0.12
2019-02-20,8955,8961.82,-0.08
2019-02-21,8990,8991.97,-0.02
2019-02-22,8995,8990.97,0.04
2019-02-25,8920,8915.84,0.05
2019-02-26,8890,8882.06,0.09
2019-02-27,8890,8908.76,-0.21
2019-02-28,8975,8977.42,-0.03
2019-03-04,8980,8994.81,-0.16
2019-03-05,8985,8997.11,-0.13
2019-03-06,9050,9054.24,-0.05
2019-03-07,9060,9051.64,0.09
2019-03-08,9165,9174.06,-0.1
2019-03-11,9145,9136.69,0.09
2019-03-12,9070,9074.99,-0.05
2019-03-13,9115,9120.72,-0.06
2019-03-14,9155,9154.22,0.01
2019-03-15,9180,9199.78,-0.22
2019-03-18,9105,9118.6,-0.15
2019-03-19,9095,9093.7,0.01
2019-03-20,9080,9082.08,-0.02
2019-03-21,9040,9048.16,-0.09
2019-03-22,9085,9076.95,0.09
2019-03-25,9145,9154.19,-0.1
2019-03-26,9145,9138.88,0.07
2019-03-27,9165,9157.02,0.09
2019-03-28,9200,9193.11,0.07
2019-03-29,9175,9177.06,-0.02
2019-04-01,9145,9155.21,-0.11
2019-04-02,9190,9196.73,-0.07
2019-04-03,9165,9166.57,-0.02
2019-04-04,9200,9194.16,0.06
2019-04-05,9200,9204.49,-0.05
2019-04-08,9320,9322.15,-0.02
2019-04-09,9290,9287.05,0.03
2019-04-10,9240,9246.55,-0.07
2019-04-11,9235,9239.81,-0.05
2019-04-12,9240,9263.81,-0.26
2019-04-15,9150,9156.4,-0.07
2019-04-16,9195,9199.19,-0.05
2019-04-17,9180,9181.22,-0.01
2019-04-18,9210,9210.83,-0.01
2019-04-19,9215,9210.87,0.04
2019-04-22,9290,9298.2,-0.09
2019-04-23,9295,9299.8,-0.05
2019-04-24,9425,9437.8,-0.14
2019-04-25,9590,9609.8,-0.21
2019-04-26,9610,9605.94,0.04
2019-04-29,9570,9586.78,-0.18
2019-04-30,9730,9757.97,-0.29
2019-05-02,9695,9696.61,-0.02
2019-05-03,9765,9769.49,-0.05
2019-05-07,9715,9719.9,-0.05
2019-05-08,9755,9761.31,-0.06
2019-05-09,9925,9938.08,-0.13
2019-05-10,9880,9895.47,-0.16
2019-05-13,10065,10064.18,0.01
2019-05-14,10100,10091.78,0.08
2019-05-15,10095,10084.85,0.1
2019-05-16,10125,10128.05,-0.03
2019-05-17,10205,10189.66,0.15
2019-05-20,10185,10188.99,-0.04
2019-05-21,10195,10197.85,-0.03
2019-05-22,10175,10179.1,-0.04
2019-05-23,10110,10129.08,-0.19
2019-05-24,10080,10081.9,-0.02
2019-05-27,10025,10034.8,-0.1
2019-05-28,10060,10067.92,-0.08
2019-05-29,10200,10207.05,-0.07
2019-05-30,10110,10113.26,-0.03
2019-05-31,10140,10152.22,-0.12
2019-06-03,9995,9997.61,-0.03
2019-06-04,10000,10003.84,-0.04
2019-06-05,9940,9945.04,-0.05
2019-06-07,9985,9993.35,-0.08
2019-06-10,10045,10059.24,-0.14
2019-06-11,9975,9985.41,-0.1
2019-06-12,10015,10019.61,-0.05
2019-06-13,10005,10014.16,-0.09
2019-06-14,10045,10047.36,-0.02
2019-06-17,10080,10084.04,-0.04
2019-06-18,10065,10072.49,-0.07
2019-06-19,9905,9917.6,-0.13
2019-06-20,9665,9674.74,-0.1
2019-06-21,9695,9680.35,0.15
2019-06-24,9580,9579.7,0.0
2019-06-25,9580,9579.16,0.01
2019-06-26,9580,9586.16,-0.06
2019-06-27,9610,9608.03,0.02
2019-06-28,9560,9563.31,-0.03
