대상,월,시기,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 평균(%),내린 평균(%),오른 건수,내린 건수,기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),기준선 오른 평균(%),기준선 내린 평균(%),기준선 오른 건수,기준선 내린 건수,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
코스피200 지수,12,앞 절반,18,0,18,0.48,0.17,66.67,33.33,8.8,-11.44,4.88,2.92,4.41,12,6,335,0,335,0.48,0.72,59.1,40.9,26.94,-14.6,5.79,3.99,4.58,198,137,-0.0,-0.55,7.56,-7.56,0.976,0.5714,0.6314,0.6314,,False,예
코스피200 지수,12,뒤 절반,18,0,18,0.32,-0.24,44.44,55.56,6.61,-5.03,2.79,2.64,1.53,8,10,331,0,331,0.52,0.09,51.36,48.34,10.47,-9.6,3.38,3.03,2.14,170,160,-0.2,-0.33,-6.92,7.22,0.8402,0.5814,0.6254,0.6174,,True,예
코스피200 지수,12,최근 10년,10,0,10,0.7,-0.24,40.0,60.0,6.61,-4.26,3.12,3.59,1.22,4,6,193,0,193,0.83,-0.11,48.19,51.3,10.47,-9.6,3.85,4.01,2.16,93,99,-0.12,-0.13,-8.19,8.7,0.9411,0.6823,0.7453,0.7453,,True,예
코스피200 지수,12,최근 5년,5,0,5,1.03,0.72,60.0,40.0,6.61,-4.26,3.94,3.19,2.21,3,2,98,0,98,0.31,-0.43,45.92,54.08,9.39,-9.6,4.38,4.29,3.07,45,53,0.72,1.15,14.08,-14.08,,,,,표본 부족으로 검정 불가,False,아니오
코스피 종합지수,1,앞 절반,23,0,23,1.53,1.82,65.22,34.78,8.66,-6.85,4.4,4.07,3.25,15,8,491,0,491,2.69,1.32,62.53,37.27,47.18,-10.87,7.02,5.95,2.77,307,183,-1.16,0.5,2.69,-2.49,0.4466,0.7443,0.8222,0.8222,,False,예
코스피 종합지수,1,뒤 절반,24,0,24,-0.45,0.04,50.0,50.0,6.93,-6.96,4.02,2.65,3.56,12,12,450,0,450,-0.04,-0.14,46.67,53.33,21.23,-12.83,4.49,3.31,2.97,210,240,-0.41,0.18,3.33,-3.33,0.6324,0.7433,0.8282,0.8282,,False,예
코스피 종합지수,1,최근 10년,10,0,10,-0.3,0.54,60.0,40.0,6.93,-6.96,4.42,2.48,4.46,6,4,195,0,195,0.54,0.16,53.85,46.15,21.23,-10.9,5.43,4.16,3.68,105,90,-0.84,0.38,6.15,-6.15,0.6084,0.8741,0.7463,0.7463,,True,예
코스피 종합지수,1,최근 5년,5,0,5,0.42,0.98,60.0,40.0,6.93,-6.96,4.95,3.05,3.53,3,2,96,0,96,1.02,0.77,55.21,44.79,21.23,-10.9,6.53,5.18,4.12,53,43,-0.6,0.21,4.79,-4.79,,,,,표본 부족으로 검정 불가,False,아니오
코스피 종합지수,2,앞 절반,23,0,23,-0.7,0.04,52.17,47.83,7.06,-7.64,3.63,1.97,3.62,12,11,470,0,470,-0.45,-0.56,44.47,55.32,18.5,-15.13,4.75,3.51,3.63,209,260,-0.26,0.61,7.71,-7.49,0.7453,0.5305,0.5145,0.5165,,True,예
코스피 종합지수,2,뒤 절반,24,0,24,-0.62,0.03,54.17,45.83,7.5,-9.5,3.24,1.47,3.09,13,11,411,0,411,0.05,0.15,52.55,47.45,26.15,-12.17,4.64,2.82,3.03,216,195,-0.66,-0.11,1.61,-1.61,0.4605,0.8841,1.0,1.0,,True,예
코스피 종합지수,2,최근 10년,10,0,10,-1.43,-1.6,30.0,70.0,7.5,-9.5,4.28,2.78,3.23,3,7,177,0,177,-0.45,-0.82,33.9,66.1,26.15,-11.44,5.74,4.36,2.92,60,117,-0.98,-0.77,-3.9,3.9,0.5544,0.4356,1.0,1.0,,False,예
코스피 종합지수,2,최근 5년,5,0,5,-0.2,-1.65,20.0,80.0,7.5,-4.57,4.55,7.5,2.13,1,4,89,0,89,1.59,-0.44,37.08,62.92,26.15,-5.19,6.58,7.26,1.76,33,56,-1.79,-1.21,-17.08,17.08,,,,,표본 부족으로 검정 불가,False,아니오
코스피 종합지수,3,앞 절반,23,0,23,0.96,0.91,60.87,39.13,10.04,-8.54,3.78,3.03,2.26,14,9,514,0,514,1.36,0.97,60.7,39.3,19.91,-16.25,4.94,4.14,2.94,312,202,-0.4,-0.06,0.17,-0.17,0.7383,0.973,1.0,1.0,,False,예
코스피 종합지수,3,뒤 절반,24,0,24,0.53,0.49,66.67,33.33,12.04,-12.61,4.63,2.71,3.84,16,8,469,0,469,0.83,0.97,68.23,31.77,20.38,-15.86,4.24,2.72,3.23,320,149,-0.31,-0.48,-1.56,1.56,0.7193,0.3497,1.0,1.0,,False,예
코스피 종합지수,3,최근 10년,10,0,10,-0.08,0.43,60.0,40.0,12.04,-12.61,6.41,3.5,5.45,6,4,201,0,201,-0.57,0.38,54.23,45.77,20.38,-15.86,5.08,2.65,4.38,109,92,0.49,0.05,5.77,-5.77,0.7502,0.8781,0.7632,0.7632,,True,예
코스피 종합지수,3,최근 5년,5,0,5,-2.09,1.87,60.0,40.0,4.1,-12.61,7.01,2.69,9.26,3,2,99,0,99,-1.22,0.6,56.57,43.43,5.44,-14.73,4.97,2.45,6.0,56,43,-0.87,1.27,3.43,-3.43,,,,,표본 부족으로 검정 불가,True,아니오
코스피 종합지수,4,앞 절반,23,0,23,0.21,0.74,56.52,43.48,9.97,-10.27,4.48,3.18,3.65,13,10,509,0,509,0.58,0.58,56.19,43.81,18.17,-17.85,6.09,4.4,4.32,286,223,-0.37,0.17,0.33,-0.33,0.7742,0.8671,1.0,1.0,,False,예
코스피 종합지수,4,뒤 절반,24,0,24,0.33,0.48,54.17,45.83,6.11,-6.1,2.81,2.43,2.15,13,11,462,0,462,1.09,0.73,59.52,40.48,26.08,-8.15,4.0,3.16,1.96,275,187,-0.76,-0.24,-5.36,5.36,0.2997,0.7493,0.6563,0.6563,,False,예
코스피 종합지수,4,최근 10년,10,0,10,1.36,2.08,60.0,40.0,6.11,-2.4,2.8,3.28,1.53,6,4,201,0,201,2.28,1.23,67.16,32.84,26.08,-2.89,4.67,3.97,1.19,135,66,-0.92,0.85,-7.16,7.16,0.5495,0.4356,0.7413,0.7413,,False,예
코스피 종합지수,4,최근 5년,5,0,5,1.93,2.95,60.0,40.0,6.11,-2.4,3.49,4.31,1.64,3,2,101,0,101,2.75,1.0,64.36,35.64,26.08,-2.89,5.81,5.0,1.32,65,36,-0.82,1.95,-4.36,4.36,,,,,표본 부족으로 검정 불가,False,아니오
코스피 종합지수,5,앞 절반,23,0,23,0.59,0.16,52.17,47.83,10.46,-10.06,4.41,3.67,2.77,12,11,507,0,507,0.88,0.34,55.23,44.77,16.61,-18.33,5.13,4.22,3.24,280,227,-0.29,-0.17,-3.05,3.05,0.8162,0.7852,0.8412,0.8412,,False,예
코스피 종합지수,5,뒤 절반,24,0,24,1.75,1.66,66.67,33.33,17.58,-3.98,4.27,3.62,1.99,16,8,433,0,433,1.01,0.91,64.43,35.57,22.19,-10.04,3.84,2.96,2.52,279,154,0.74,0.75,2.23,-2.23,0.3187,0.3427,0.8362,0.8362,,False,예
코스피 종합지수,5,최근 10년,10,0,10,2.44,1.66,70.0,30.0,17.58,-3.85,5.76,4.35,2.02,7,3,186,0,186,1.74,1.56,66.13,33.87,22.19,-7.73,4.22,3.72,2.13,123,63,0.7,0.1,3.87,-3.87,0.5874,0.8581,1.0,1.0,,False,예
코스피 종합지수,5,최근 5년,5,0,5,4.15,1.77,80.0,20.0,17.58,-3.85,8.02,6.14,3.85,4,1,93,0,93,2.97,2.7,77.42,22.58,22.19,-4.23,4.99,4.61,2.64,72,21,1.18,-0.93,2.58,-2.58,,,,,표본 부족으로 검정 불가,False,아니오
코스피 종합지수,6,앞 절반,23,0,23,-0.22,-0.94,34.78,65.22,8.07,-5.79,4.21,4.35,2.66,8,15,506,0,506,-0.27,-0.75,41.5,58.5,19.3,-13.88,5.27,4.35,3.54,210,296,0.05,-0.19,-6.72,6.72,0.9421,0.8671,0.6833,0.6833,,False,예
코스피 종합지수,6,뒤 절반,24,0,24,-0.04,-0.19,45.83,54.17,5.94,-6.36,2.78,2.24,1.98,11,13,449,0,449,0.12,0.36,55.01,44.99,13.81,-12.66,3.28,2.22,2.45,247,202,-0.16,-0.55,-9.18,9.18,0.8402,0.4216,0.3906,0.3906,,False,예
코스피 종합지수,6,최근 10년,10,0,10,-1.04,-0.95,30.0,70.0,1.65,-6.36,2.3,1.16,1.98,3,7,193,0,193,-0.14,0.24,53.37,46.63,13.81,-12.66,3.89,2.39,3.04,103,90,-0.9,-1.18,-23.37,23.37,0.3916,0.2547,0.1918,0.1918,,False,예
코스피 종합지수,6,최근 5년,5,0,5,-1.81,-1.56,20.0,80.0,1.65,-6.36,2.97,1.65,2.68,1,4,95,0,95,-0.15,-0.26,47.37,52.63,13.81,-12.66,5.11,3.8,3.7,45,50,-1.66,-1.3,-27.37,27.37,,,,,표본 부족으로 검정 불가,False,아니오
코스피 종합지수,7,앞 절반,23,0,23,-0.02,-0.55,47.83,52.17,9.85,-9.36,4.62,3.72,3.45,11,12,529,0,529,0.38,0.28,52.74,47.26,18.94,-17.09,5.69,4.24,3.93,279,250,-0.4,-0.83,-4.91,4.91,0.7243,0.4835,0.6913,0.6913,,False,예
코스피 종합지수,7,뒤 절반,24,0,24,1.04,1.27,66.67,33.33,5.61,-3.33,2.33,2.35,1.58,16,8,484,0,484,1.01,0.94,64.26,35.74,13.0,-20.57,3.66,2.86,2.3,311,173,0.03,0.34,2.41,-2.41,0.994,0.6374,0.8302,0.8302,,False,예
코스피 종합지수,7,최근 10년,10,0,10,0.28,0.74,60.0,40.0,2.71,-3.33,1.93,1.59,1.69,6,4,211,0,211,-0.03,0.27,54.98,45.02,17.91,-20.57,4.36,2.53,3.16,116,95,0.31,0.47,5.02,-5.02,0.7692,0.5834,0.7702,0.7702,,False,예
