종목,테스트,파라미터,시작연도,방향,시대 구간,구간,표본,거는 방향,적중률(%),방향 기대값(%),합산 수익률(%),기준선(%),기준선 대비 차이(%p),1차 판정
QQQ,테스트 A(역대급 등락),K=20,2005,폭락,전체,1주,7,위,71.43,-0.69,-4.82,59.12,12.31,제외
QQQ,테스트 A(역대급 등락),K=20,2005,폭락,전체,2주,7,아래,42.86,-1.59,-11.16,38.13,4.73,제외
QQQ,테스트 A(역대급 등락),K=20,2005,폭락,전체,1개월,7,아래,42.86,-4.55,-31.86,34.95,7.91,제외
QQQ,테스트 A(역대급 등락),K=20,2005,역방향 전체,전체,1일,14,위,85.71,3.94,55.1,49.76,35.95,후보
QQQ,테스트 A(역대급 등락),K=20,2005,역방향 전체,전체,2일,14,위,64.29,1.82,25.44,49.8,14.49,후보
QQQ,테스트 A(역대급 등락),K=20,2005,역방향 전체,전체,3일,14,위,57.14,1.58,22.11,49.94,7.21,제외
QQQ,테스트 A(역대급 등락),K=20,2005,역방향 전체,전체,1주,14,위,57.14,0.39,5.44,49.91,7.23,제외
QQQ,테스트 A(역대급 등락),K=20,2005,역방향 전체,전체,2주,14,위,50.0,1.82,25.44,49.92,0.08,제외
QQQ,테스트 A(역대급 등락),K=20,2005,역방향 전체,전체,1개월,14,아래,57.14,-0.46,-6.49,49.95,7.19,제외
QQQ,테스트 A(역대급 등락),K=5,2008,폭등,전체,1일,3,아래,100.0,2.94,8.83,44.39,55.61,후보
QQQ,테스트 A(역대급 등락),K=5,2008,폭등,전체,2일,3,아래,66.67,4.1,12.31,42.38,24.29,후보
QQQ,테스트 A(역대급 등락),K=5,2008,폭등,전체,3일,3,아래,66.67,2.26,6.77,41.62,25.05,후보
QQQ,테스트 A(역대급 등락),K=5,2008,폭등,전체,1주,3,아래,66.67,1.41,4.24,40.27,26.39,후보
QQQ,테스트 A(역대급 등락),K=5,2008,폭등,전체,2주,3,아래,66.67,7.86,23.57,37.69,28.97,후보
QQQ,테스트 A(역대급 등락),K=5,2008,폭등,전체,1개월,3,아래,66.67,5.83,17.48,33.55,33.12,후보
QQQ,테스트 A(역대급 등락),K=5,2008,폭락,전체,1일,3,위,100.0,7.16,21.48,55.18,44.82,후보
QQQ,테스트 A(역대급 등락),K=5,2008,폭락,전체,2일,3,위,66.67,1.78,5.34,57.39,9.28,후보
QQQ,테스트 A(역대급 등락),K=5,2008,폭락,전체,3일,3,위,100.0,5.38,16.15,58.25,41.75,후보
QQQ,테스트 A(역대급 등락),K=5,2008,폭락,전체,1주,3,위,100.0,0.3,0.91,59.56,40.44,후보
QQQ,테스트 A(역대급 등락),K=5,2008,폭락,전체,2주,3,위,100.0,8.5,25.51,62.22,37.78,후보
QQQ,테스트 A(역대급 등락),K=5,2008,폭락,전체,1개월,3,위,66.67,12.58,37.75,66.41,0.26,후보
QQQ,테스트 A(역대급 등락),K=5,2008,역방향 전체,전체,1일,6,위,100.0,5.05,30.31,49.79,50.21,후보
QQQ,테스트 A(역대급 등락),K=5,2008,역방향 전체,전체,2일,6,위,66.67,2.94,17.65,49.88,16.78,후보
QQQ,테스트 A(역대급 등락),K=5,2008,역방향 전체,전체,3일,6,위,83.33,3.82,22.92,49.94,33.4,후보
QQQ,테스트 A(역대급 등락),K=5,2008,역방향 전체,전체,1주,6,위,83.33,0.86,5.15,49.91,33.42,후보
QQQ,테스트 A(역대급 등락),K=5,2008,역방향 전체,전체,2주,6,위,83.33,8.18,49.08,49.96,33.38,후보
QQQ,테스트 A(역대급 등락),K=5,2008,역방향 전체,전체,1개월,6,위,66.67,9.2,55.23,49.98,16.69,후보
QQQ,테스트 A(역대급 등락),K=10,2008,폭등,전체,1일,3,아래,100.0,2.94,8.83,44.39,55.61,후보
QQQ,테스트 A(역대급 등락),K=10,2008,폭등,전체,2일,3,아래,66.67,4.1,12.31,42.38,24.29,후보
QQQ,테스트 A(역대급 등락),K=10,2008,폭등,전체,3일,3,아래,66.67,2.26,6.77,41.62,25.05,후보
QQQ,테스트 A(역대급 등락),K=10,2008,폭등,전체,1주,3,아래,66.67,1.41,4.24,40.27,26.39,후보
QQQ,테스트 A(역대급 등락),K=10,2008,폭등,전체,2주,3,아래,66.67,7.86,23.57,37.69,28.97,후보
QQQ,테스트 A(역대급 등락),K=10,2008,폭등,전체,1개월,3,아래,66.67,5.83,17.48,33.55,33.12,후보
QQQ,테스트 A(역대급 등락),K=10,2008,폭락,전체,1일,4,위,100.0,6.09,24.36,55.18,44.82,후보
QQQ,테스트 A(역대급 등락),K=10,2008,폭락,전체,2일,4,위,75.0,1.79,7.14,57.39,17.61,후보
QQQ,테스트 A(역대급 등락),K=10,2008,폭락,전체,3일,4,위,75.0,3.33,13.32,58.25,16.75,후보
QQQ,테스트 A(역대급 등락),K=10,2008,폭락,전체,1주,4,위,75.0,-1.73,-6.92,59.56,15.44,제외
QQQ,테스트 A(역대급 등락),K=10,2008,폭락,전체,2주,4,위,75.0,4.6,18.4,62.22,12.78,후보
QQQ,테스트 A(역대급 등락),K=10,2008,폭락,전체,1개월,4,아래,50.0,-5.5,-21.99,33.55,16.45,제외
QQQ,테스트 A(역대급 등락),K=10,2008,역방향 전체,전체,1일,7,위,100.0,4.74,33.19,49.79,50.21,후보
QQQ,테스트 A(역대급 등락),K=10,2008,역방향 전체,전체,2일,7,위,71.43,2.78,19.45,49.88,21.55,후보
QQQ,테스트 A(역대급 등락),K=10,2008,역방향 전체,전체,3일,7,위,71.43,2.87,20.09,49.94,21.49,후보
QQQ,테스트 A(역대급 등락),K=10,2008,역방향 전체,전체,1주,7,위,71.43,-0.38,-2.67,49.91,21.51,제외
QQQ,테스트 A(역대급 등락),K=10,2008,역방향 전체,전체,2주,7,위,71.43,5.99,41.96,49.96,21.47,후보
QQQ,테스트 A(역대급 등락),K=10,2008,역방향 전체,전체,1개월,7,위,57.14,5.64,39.47,49.98,7.16,제외
