대상,월,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 평균(%),내린 평균(%),오른 건수,내린 건수,기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),기준선 오른 평균(%),기준선 내린 평균(%),기준선 오른 건수,기준선 내린 건수,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
코스피200 지수,4,37,0,37,-0.0,0.58,54.05,45.95,6.03,-10.24,3.72,2.7,3.18,20,17,773,0,773,0.84,0.85,58.86,41.14,28.08,-18.35,5.44,3.86,3.48,455,318,-0.84,-0.27,-4.81,4.81,0.3367,0.7582,0.6114,0.6114,,True,예
코스피200 지수,5,37,0,37,0.86,1.46,59.46,40.54,19.31,-11.07,4.71,3.48,2.97,22,15,741,0,741,0.52,0.52,55.47,44.4,27.93,-19.09,4.81,3.64,3.37,411,329,0.34,0.94,3.99,-3.86,0.7073,0.2478,0.6434,0.7512,,False,예
코스피200 지수,6,37,0,37,-0.31,-0.42,45.95,54.05,6.38,-6.08,3.03,2.27,2.51,17,20,756,0,756,-0.4,-0.18,47.75,51.98,19.49,-14.27,4.12,2.57,3.12,361,393,0.08,-0.24,-1.81,2.07,0.9241,0.6973,0.8781,0.8771,,False,예
코스피200 지수,7,37,0,37,0.03,0.17,51.35,48.65,9.15,-9.79,3.61,2.7,2.79,19,18,807,0,807,0.29,0.05,50.68,49.32,20.03,-21.61,5.16,3.81,3.32,409,398,-0.26,0.11,0.67,-0.67,0.7123,0.8432,1.0,1.0,,False,예
코스피200 지수,8,37,0,37,0.66,-0.04,48.65,51.35,19.37,-8.71,4.85,3.9,2.4,18,19,790,0,790,-0.0,-0.1,48.61,51.39,21.86,-14.24,4.57,3.34,3.16,384,406,0.66,0.07,0.04,-0.04,0.3686,0.9141,1.0,1.0,,True,예
코스피200 지수,9,36,0,36,-1.11,-0.71,44.44,55.56,4.62,-11.0,3.56,1.81,3.45,16,20,706,0,706,-0.4,0.03,50.42,49.58,11.98,-15.64,4.66,3.02,3.88,356,350,-0.71,-0.73,-5.98,5.98,0.3806,0.2777,0.6134,0.6134,,False,예
코스피200 지수,10,36,0,36,-0.36,-0.33,47.22,52.78,14.2,-15.31,5.05,3.32,3.65,17,19,737,0,737,0.24,0.05,50.2,49.66,37.84,-26.84,7.44,4.94,4.51,370,366,-0.6,-0.39,-2.98,3.12,0.6004,0.6424,0.7223,0.7213,,False,예
코스피200 지수,11,36,0,36,0.15,0.96,55.56,44.44,13.86,-14.27,4.39,2.91,3.31,20,16,773,0,773,-0.04,0.17,51.1,48.9,19.02,-25.69,5.26,3.54,3.78,395,378,0.18,0.79,4.46,-4.46,0.7792,0.1938,0.5814,0.5814,,False,예
코스피200 지수,12,36,0,36,0.4,0.14,55.56,44.44,8.8,-11.44,3.92,2.81,2.61,20,16,705,0,705,0.47,0.35,54.33,45.53,26.94,-14.6,4.72,3.57,3.24,383,321,-0.07,-0.21,1.23,-1.09,0.8811,0.7592,1.0,1.0,,False,예
코스피 종합지수,1,47,0,47,0.51,0.38,57.45,42.55,8.66,-6.96,4.28,3.44,3.43,27,20,981,0,981,1.28,0.38,54.84,45.06,47.18,-12.83,6.09,4.82,3.02,538,442,-0.77,-0.01,2.6,-2.5,0.3706,0.8971,0.7632,0.7612,,False,예
코스피 종합지수,2,47,0,47,-0.66,0.04,53.19,46.81,7.5,-9.5,3.4,1.71,3.36,25,22,919,0,919,-0.23,-0.2,47.12,52.77,26.15,-15.13,4.64,3.17,3.26,433,485,-0.43,0.24,6.08,-5.97,0.5085,0.5714,0.4715,0.4655,,True,예
코스피 종합지수,3,47,0,47,0.74,0.58,63.83,36.17,12.04,-12.61,4.2,2.86,3.0,30,17,1022,0,1022,1.02,0.96,63.99,36.01,20.38,-16.25,4.62,3.36,3.12,654,368,-0.28,-0.38,-0.16,0.16,0.6993,0.4635,1.0,1.0,,False,예
코스피 종합지수,4,47,0,47,0.27,0.6,55.32,44.68,9.97,-10.27,3.68,2.8,2.87,26,21,1012,0,1012,0.9,0.73,58.4,41.6,26.08,-17.85,5.21,3.86,3.26,591,421,-0.63,-0.14,-3.08,3.08,0.3926,0.8731,0.7742,0.7742,,False,예
코스피 종합지수,5,47,0,47,1.19,1.47,59.57,40.43,17.58,-10.06,4.33,3.65,2.44,28,19,978,0,978,0.93,0.61,59.51,40.39,22.19,-18.33,4.57,3.59,2.98,582,395,0.26,0.85,0.07,0.04,0.7323,0.1289,1.0,1.0,,False,예
코스피 종합지수,6,47,0,47,-0.13,-0.54,40.43,59.57,8.07,-6.36,3.52,3.13,2.34,19,28,994,0,994,-0.08,-0.18,47.99,52.01,19.3,-13.88,4.4,3.16,3.07,477,517,-0.05,-0.36,-7.56,7.56,0.9241,0.4316,0.2877,0.2877,,False,예
코스피 종합지수,7,47,0,47,0.52,0.9,57.45,42.55,9.85,-9.36,3.64,2.91,2.7,27,20,1055,0,1055,0.72,0.59,58.77,41.23,18.94,-20.57,4.82,3.49,3.23,620,435,-0.2,0.31,-1.32,1.32,0.8032,0.6154,1.0,1.0,,False,예
코스피 종합지수,8,47,0,47,0.37,-0.2,46.81,53.19,20.33,-8.9,4.7,3.69,2.54,22,25,1036,0,1036,-0.2,-0.27,44.5,55.5,22.6,-13.45,4.38,3.2,2.94,461,575,0.58,0.07,2.31,-2.31,0.3227,0.7812,0.7582,0.7582,,True,예
코스피 종합지수,9,46,0,46,-1.12,-0.48,39.13,60.87,3.99,-10.46,3.48,1.99,3.11,18,28,942,0,942,-0.58,-0.16,48.09,51.8,11.22,-14.75,4.2,2.61,3.54,453,488,-0.54,-0.32,-8.96,9.06,0.3536,0.5285,0.2328,0.2338,,False,예
코스피 종합지수,10,46,0,46,-0.52,-0.37,45.65,54.35,13.9,-16.77,4.7,2.89,3.37,21,25,961,0,961,-0.16,-0.2,47.87,52.13,32.18,-27.14,6.68,4.26,4.22,460,501,-0.36,-0.17,-2.21,2.21,0.6703,0.6973,0.7542,0.7542,,False,예
코스피 종합지수,11,46,0,46,0.46,0.92,65.22,34.78,13.43,-16.49,4.15,2.49,3.34,30,16,1019,0,1019,0.52,0.62,56.92,43.08,18.34,-26.61,5.02,3.48,3.4,580,439,-0.06,0.3,8.3,-8.3,0.956,0.6064,0.2637,0.2637,,False,예
코스피 종합지수,12,46,0,46,0.41,0.41,52.17,47.83,7.17,-11.54,3.36,2.63,2.01,24,22,906,0,906,0.74,0.75,60.26,39.62,26.12,-14.8,4.37,3.22,3.03,546,359,-0.33,-0.34,-8.09,8.2,0.5534,0.4306,0.2507,0.2478,,False,예
KODEX 코스닥150,1,11,0,11,1.12,1.12,54.55,45.45,26.39,-9.6,9.48,6.48,5.31,6,5,214,0,214,1.13,0.34,51.4,48.6,32.77,-17.96,9.71,7.45,5.56,110,104,-0.0,0.78,3.14,-3.14,0.999,0.6224,1.0,1.0,,False,예
KODEX 코스닥150,2,11,0,11,-0.98,-0.45,36.36,63.64,4.33,-8.23,3.57,2.16,2.78,4,7,194,0,194,0.01,0.42,53.09,46.91,13.87,-9.9,5.05,3.64,4.09,103,91,-1.0,-0.87,-16.73,16.73,0.4895,0.5574,0.3397,0.3397,,False,예
KODEX 코스닥150,3,11,0,11,0.42,-0.38,45.45,54.55,18.28,-9.63,7.55,6.1,4.32,5,6,222,0,222,0.39,0.48,53.6,46.4,28.6,-11.73,6.12,4.54,4.41,119,103,0.03,-0.86,-8.15,8.15,0.998,0.7013,0.7592,0.7592,,True,예
KODEX 코스닥150,4,11,0,11,-1.69,-2.08,18.18,81.82,3.86,-7.77,2.79,2.32,2.59,2,9,220,0,220,-0.68,-1.13,32.73,66.82,11.89,-8.13,3.68,3.33,2.65,72,147,-1.01,-0.95,-14.55,15.0,0.3506,0.2847,0.3826,0.3856,,False,예
KODEX 코스닥150,5,11,0,11,1.85,2.02,81.82,18.18,6.48,-1.42,2.33,2.53,1.21,9,2,205,0,205,0.72,1.22,72.2,27.32,10.4,-10.9,3.6,2.45,3.84,148,56,1.13,0.8,9.62,-9.14,0.2637,0.2717,0.5185,0.5185,,False,예
KODEX 코스닥150,6,11,0,11,-1.94,-1.27,18.18,81.82,0.76,-7.77,2.36,0.47,2.48,2,9,213,0,213,-1.68,-1.06,37.56,61.97,8.55,-15.53,4.19,2.1,3.98,80,132,-0.27,-0.22,-19.38,19.85,0.8781,0.95,0.2358,0.2368,,False,예
KODEX 코스닥150,7,11,0,11,-1.28,-2.17,36.36,63.64,4.48,-6.1,3.41,2.51,3.44,4,7,231,0,231,-0.49,-0.34,45.02,54.11,16.73,-27.22,6.47,4.58,4.72,104,125,-0.79,-1.82,-8.66,9.52,0.6853,0.2717,0.7602,0.5395,,False,예
KODEX 코스닥150,8,11,0,11,2.11,1.3,63.64,36.36,8.43,-4.55,4.28,4.64,2.3,7,4,222,0,222,1.39,1.17,66.22,33.78,15.24,-5.82,3.66,3.36,2.47,147,75,0.73,0.12,-2.58,2.58,0.4805,0.9331,1.0,1.0,,False,예
KODEX 코스닥150,9,10,0,10,-2.97,-3.05,20.0,80.0,2.1,-10.05,3.52,1.07,3.98,2,8,185,0,185,-1.6,-1.18,32.43,66.49,9.72,-15.84,4.52,2.93,3.84,60,123,-1.37,-1.87,-12.43,13.51,0.3137,0.1748,0.4885,0.4825,,False,예
KODEX 코스닥150,10,11,0,11,-0.78,-0.98,45.45,54.55,5.32,-12.04,5.36,3.75,4.56,5,6,202,0,202,-1.1,-0.34,45.54,53.96,11.6,-19.99,6.0,3.87,5.3,92,109,0.31,-0.64,-0.09,0.59,0.9041,0.7972,1.0,1.0,,False,예
KODEX 코스닥150,11,11,0,11,-1.27,-1.24,45.45,54.55,2.26,-5.87,2.97,1.51,3.59,5,6,225,0,225,-0.0,-0.24,48.0,51.56,14.71,-13.0,4.85,4.0,3.72,108,116,-1.27,-1.0,-2.55,2.99,0.3646,0.4705,1.0,1.0,,False,예
KODEX 코스닥150,12,11,0,11,2.99,3.25,90.91,9.09,9.82,-2.53,3.11,3.54,2.53,10,1,213,0,213,2.55,2.62,73.24,26.29,12.85,-8.67,4.4,4.58,3.07,156,56,0.44,0.63,17.67,-17.2,0.7283,0.6693,0.2707,0.2727,,False,예
코스닥150 지수,1,17,0,17,-0.08,-0.7,41.18,58.82,26.16,-9.65,7.92,5.75,4.16,7,10,332,0,332,0.09,-0.74,43.98,56.02,32.56,-18.2,8.16,6.02,4.57,146,186,-0.16,0.04,-2.8,2.8,0.9181,0.974,0.7922,0.7922,,False,예
코스닥150 지수,2,17,0,17,-0.45,0.18,52.94,47.06,4.52,-8.49,3.07,1.58,2.74,9,8,301,0,301,0.45,0.69,58.14,41.86,13.77,-10.38,4.43,3.22,3.41,175,126,-0.9,-0.51,-5.2,5.2,0.3586,0.6214,0.8052,0.8052,,True,예
코스닥150 지수,3,17,0,17,0.59,-0.11,47.06,52.94,19.09,-9.74,6.48,5.16,3.47,8,9,344,0,344,0.48,0.47,56.98,43.02,31.42,-12.43,5.27,3.6,3.65,196,148,0.11,-0.58,-9.92,9.92,0.9171,0.5674,0.4625,0.4625,,True,예
코스닥150 지수,4,17,0,17,-1.24,-1.42,29.41,70.59,3.76,-7.02,2.82,2.21,2.67,5,12,343,0,343,-0.34,-0.66,40.52,59.48,13.37,-8.53,3.5,2.86,2.51,139,204,-0.9,-0.76,-11.11,11.11,0.2468,0.2817,0.4366,0.4366,,False,예
코스닥150 지수,5,17,0,17,1.79,1.92,82.35,17.65,6.2,-1.9,2.19,2.45,1.28,14,3,317,0,317,0.6,1.03,64.35,35.65,11.17,-11.15,3.44,2.57,2.95,204,113,1.19,0.88,18.0,-18.0,0.1548,0.2168,0.1259,0.1259,,False,예
코스닥150 지수,6,17,0,17,-0.96,-0.78,41.18,58.82,5.62,-7.52,2.75,1.22,2.48,7,10,329,0,329,-0.61,0.04,51.06,48.94,8.95,-15.97,4.1,2.34,3.7,168,161,-0.35,-0.82,-9.89,9.89,0.6633,0.3896,0.4515,0.4515,,False,예
코스닥150 지수,7,17,0,17,-1.75,-2.67,29.41,70.59,4.51,-8.22,3.74,3.14,3.79,5,12,359,0,359,-0.57,-0.84,39.55,60.45,16.74,-27.46,5.99,4.97,4.2,142,217,-1.18,-1.82,-10.14,10.14,0.4296,0.1908,0.4715,0.4715,,False,예
코스닥150 지수,8,17,0,17,1.77,1.85,64.71,35.29,8.65,-5.61,4.27,4.38,3.01,11,6,343,0,343,0.96,0.98,60.06,39.94,15.45,-9.19,4.42,3.77,3.27,206,137,0.81,0.86,4.65,-4.65,0.4705,0.3866,0.7962,0.7962,,False,예
코스닥150 지수,9,16,0,16,-2.23,-1.91,25.0,75.0,2.89,-10.42,3.44,1.76,3.56,4,12,295,0,295,-0.9,-0.58,42.37,57.63,11.35,-16.26,4.17,2.54,3.43,125,170,-1.33,-1.32,-17.37,17.37,0.1718,0.1319,0.1868,0.1868,,False,예
코스닥150 지수,10,16,0,16,-0.2,0.28,56.25,43.75,5.16,-11.76,4.48,2.73,3.96,9,7,301,0,301,-0.46,-0.11,47.84,52.16,15.14,-19.74,5.34,3.59,4.18,144,157,0.27,0.38,8.41,-8.41,0.8372,0.6044,0.6324,0.6324,,True,예
코스닥150 지수,11,16,0,16,-0.98,-0.56,50.0,50.0,2.96,-6.17,2.94,1.54,3.51,8,8,327,0,327,-0.22,-0.15,48.62,51.38,15.53,-13.13,4.34,3.23,3.48,159,168,-0.76,-0.41,1.38,-1.38,0.5085,0.8412,1.0,1.0,,False,예
코스닥150 지수,12,16,0,16,2.67,2.7,87.5,12.5,9.94,-3.09,2.75,3.29,1.61,14,2,310,0,310,1.84,1.72,70.65,29.35,12.62,-9.52,3.93,3.73,2.7,219,91,0.83,0.98,16.85,-16.85,0.4336,0.4246,0.1598,0.1598,,False,예
코스닥 종합지수,1,30,0,30,0.15,0.31,56.67,43.33,17.73,-8.95,5.71,3.72,4.52,17,13,591,0,591,0.33,0.02,50.25,49.75,51.45,-28.43,8.09,5.58,4.97,297,294,-0.18,0.29,6.41,-6.41,0.8841,0.6983,0.5984,0.5984,,False,예
코스닥 종합지수,2,30,0,30,-1.01,-0.61,43.33,56.67,4.39,-12.42,3.75,1.87,3.21,13,17,542,0,542,0.12,0.2,52.58,47.42,34.02,-12.42,4.71,3.31,3.43,285,257,-1.13,-0.81,-9.25,9.25,0.1688,0.2757,0.3447,0.3447,,False,예
코스닥 종합지수,3,30,0,30,0.71,0.49,56.67,43.33,21.66,-9.4,5.4,3.73,3.24,17,13,618,0,618,0.51,0.88,60.36,39.48,32.85,-21.93,5.73,3.64,4.28,373,244,0.2,-0.39,-3.69,3.85,0.8402,0.5904,0.6983,0.7013,,False,예
코스닥 종합지수,4,30,0,30,-1.25,-1.37,33.33,66.67,7.44,-14.6,4.12,2.9,3.32,10,20,607,0,607,0.18,-0.26,46.62,53.38,46.89,-29.25,7.25,4.77,3.83,283,324,-1.43,-1.11,-13.29,13.29,0.2627,0.0769,0.1988,0.1988,,False,예
코스닥 종합지수,5,30,0,30,1.28,1.51,70.0,30.0,16.93,-12.06,5.08,3.48,3.85,21,9,574,0,574,0.26,0.71,58.19,41.81,24.85,-18.91,5.77,3.74,4.58,334,240,1.02,0.8,11.81,-11.81,0.3107,0.1758,0.2078,0.2078,,False,예
코스닥 종합지수,6,30,0,30,-0.9,-1.25,33.33,66.67,4.88,-7.48,3.05,2.54,2.63,10,20,591,0,591,-0.68,-0.55,44.16,55.67,29.51,-16.38,5.37,3.43,3.94,261,329,-0.23,-0.71,-10.83,11.0,0.8042,0.3457,0.2587,0.2547,,False,예
코스닥 종합지수,7,31,0,31,-1.72,-1.88,41.94,58.06,4.79,-10.17,3.9,2.1,4.48,13,18,659,0,659,-1.18,-0.7,42.79,57.21,14.13,-25.07,5.42,3.38,4.59,282,377,-0.54,-1.18,-0.86,0.86,0.5504,0.1978,1.0,1.0,,False,예
코스닥 종합지수,8,31,0,31,0.91,0.58,51.61,48.39,11.55,-9.02,4.66,4.45,2.87,16,15,641,0,641,-0.13,0.21,52.42,47.58,15.09,-14.16,4.73,3.27,3.89,336,305,1.04,0.37,-0.81,0.81,0.2198,0.6234,1.0,1.0,,False,예
코스닥 종합지수,9,30,0,30,-2.17,-1.55,30.0,70.0,5.22,-12.98,4.29,2.37,4.11,9,21,570,0,570,-1.81,-0.8,40.0,59.82,17.93,-21.55,5.73,2.69,4.83,228,341,-0.36,-0.75,-10.0,10.18,0.7313,0.2348,0.3596,0.2777,,False,예
코스닥 종합지수,10,30,0,30,-1.2,-0.22,50.0,50.0,4.64,-12.76,4.52,2.26,4.66,15,15,594,0,594,-0.97,-0.15,47.31,52.53,19.24,-30.14,6.1,3.33,4.85,281,312,-0.22,-0.08,2.69,-2.53,0.8112,0.9221,0.8621,0.8601,,False,예
코스닥 종합지수,11,30,0,30,0.15,0.4,56.67,43.33,12.61,-16.1,5.14,3.15,3.77,17,13,624,0,624,0.19,0.34,54.33,45.51,22.08,-17.61,5.45,3.76,4.06,339,284,-0.04,0.06,2.34,-2.18,0.995,0.9261,0.8781,0.8781,,False,예
코스닥 종합지수,12,30,0,30,0.45,1.26,63.33,36.67,7.48,-14.3,4.36,2.75,3.52,19,11,578,0,578,0.14,0.85,59.0,41.0,18.86,-26.06,5.97,3.44,4.6,341,237,0.3,0.41,4.34,-4.34,0.7632,0.4855,0.7243,0.7243,,False,예
