대상,격자 칸,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),기준선(%),기준선 대비 차이(%p),우연확률,시기 구간,가장 약한 시기(%),1차 판정,뒷받침,미충족
2203,18일 → 말일-2,200,위,48.0,-0.57,-114.85,47.36,0.64,0.8472,4,46.67,제외,0/3,차이 · 우연확률 · 시기
2203,18일 → 말일-3,200,아래,50.5,0.4,79.83,50.14,0.36,0.9351,4,46.0,제외,0/3,차이 · 우연확률 · 시기
2203,19일 → 말일,200,아래,49.0,0.06,11.1,48.14,0.86,0.8372,4,46.67,제외,0/3,차이 · 우연확률 · 시기
2203,19일 → 말일+1,200,아래,50.5,-0.15,-30.36,46.14,4.36,0.2308,4,49.0,제외,0/3,차이 · 우연확률 · 시기
2203,19일 → 말일+2,200,아래,50.0,-0.19,-37.31,46.38,3.62,0.3057,4,49.0,제외,0/3,차이 · 우연확률 · 시기
2203,19일 → 말일+3,200,아래,48.5,-0.21,-41.23,46.65,1.85,0.5914,4,47.0,제외,0/3,차이 · 우연확률 · 시기
2203,19일 → 말일-1,200,아래,51.0,0.18,35.72,49.53,1.47,0.7273,4,47.0,제외,0/3,차이 · 우연확률 · 시기
2203,19일 → 말일-2,200,아래,56.0,0.48,95.04,52.61,3.39,0.3786,4,55.0,제외,1/3,차이 · 우연확률
2203,19일 → 말일-3,200,아래,54.0,0.3,60.26,50.14,3.86,0.2697,4,50.0,제외,0/3,차이 · 우연확률 · 시기
2203,20일 → 말일,200,아래,49.5,0.09,17.23,48.14,1.36,0.7363,4,47.0,제외,0/3,차이 · 우연확률 · 시기
2203,20일 → 말일+1,200,아래,47.5,-0.12,-24.99,46.14,1.36,0.7253,4,43.0,제외,0/3,차이 · 우연확률 · 시기
2203,20일 → 말일+2,200,아래,48.5,-0.16,-32.08,46.38,2.12,0.5544,4,45.0,제외,0/3,차이 · 우연확률 · 시기
2203,20일 → 말일+3,200,위,55.0,0.18,36.46,53.35,1.65,0.6384,4,51.67,제외,0/3,차이 · 우연확률 · 시기
2203,20일 → 말일-1,200,아래,51.0,0.21,41.41,49.53,1.47,0.7273,4,50.0,제외,0/3,차이 · 우연확률 · 시기
2203,20일 → 말일-2,200,아래,55.0,0.5,100.26,52.61,2.39,0.5654,4,54.17,제외,0/3,차이 · 우연확률 · 시기
2203,20일 → 말일-3,199,아래,53.27,0.33,64.86,50.14,3.13,0.3776,4,49.49,제외,0/3,차이 · 우연확률 · 시기
2203,21일 → 말일,200,아래,50.0,0.03,6.74,48.14,1.86,0.6294,4,48.0,제외,0/3,차이 · 우연확률 · 시기
2203,21일 → 말일+1,200,아래,47.0,-0.18,-35.25,46.14,0.86,0.8432,4,45.0,제외,0/3,차이 · 우연확률 · 시기
