종목,파라미터,시작연도,방향,손절선(%),진입일,진입가,청산일,보유일,청산가,수익률(%),청산 사유,등락률(%),사건 번호
KODEX 200,K=10,2005,폭락,-5.0,2009-01-15,14800.0,2009-01-16,1,15110.0,2.09,수익청산,-5.97,5
KODEX 200,K=10,2005,폭등,-5.0,2009-01-28,15380.0,2009-01-30,2,15400.0,-0.13,기한청산,6.36,5
KODEX 200,K=10,2005,폭락,-5.0,2011-08-19,22475.0,2011-08-23,2,22895.0,1.87,수익청산,-6.12,6
KODEX 200,K=10,2005,폭등,-5.0,2011-09-27,22700.0,2011-09-28,1,22455.0,1.08,수익청산,5.36,7
KODEX 200,K=10,2005,폭락,-5.0,2020-03-19,20240.0,2020-03-20,1,21795.0,7.68,수익청산,-7.33,8
KODEX 200,K=10,2005,폭등,-5.0,2020-03-20,21795.0,2020-03-23,1,20515.0,5.87,수익청산,7.68,8
KODEX 200,K=10,2005,폭등,-5.0,2020-03-24,22420.0,2020-03-25,1,23541.0,-5.0,장중손절,9.29,8
KODEX 200,K=10,2005,폭등,-5.0,2020-03-25,23705.0,2020-03-26,1,23245.0,1.94,수익청산,5.73,8
KODEX 200,K=10,2005,폭등,-5.0,2020-06-16,28340.0,2020-06-17,1,28260.0,0.28,수익청산,6.14,9
KODEX 200,K=10,2005,폭락,-5.0,2024-08-05,33260.0,2024-08-06,1,34180.0,2.77,수익청산,-9.18,10
KODEX 200,K=10,2005,폭등,-5.0,2025-04-10,32920.0,2025-04-11,1,32820.0,0.3,수익청산,6.16,11
KODEX 200,K=10,2005,폭등,-5.0,2026-02-03,78290.0,2026-02-05,2,76010.0,2.91,수익청산,7.69,12
KODEX 200,K=10,2005,폭락,-5.0,2026-03-03,86705.0,2026-03-04,1,82370.0,-5.0,장중손절,-7.88,12
KODEX 200,K=10,2005,폭락,-5.0,2026-03-04,75900.0,2026-03-05,1,83570.0,10.11,수익청산,-12.46,12
KODEX 200,K=10,2005,폭등,-5.0,2026-03-05,83570.0,2026-03-06,1,83560.0,0.01,수익청산,10.11,12
KODEX 200,K=10,2005,폭락,-5.0,2026-03-09,78230.0,2026-03-10,1,82900.0,5.97,수익청산,-6.38,12
KODEX 200,K=10,2005,폭락,-5.0,2026-03-23,81025.0,2026-03-24,1,83505.0,3.06,수익청산,-6.5,12
KODEX 200,K=10,2005,폭등,-5.0,2026-04-01,82170.0,2026-04-02,1,78190.0,4.84,수익청산,8.94,12
KODEX 200,K=10,2005,폭등,-5.0,2026-04-08,89000.0,2026-04-09,1,87250.0,1.97,수익청산,7.53,12
KODEX 200,K=10,2005,폭등,-5.0,2026-05-06,113270.0,2026-05-08,2,115810.0,-2.24,기한청산,7.57,12
KODEX 200,K=10,2005,폭등,-5.0,2026-05-21,123060.0,2026-05-26,2,126755.0,-3.0,기한청산,8.58,12
KODEX 200,K=10,2005,폭락,-5.0,2026-06-08,119560.0,2026-06-09,1,130130.0,8.84,수익청산,-8.75,12
KODEX 200,K=10,2005,폭등,-5.0,2026-06-09,130130.0,2026-06-10,1,123795.0,4.87,수익청산,8.84,12
KODEX 200,K=10,2005,폭락,-5.0,2026-06-23,132820.0,2026-06-24,1,138145.0,4.01,수익청산,-10.47,12
KODEX 200,K=10,2005,폭락,-5.0,2026-07-02,123530.0,2026-07-03,1,131010.0,6.06,수익청산,-8.17,12
KODEX 200,K=10,2005,폭락,-5.0,2026-07-13,108820.0,2026-07-14,1,103379.0,-5.0,장중손절,-9.77,12
KODEX 200,K=10,2005,폭락,-5.0,2026-07-28,95675.0,2026-07-29,1,90891.0,-5.0,장중손절,-11.19,12
KODEX 200,K=10,2005,폭등,-5.0,2026-07-31,108820.0,2026-08-03,1,99105.0,8.93,수익청산,24.17,12
KODEX 200,K=10,2005,폭락,-5.0,2026-08-03,99105.0,2026-08-04,1,100330.0,1.24,수익청산,-8.93,12
KODEX 200,K=20,2005,폭등,-5.0,2005-11-23,16600.0,2005-11-24,1,16530.0,0.42,수익청산,4.34,1
KODEX 200,K=20,2005,폭락,-5.0,2006-02-03,17605.0,2006-02-06,1,17665.0,0.34,수익청산,-3.24,2
KODEX 200,K=20,2005,폭락,-5.0,2006-06-08,15895.0,2006-06-09,1,16050.0,0.98,수익청산,-3.73,3
KODEX 200,K=20,2005,폭등,-5.0,2006-06-16,16390.0,2006-06-19,1,16200.0,1.16,수익청산,3.73,3
KODEX 200,K=20,2005,폭등,-5.0,2006-07-20,16670.0,2006-07-21,1,16600.0,0.42,수익청산,3.51,4
KODEX 200,K=20,2005,폭락,-5.0,2007-07-27,24005.0,2007-07-30,1,24250.0,1.02,수익청산,-4.74,5
KODEX 200,K=20,2005,폭락,-5.0,2007-08-01,23450.0,2007-08-03,2,23750.0,1.28,수익청산,-4.29,5
KODEX 200,K=20,2005,폭락,-5.0,2007-08-10,23040.0,2007-08-13,1,23410.0,1.61,수익청산,-4.56,5
KODEX 200,K=20,2005,폭락,-5.0,2007-08-16,21695.0,2007-08-20,2,22060.0,1.68,수익청산,-6.04,5
KODEX 200,K=20,2005,폭등,-5.0,2007-08-20,22060.0,2007-08-21,1,22025.0,0.16,수익청산,5.05,5
KODEX 200,K=20,2005,폭등,-5.0,2007-09-19,24205.0,2007-09-20,1,24190.0,0.06,수익청산,4.0,5
KODEX 200,K=20,2005,폭락,-5.0,2007-10-22,23975.0,2007-10-23,1,24485.0,2.13,수익청산,-3.46,6
KODEX 200,K=20,2005,폭등,-5.0,2007-11-26,23600.0,2007-11-28,2,23270.0,1.4,수익청산,4.45,7
KODEX 200,K=20,2005,폭락,-5.0,2008-01-22,20870.0,2008-01-23,1,21220.0,1.68,수익청산,-4.09,8
KODEX 200,K=20,2005,폭락,-5.0,2008-01-28,21075.0,2008-01-29,1,21395.0,1.52,수익청산,-4.01,8
KODEX 200,K=20,2005,폭등,-5.0,2008-07-21,20140.0,2008-07-22,1,20105.0,0.17,수익청산,3.65,9
KODEX 200,K=20,2005,폭락,-5.0,2008-09-01,18330.0,2008-09-02,1,18500.0,0.93,수익청산,-3.63,10
KODEX 200,K=20,2005,폭등,-5.0,2008-09-08,19070.0,2008-09-09,1,18760.0,1.63,수익청산,5.07,10
KODEX 200,K=20,2005,폭락,-5.0,2008-09-16,17980.0,2008-09-17,1,18480.0,2.78,수익청산,-5.91,10
KODEX 200,K=20,2005,폭등,-5.0,2008-09-19,19080.0,2008-09-22,1,18990.0,0.47,수익청산,6.06,10
KODEX 200,K=20,2005,폭락,-5.0,2008-10-08,16900.0,2008-10-09,1,16950.0,0.3,수익청산,-4.79,10
KODEX 200,K=20,2005,폭락,-5.0,2008-10-10,16245.0,2008-10-13,1,16815.0,3.51,수익청산,-4.16,10
KODEX 200,K=20,2005,폭등,-5.0,2008-10-14,17840.0,2008-10-15,1,17480.0,2.02,수익청산,6.1,10
KODEX 200,K=20,2005,폭락,-5.0,2008-10-16,15745.0,2008-10-20,2,15800.0,0.35,수익청산,-9.93,10
KODEX 200,K=20,2005,폭락,-5.0,2008-10-22,14730.0,2008-10-23,1,13994.0,-5.0,장중손절,-6.3,10
KODEX 200,K=20,2005,폭락,-5.0,2008-10-23,13800.0,2008-10-24,1,13110.0,-5.0,장중손절,-6.31,10
KODEX 200,K=20,2005,폭락,-5.0,2008-10-24,12160.0,2008-10-27,1,12300.0,1.15,수익청산,-11.88,10
KODEX 200,K=20,2005,폭등,-5.0,2008-10-28,13400.0,2008-10-29,1,14070.0,-5.0,장중손절,8.94,10
KODEX 200,K=20,2005,폭등,-5.0,2008-10-30,14820.0,2008-11-03,2,14920.0,-0.67,기한청산,14.97,10
KODEX 200,K=20,2005,폭락,-5.0,2008-11-06,14300.0,2008-11-07,1,14930.0,4.41,수익청산,-8.1,10
KODEX 200,K=20,2005,폭등,-5.0,2008-11-07,14930.0,2008-11-11,2,14800.0,0.87,수익청산,4.41,10
KODEX 200,K=20,2005,폭락,-5.0,2008-11-13,14200.0,2008-11-14,1,14295.0,0.67,수익청산,-4.38,10
KODEX 200,K=20,2005,폭락,-5.0,2008-11-20,12430.0,2008-11-21,1,13200.0,6.19,수익청산,-6.82,10
KODEX 200,K=20,2005,폭등,-5.0,2008-11-21,13200.0,2008-11-24,1,12690.0,3.86,수익청산,6.19,10
KODEX 200,K=20,2005,폭등,-5.0,2008-11-26,13600.0,2008-11-28,2,14280.0,-5.0,장중손절,4.29,10
KODEX 200,K=20,2005,폭등,-5.0,2008-12-08,14610.0,2008-12-09,1,14570.0,0.27,수익청산,8.26,10
KODEX 200,K=20,2005,폭락,-5.0,2008-12-12,14550.0,2008-12-15,1,15205.0,4.5,수익청산,-4.43,10
KODEX 200,K=20,2005,폭등,-5.0,2008-12-15,15205.0,2008-12-16,1,15195.0,0.07,수익청산,4.5,10
KODEX 200,K=20,2005,폭락,-5.0,2009-01-15,14800.0,2009-01-16,1,15110.0,2.09,수익청산,-5.97,11
KODEX 200,K=20,2005,폭등,-5.0,2009-01-28,15380.0,2009-01-30,2,15400.0,-0.13,기한청산,6.36,11
KODEX 200,K=20,2005,폭락,-5.0,2009-11-27,20265.0,2009-11-30,1,20670.0,2.0,수익청산,-4.68,12
KODEX 200,K=20,2005,폭등,-5.0,2011-08-16,24280.0,2011-08-18,2,23940.0,1.4,수익청산,4.66,13
KODEX 200,K=20,2005,폭락,-5.0,2011-08-19,22475.0,2011-08-23,2,22895.0,1.87,수익청산,-6.12,13
KODEX 200,K=20,2005,폭락,-5.0,2011-09-05,23010.0,2011-09-07,2,23750.0,3.22,수익청산,-4.38,13
KODEX 200,K=20,2005,폭락,-5.0,2011-09-23,22030.0,2011-09-27,2,22700.0,3.04,수익청산,-5.39,13
KODEX 200,K=20,2005,폭등,-5.0,2011-09-27,22700.0,2011-09-28,1,22455.0,1.08,수익청산,5.36,13
KODEX 200,K=20,2005,폭락,-5.0,2011-11-10,23870.0,2011-11-11,1,24400.0,2.22,수익청산,-4.82,14
KODEX 200,K=20,2005,폭락,-5.0,2020-03-18,21840.0,2020-03-19,1,20748.0,-5.0,장중손절,-5.5,15
KODEX 200,K=20,2005,폭락,-5.0,2020-03-19,20240.0,2020-03-20,1,21795.0,7.68,수익청산,-7.33,15
KODEX 200,K=20,2005,폭등,-5.0,2020-03-20,21795.0,2020-03-23,1,20515.0,5.87,수익청산,7.68,15
KODEX 200,K=20,2005,폭락,-5.0,2020-03-23,20515.0,2020-03-24,1,22420.0,9.29,수익청산,-5.87,15
KODEX 200,K=20,2005,폭등,-5.0,2020-03-24,22420.0,2020-03-25,1,23541.0,-5.0,장중손절,9.29,15
KODEX 200,K=20,2005,폭등,-5.0,2020-03-25,23705.0,2020-03-26,1,23245.0,1.94,수익청산,5.73,15
KODEX 200,K=20,2005,폭락,-5.0,2020-04-01,22955.0,2020-04-02,1,23660.0,3.07,수익청산,-4.69,15
KODEX 200,K=20,2005,폭락,-5.0,2020-06-15,26700.0,2020-06-16,1,28340.0,6.14,수익청산,-5.03,16
KODEX 200,K=20,2005,폭등,-5.0,2020-06-16,28340.0,2020-06-17,1,28260.0,0.28,수익청산,6.14,16
KODEX 200,K=20,2005,폭등,-5.0,2023-11-06,33415.0,2023-11-07,1,32810.0,1.81,수익청산,4.68,17
KODEX 200,K=20,2005,폭락,-5.0,2024-08-05,33260.0,2024-08-06,1,34180.0,2.77,수익청산,-9.18,18
KODEX 200,K=20,2005,폭락,-5.0,2025-04-07,31550.0,2025-04-09,2,31010.0,-1.71,기한청산,-5.69,19
KODEX 200,K=20,2005,폭등,-5.0,2025-04-10,32920.0,2025-04-11,1,32820.0,0.3,수익청산,6.16,19
KODEX 200,K=20,2005,폭락,-5.0,2026-02-02,72700.0,2026-02-03,1,78290.0,7.69,수익청산,-5.96,20
KODEX 200,K=20,2005,폭등,-5.0,2026-02-03,78290.0,2026-02-05,2,76010.0,2.91,수익청산,7.69,20
KODEX 200,K=20,2005,폭락,-5.0,2026-03-03,86705.0,2026-03-04,1,82370.0,-5.0,장중손절,-7.88,20
KODEX 200,K=20,2005,폭락,-5.0,2026-03-04,75900.0,2026-03-05,1,83570.0,10.11,수익청산,-12.46,20
KODEX 200,K=20,2005,폭등,-5.0,2026-03-05,83570.0,2026-03-06,1,83560.0,0.01,수익청산,10.11,20
KODEX 200,K=20,2005,폭락,-5.0,2026-03-09,78230.0,2026-03-10,1,82900.0,5.97,수익청산,-6.38,20
KODEX 200,K=20,2005,폭등,-5.0,2026-03-10,82900.0,2026-03-12,2,83200.0,-0.36,기한청산,5.97,20
KODEX 200,K=20,2005,폭등,-5.0,2026-03-18,89370.0,2026-03-19,1,86750.0,2.93,수익청산,5.59,20
KODEX 200,K=20,2005,폭락,-5.0,2026-03-23,81025.0,2026-03-24,1,83505.0,3.06,수익청산,-6.5,20
KODEX 200,K=20,2005,폭등,-5.0,2026-04-01,82170.0,2026-04-02,1,78190.0,4.84,수익청산,8.94,20
KODEX 200,K=20,2005,폭등,-5.0,2026-04-08,89000.0,2026-04-09,1,87250.0,1.97,수익청산,7.53,20
KODEX 200,K=20,2005,폭등,-5.0,2026-05-04,105295.0,2026-05-06,1,111460.0,-5.85,갭손절,5.4,20
KODEX 200,K=20,2005,폭등,-5.0,2026-05-06,113270.0,2026-05-08,2,115810.0,-2.24,기한청산,7.57,20
KODEX 200,K=20,2005,폭락,-5.0,2026-05-15,117200.0,2026-05-18,1,117840.0,0.55,수익청산,-6.13,20
KODEX 200,K=20,2005,폭등,-5.0,2026-05-21,123060.0,2026-05-26,2,126755.0,-3.0,기한청산,8.58,20
KODEX 200,K=20,2005,폭락,-5.0,2026-06-08,119560.0,2026-06-09,1,130130.0,8.84,수익청산,-8.75,20
KODEX 200,K=20,2005,폭등,-5.0,2026-06-09,130130.0,2026-06-10,1,123795.0,4.87,수익청산,8.84,20
KODEX 200,K=20,2005,폭락,-5.0,2026-06-23,132820.0,2026-06-24,1,138145.0,4.01,수익청산,-10.47,20
KODEX 200,K=20,2005,폭락,-5.0,2026-07-02,123530.0,2026-07-03,1,131010.0,6.06,수익청산,-8.17,20
KODEX 200,K=20,2005,폭등,-5.0,2026-07-03,131010.0,2026-07-06,1,130125.0,0.68,수익청산,6.06,20
KODEX 200,K=20,2005,폭락,-5.0,2026-07-13,108820.0,2026-07-14,1,103379.0,-5.0,장중손절,-9.77,20
KODEX 200,K=20,2005,폭등,-5.0,2026-07-15,116735.0,2026-07-16,1,109000.0,6.63,수익청산,6.39,20
KODEX 200,K=20,2005,폭락,-5.0,2026-07-16,109000.0,2026-07-20,1,103550.0,-5.0,장중손절,-6.63,20
KODEX 200,K=20,2005,폭락,-5.0,2026-07-28,95675.0,2026-07-29,1,90891.0,-5.0,장중손절,-11.19,20
KODEX 200,K=20,2005,폭락,-5.0,2026-07-29,89605.0,2026-07-31,2,108820.0,21.44,수익청산,-6.34,20
KODEX 200,K=20,2005,폭등,-5.0,2026-07-31,108820.0,2026-08-03,1,99105.0,8.93,수익청산,24.17,20
KODEX 200,K=20,2005,폭락,-5.0,2026-08-03,99105.0,2026-08-04,1,100330.0,1.24,수익청산,-8.93,20
KODEX 200,K=20,2005,폭등,-5.0,2026-08-20,108190.0,2026-08-24,2,105995.0,2.03,수익청산,6.32,20
QQQ,K=10,2005,폭락,-5.0,2008-09-29,37.82,2008-09-30,1,38.91,2.88,수익청산,-7.94,1
QQQ,K=10,2005,폭등,-5.0,2008-10-13,35.13,2008-10-14,1,33.61,4.33,수익청산,12.16,1
QQQ,K=10,2005,폭락,-5.0,2008-10-15,30.6,2008-10-16,1,32.26,5.42,수익청산,-8.96,1
QQQ,K=10,2005,폭등,-5.0,2008-10-28,31.86,2008-10-29,1,31.78,0.25,수익청산,11.05,1
QQQ,K=10,2005,폭락,-5.0,2020-03-12,177.32,2020-03-13,1,192.34,8.47,수익청산,-9.17,2
QQQ,K=10,2005,폭락,-5.0,2020-03-16,169.3,2020-03-17,1,182.14,7.58,수익청산,-11.98,2
QQQ,K=10,2005,폭등,-5.0,2025-04-09,466.0,2025-04-10,1,446.18,4.25,수익청산,12.0,3
QQQ,K=20,2005,폭락,-5.0,2008-09-29,37.82,2008-09-30,1,38.91,2.88,수익청산,-7.94,1
QQQ,K=20,2005,폭락,-5.0,2008-10-07,32.65,2008-10-09,2,31.0175,-5.0,장중손절,-6.34,1
QQQ,K=20,2005,폭등,-5.0,2008-10-13,35.13,2008-10-14,1,33.61,4.33,수익청산,12.16,1
QQQ,K=20,2005,폭락,-5.0,2008-10-15,30.6,2008-10-16,1,32.26,5.42,수익청산,-8.96,1
QQQ,K=20,2005,폭등,-5.0,2008-10-28,31.86,2008-10-29,1,31.78,0.25,수익청산,11.05,1
QQQ,K=20,2005,폭락,-5.0,2008-12-01,26.93,2008-12-02,1,27.83,3.34,수익청산,-7.52,2
QQQ,K=20,2005,폭락,-5.0,2020-03-09,193.57,2020-03-10,1,204.11,5.45,수익청산,-6.95,3
QQQ,K=20,2005,폭락,-5.0,2020-03-12,177.32,2020-03-13,1,192.34,8.47,수익청산,-9.17,3
QQQ,K=20,2005,폭등,-5.0,2020-03-13,192.34,2020-03-16,1,169.3,11.98,수익청산,8.47,3
QQQ,K=20,2005,폭락,-5.0,2020-03-16,169.3,2020-03-17,1,182.14,7.58,수익청산,-11.98,3
QQQ,K=20,2005,폭등,-5.0,2020-03-17,182.14,2020-03-18,1,176.6,3.04,수익청산,7.58,3
QQQ,K=20,2005,폭등,-5.0,2020-03-24,183.66,2020-03-25,1,182.3,0.74,수익청산,7.74,3
QQQ,K=20,2005,폭등,-5.0,2022-11-10,282.75,2022-11-14,2,285.44,-0.95,기한청산,7.38,4
QQQ,K=20,2005,폭등,-5.0,2025-04-09,466.0,2025-04-10,1,446.18,4.25,수익청산,12.0,5
