종목,만기월,방향,손절선(%),신호,제외,합계(%),평균(%),승률(%),최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일
SPY,9,아래,-4.5,33,0,29.39,0.89,72.73,6.57,-4.5,2.24,0,2,4.85
SPY,9,아래,-5.0,33,0,31.07,0.94,72.73,6.57,-5.21,2.16,1,0,4.94
SPY,9,아래,-5.5,33,0,30.42,0.92,72.73,6.57,-5.86,2.22,1,0,5.0
SPY,9,아래,-6.0,33,0,30.28,0.92,72.73,6.57,-6.0,2.23,0,1,5.0
SPY,9,아래,-6.5,33,0,29.78,0.9,72.73,6.57,-6.5,2.28,0,1,5.0
SPY,9,아래,-7.0,33,0,29.28,0.89,72.73,6.57,-7.0,2.33,0,1,5.0
SPY,9,아래,-7.5,33,0,28.78,0.87,72.73,6.57,-7.5,2.39,0,1,5.0
SPY,9,아래,-8.0,33,0,28.28,0.86,72.73,6.57,-8.0,2.44,0,1,5.0
SPY,9,아래,-8.5,33,0,27.78,0.84,72.73,6.57,-8.5,2.5,0,1,5.0
SPY,9,아래,-9.0,33,0,27.28,0.83,72.73,6.57,-9.0,2.56,0,1,5.0
SPY,9,아래,-9.5,33,0,26.78,0.81,72.73,6.57,-9.5,2.62,0,1,5.0
SPY,9,아래,-10.0,33,0,26.28,0.8,72.73,6.57,-10.0,2.68,0,1,5.0
DIA,9,아래,무손절,28,0,26.29,0.94,71.43,6.45,-6.7,2.49,0,0,5.0
DIA,9,아래,-1.0,28,0,26.79,0.96,64.29,6.45,-3.21,2.17,2,5,4.32
DIA,9,아래,-1.5,28,0,30.02,1.07,71.43,6.45,-3.21,2.13,2,2,4.57
