레벨,레벨가,목표가,매수일,매수 판정환율,매수 집행가,매도일,매도 판정환율,매도 집행가,투입액,매수비용,회수액,매도비용,매도과세,실현손익,이탈 보너스,보유일
1,1008.0,1016.064,2008-07-09,1004.9,1004.9,2008-07-21,1018.0,1018.0,4837986.0,8708.0,4883427.0,8806.0,0.0,45441.0,24321.0,12
1,1008.0,1016.064,2008-07-24,1007.1,1007.1,2008-08-04,1017.4,1017.4,4849926.0,8730.0,4881906.0,8803.0,0.0,31980.0,10783.0,11
2,1016.064,1024.1925,2008-07-09,1004.9,1004.9,2008-08-08,1027.9,1027.9,2418993.0,4354.0,2465459.0,4446.0,0.0,46466.0,35949.0,30
3,1024.1925,1032.3861,2008-07-09,1004.9,1004.9,2008-08-12,1034.7,1034.7,2418993.0,4354.0,2481769.0,4475.0,0.0,62776.0,52288.0,34
4,1032.3861,1040.6451,2008-07-09,1004.9,1004.9,2008-08-18,1046.9,1046.9,2418993.0,4354.0,2511031.0,4528.0,0.0,92038.0,81603.0,40
5,1040.6451,1048.9703,2008-07-08,1032.7,1032.7,2008-08-19,1049.4,1049.4,2426353.0,4367.0,2456722.0,4430.0,0.0,30369.0,19791.0,42
6,1048.9703,1057.3621,2005-10-26,1042.5,1042.5,2008-08-22,1062.5,1062.5,5701913.0,10263.0,5790401.0,10442.0,0.0,88487.0,63659.0,1031
7,1057.3621,1065.821,2005-01-07,1051.1,1051.1,2008-08-25,1078.9,1078.9,5264975.0,9477.0,5384788.0,9710.0,0.0,119813.0,96956.0,1326
30,1270.0358,1280.1961,2008-11-03,1262.0,1262.0,2008-11-04,1288.0,1288.0,1237755.0,2228.0,1258711.0,2270.0,0.0,20957.0,15570.0,1
30,1270.0358,1280.1961,2008-11-05,1266.0,1266.0,2008-11-06,1331.0,1331.0,1238386.0,2229.0,1297285.0,2339.0,0.0,58899.0,53579.0,1
31,1280.1961,1290.4377,2008-11-03,1262.0,1262.0,2008-11-06,1331.0,1331.0,1237755.0,2228.0,1300734.0,2346.0,0.0,62979.0,57668.0,3
32,1290.4377,1300.7612,2008-11-03,1262.0,1262.0,2008-11-06,1331.0,1331.0,1237755.0,2228.0,1300734.0,2346.0,0.0,62979.0,57668.0,3
32,1290.4377,1300.7612,2008-12-19,1290.0,1290.0,2008-12-22,1309.0,1309.0,1081897.0,1947.0,1093884.0,1973.0,0.0,11986.0,7267.0,3
33,1300.7612,1311.1672,2008-12-18,1292.0,1292.0,2008-12-23,1338.0,1338.0,1081996.0,1948.0,1116489.0,2013.0,0.0,34493.0,29813.0,5
34,1311.1672,1321.6566,2008-12-18,1292.0,1292.0,2008-12-23,1338.0,1338.0,1081996.0,1948.0,1116489.0,2013.0,0.0,34493.0,29813.0,5
35,1321.6566,1332.2298,2008-12-18,1292.0,1292.0,2008-12-23,1338.0,1338.0,1081996.0,1948.0,1116489.0,2013.0,0.0,34493.0,29813.0,5
29,1259.9562,1270.0358,2008-12-30,1259.5,1259.5,2009-01-02,1321.0,1321.0,1081372.0,1946.0,1130095.0,2038.0,0.0,48723.0,44072.0,3
30,1270.0358,1280.1961,2008-12-29,1263.0,1263.0,2009-01-02,1321.0,1321.0,1081676.0,1947.0,1127280.0,2033.0,0.0,45604.0,40946.0,4
31,1280.1961,1290.4377,2008-12-29,1263.0,1263.0,2009-01-02,1321.0,1321.0,1081676.0,1947.0,1127280.0,2033.0,0.0,45604.0,40946.0,4
32,1290.4377,1300.7612,2008-12-29,1263.0,1263.0,2009-01-02,1321.0,1321.0,1081676.0,1947.0,1127280.0,2033.0,0.0,45604.0,40946.0,4
33,1300.7612,1311.1672,2008-12-26,1299.0,1299.0,2009-01-02,1321.0,1321.0,1084094.0,1951.0,1098489.0,1981.0,0.0,14395.0,9670.0,7
33,1300.7612,1311.1672,2009-01-07,1292.5,1292.5,2009-01-08,1333.0,1333.0,1086094.0,1955.0,1116098.0,2013.0,0.0,30004.0,25298.0,1
34,1311.1672,1321.6566,2008-12-24,1306.5,1306.5,2009-01-08,1333.0,1333.0,1084434.0,1952.0,1102450.0,1988.0,0.0,18016.0,13296.0,15
35,1321.6566,1332.2298,2008-12-24,1306.5,1306.5,2009-01-08,1333.0,1333.0,1084434.0,1952.0,1102450.0,1988.0,0.0,18016.0,13296.0,15
36,1332.2298,1342.8877,2008-12-17,1325.0,1325.0,2009-01-09,1343.0,1343.0,1083634.0,1951.0,1094405.0,1973.0,0.0,10771.0,6041.0,23
37,1342.8877,1353.6308,2008-12-17,1325.0,1325.0,2009-01-12,1359.0,1359.0,1083634.0,1951.0,1107443.0,1997.0,0.0,23809.0,19103.0,26
38,1353.6308,1364.4598,2008-12-16,1349.6,1349.6,2009-01-15,1392.0,1392.0,1084441.0,1952.0,1114488.0,2010.0,0.0,30047.0,25348.0,30
39,1364.4598,1375.3755,2008-12-11,1358.5,1358.5,2009-01-15,1392.0,1392.0,1084127.0,1951.0,1106866.0,1996.0,0.0,22739.0,18029.0,35
40,1375.3755,1386.3785,2008-12-11,1358.5,1358.5,2009-01-15,1392.0,1392.0,1084127.0,1951.0,1106866.0,1996.0,0.0,22739.0,18029.0,35
39,1364.4598,1375.3755,2009-01-16,1358.0,1358.0,2009-01-22,1378.0,1378.0,1091632.0,1965.0,1103725.0,1990.0,0.0,12093.0,7331.0,6
40,1375.3755,1386.3785,2009-01-16,1358.0,1358.0,2009-01-23,1390.9,1390.9,1091632.0,1965.0,1114057.0,2009.0,0.0,22425.0,17682.0,7
41,1386.3785,1397.4695,2008-12-11,1358.5,1358.5,2009-02-12,1404.5,1404.5,1084127.0,1951.0,1116805.0,2014.0,0.0,32678.0,27986.0,63
42,1397.4695,1408.6493,2008-12-10,1393.8,1393.8,2009-02-16,1427.5,1427.5,1084268.0,1952.0,1106490.0,1995.0,0.0,22222.0,17510.0,68
43,1408.6493,1419.9185,2009-03-17,1408.5,1408.5,2009-03-18,1421.5,1421.5,1038622.0,1870.0,1044438.0,1883.0,0.0,5816.0,1275.0,1
42,1397.4695,1408.6493,2009-03-19,1396.0,1396.0,2009-03-20,1412.5,1412.5,1038598.0,1869.0,1047094.0,1888.0,0.0,8496.0,3960.0,1
36,1332.2298,1342.8877,2009-03-26,1330.5,1330.5,2009-03-27,1348.0,1348.0,1036545.0,1866.0,1046401.0,1887.0,0.0,9856.0,5332.0,1
