종목,만기월,방향,손절선(%),구간,신호,제외,합계(%),평균(%),승률(%),최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능
DIA,12,위,-9.0,최근 5년,5,0,4.4,0.88,100.0,1.62,0.31,0.56,0,0,4.4,아니오
DIA,12,위,-9.5,전체,28,0,25.08,0.9,82.14,3.8,-2.8,1.52,0,0,4.29,예
DIA,12,위,-9.5,앞 절반,14,0,12.89,0.92,71.43,3.8,-2.8,1.84,0,0,4.29,예
DIA,12,위,-9.5,뒤 절반,14,0,12.2,0.87,92.86,2.85,-2.06,1.18,0,0,4.29,예
DIA,12,위,-9.5,최근 10년,10,0,8.85,0.88,100.0,2.85,0.04,0.84,0,0,4.4,예
DIA,12,위,-9.5,최근 5년,5,0,4.4,0.88,100.0,1.62,0.31,0.56,0,0,4.4,아니오
DIA,12,위,-10.0,전체,28,0,25.08,0.9,82.14,3.8,-2.8,1.52,0,0,4.29,예
DIA,12,위,-10.0,앞 절반,14,0,12.89,0.92,71.43,3.8,-2.8,1.84,0,0,4.29,예
DIA,12,위,-10.0,뒤 절반,14,0,12.2,0.87,92.86,2.85,-2.06,1.18,0,0,4.29,예
DIA,12,위,-10.0,최근 10년,10,0,8.85,0.88,100.0,2.85,0.04,0.84,0,0,4.4,예
DIA,12,위,-10.0,최근 5년,5,0,4.4,0.88,100.0,1.62,0.31,0.56,0,0,4.4,아니오
KODEX 200,9,위,무손절,전체,23,0,28.71,1.25,78.26,4.61,-3.32,2.28,0,0,5.3,예
KODEX 200,9,위,무손절,앞 절반,11,0,18.95,1.72,81.82,4.61,-3.15,2.37,0,0,5.36,예
KODEX 200,9,위,무손절,뒤 절반,12,0,9.75,0.81,75.0,4.44,-3.32,2.21,0,0,5.25,예
KODEX 200,9,위,무손절,최근 10년,10,0,6.16,0.62,70.0,4.44,-3.32,2.34,0,0,5.1,예
KODEX 200,9,위,무손절,최근 5년,5,0,2.64,0.53,60.0,4.44,-2.78,2.59,0,0,5.0,아니오
KODEX 200,9,위,-1.0,전체,23,0,19.54,0.85,56.52,4.61,-5.35,2.42,2,6,4.3,예
KODEX 200,9,위,-1.0,앞 절반,11,0,12.64,1.15,63.64,4.61,-5.35,3.01,1,2,4.45,예
KODEX 200,9,위,-1.0,뒤 절반,12,0,6.9,0.57,50.0,4.44,-1.27,1.82,1,4,4.17,예
