대상,격자 칸,진입 달력일,청산 상대 거래일,시기,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
229200,15일 → 말일+2,15,2,최근 5년,60,0,60,-0.45,-0.27,48.33,51.67,27.18,-15.39,7.07,1219,0,1219,-0.0,0.21,51.6,47.99,30.47,-19.82,6.58,-0.44,-0.48,-3.27,3.68,0.6254,0.5205,0.6943,0.6873,,False,예
229200,15일 → 말일+3,15,3,앞 절반,65,0,65,0.63,0.79,55.38,44.62,10.39,-17.42,5.85,1310,0,1310,0.6,0.61,54.12,45.65,27.98,-21.05,5.56,0.03,0.17,1.26,-1.03,0.975,0.8601,0.8891,0.8911,,False,예
229200,15일 → 말일+3,15,3,뒤 절반,65,0,65,-0.04,0.52,52.31,47.69,26.52,-18.28,7.06,1309,0,1309,0.13,0.48,54.24,45.68,29.79,-19.42,6.55,-0.16,0.04,-1.93,2.01,0.8472,0.958,0.8152,0.8122,,True,예
229200,15일 → 말일+3,15,3,최근 10년,119,0,119,0.13,0.52,52.94,47.06,26.52,-18.28,6.63,2428,0,2428,0.35,0.52,53.79,46.09,29.79,-21.05,6.3,-0.21,0.01,-0.85,0.97,0.7313,0.99,0.9241,0.9201,,False,예
229200,15일 → 말일+3,15,3,최근 5년,59,0,59,-0.12,0.04,50.85,49.15,26.52,-18.28,7.26,1199,0,1199,0.18,0.44,53.46,46.46,29.79,-19.42,6.8,-0.31,-0.41,-2.61,2.7,0.7233,0.6533,0.7882,0.7862,,True,예
229200,16일 → 말일-3,16,-3,앞 절반,65,0,65,-0.59,0.05,50.77,49.23,6.43,-10.54,3.67,1054,0,1054,-0.39,-0.04,49.34,50.09,17.32,-17.8,4.42,-0.21,0.1,1.43,-0.86,0.6733,0.7922,0.9141,1.0,,True,예
229200,16일 → 말일-3,16,-3,뒤 절반,66,0,66,-0.12,-0.32,48.48,51.52,18.38,-12.78,4.92,1069,0,1069,0.21,0.07,50.8,48.64,22.44,-28.75,5.47,-0.33,-0.39,-2.31,2.87,0.5544,0.3636,0.6943,0.5834,,False,예
229200,16일 → 말일-3,16,-3,최근 10년,120,0,120,-0.37,-0.3,48.33,51.67,18.38,-12.78,4.47,1968,0,1968,0.03,0.1,51.12,48.37,22.44,-28.75,5.1,-0.4,-0.41,-2.78,3.29,0.3776,0.2757,0.5594,0.4965,,False,예
229200,16일 → 말일-3,16,-3,최근 5년,60,0,60,-0.17,-0.65,46.67,53.33,18.38,-12.78,5.15,979,0,979,0.17,0.04,50.15,49.23,22.44,-28.75,5.7,-0.33,-0.69,-3.49,4.1,0.6314,0.2577,0.5914,0.5934,,False,예
229200,16일 → 말일-2,16,-2,앞 절반,65,0,65,-0.43,0.16,53.85,41.54,7.31,-11.22,4.12,1118,0,1118,-0.22,0.05,50.36,49.02,19.42,-20.03,4.61,-0.21,0.11,3.49,-7.48,0.6823,0.8412,0.5974,0.2428,,True,예
229200,16일 → 말일-2,16,-2,뒤 절반,66,0,66,-0.52,0.31,51.52,46.97,27.24,-18.08,6.08,1134,0,1134,-0.22,-0.21,47.53,52.12,31.61,-33.08,6.33,-0.3,0.52,3.98,-5.15,0.6583,0.3467,0.6304,0.4545,,True,예
229200,16일 → 말일-2,16,-2,최근 10년,120,0,120,-0.52,0.31,52.5,45.0,27.24,-18.08,5.35,2088,0,2088,-0.14,0.04,50.19,49.47,31.61,-33.08,5.7,-0.38,0.27,2.31,-4.47,0.4515,0.5055,0.6284,0.3387,,True,예
