대상,월,시기,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
251340,8,최근 5년,5,0,5,-0.4,0.73,60.0,40.0,1.94,-4.88,2.79,100,0,100,-0.63,-0.5,44.0,54.0,4.65,-14.44,3.2,0.23,1.23,16.0,-14.0,,,,,표본 부족으로 검정 불가,True,아니오
251340,9,앞 절반,5,0,5,2.3,0.54,80.0,20.0,5.5,-0.24,2.9,76,0,76,0.82,0.98,64.47,35.53,6.24,-5.8,3.04,1.48,-0.44,15.53,-15.53,,,,,표본 부족으로 검정 불가,False,아니오
251340,9,뒤 절반,5,0,5,3.81,3.76,80.0,20.0,10.72,-2.39,4.7,75,0,75,2.78,1.97,66.67,32.0,18.51,-9.48,6.51,1.03,1.79,13.33,-12.0,,,,,표본 부족으로 검정 불가,False,아니오
251340,9,최근 10년,10,0,10,3.05,3.13,80.0,20.0,10.72,-2.39,3.77,183,0,183,1.6,1.14,65.03,34.43,18.51,-9.48,4.8,1.45,1.99,14.97,-14.43,0.3087,0.1419,0.3487,0.5225,,False,예
251340,9,최근 5년,5,0,5,3.81,3.76,80.0,20.0,10.72,-2.39,4.7,91,0,91,2.68,2.1,71.43,27.47,18.51,-9.48,5.94,1.12,1.66,8.57,-7.47,,,,,표본 부족으로 검정 불가,False,아니오
251340,10,앞 절반,5,0,5,1.94,2.88,60.0,40.0,12.85,-5.3,7.33,73,0,73,2.14,1.32,54.79,45.21,23.03,-10.94,7.95,-0.2,1.56,5.21,-5.21,,,,,표본 부족으로 검정 불가,False,아니오
251340,10,뒤 절반,5,0,5,-0.72,-0.27,40.0,60.0,5.46,-4.94,4.35,71,0,71,0.69,0.35,50.7,49.3,14.58,-9.73,5.91,-1.41,-0.61,-10.7,10.7,,,,,표본 부족으로 검정 불가,False,아니오
251340,10,최근 10년,10,0,10,0.61,0.33,50.0,50.0,12.85,-5.3,5.85,182,0,182,1.22,0.41,53.85,46.15,23.03,-10.94,6.45,-0.62,-0.08,-3.85,3.85,0.7842,0.9141,1.0,1.0,,False,예
251340,10,최근 5년,5,0,5,-0.72,-0.27,40.0,60.0,5.46,-4.94,4.35,90,0,90,0.1,-0.25,45.56,54.44,14.58,-9.73,5.46,-0.83,-0.02,-5.56,5.56,,,,,표본 부족으로 검정 불가,False,아니오
251340,11,앞 절반,5,0,5,1.61,3.0,60.0,40.0,5.55,-2.43,3.35,85,0,85,-0.52,0.14,50.59,49.41,10.24,-12.15,5.59,2.13,2.87,9.41,-9.41,,,,,표본 부족으로 검정 불가,False,아니오
251340,11,뒤 절반,5,0,5,1.04,0.97,60.0,40.0,5.94,-2.23,3.38,83,0,83,0.25,-1.17,48.19,51.81,14.78,-14.38,5.17,0.79,2.14,11.81,-11.81,,,,,표본 부족으로 검정 불가,False,아니오
251340,11,최근 10년,10,0,10,1.33,1.72,60.0,40.0,5.94,-2.43,3.18,205,0,205,0.09,0.35,53.17,46.83,14.78,-14.38,5.14,1.23,1.37,6.83,-6.83,0.4436,0.4176,0.7642,0.7642,,False,예
251340,11,최근 5년,5,0,5,1.04,0.97,60.0,40.0,5.94,-2.23,3.38,102,0,102,0.21,0.19,50.98,49.02,14.78,-14.38,4.98,0.83,0.78,9.02,-9.02,,,,,표본 부족으로 검정 불가,False,아니오
251340,12,앞 절반,5,0,5,-4.68,-3.65,0.0,100.0,-1.63,-9.42,2.95,76,0,76,-5.18,-5.46,6.58,93.42,4.1,-12.65,3.66,0.5,1.81,-6.58,6.58,,,,,표본 부족으로 검정 불가,False,아니오
251340,12,뒤 절반,5,0,5,-1.35,-1.35,20.0,80.0,2.02,-4.18,2.36,80,0,80,0.42,0.6,52.5,46.25,9.22,-8.86,4.06,-1.77,-1.95,-32.5,33.75,,,,,표본 부족으로 검정 불가,False,아니오
251340,12,최근 10년,10,0,10,-3.01,-3.11,10.0,90.0,2.02,-9.42,3.07,193,0,193,-2.57,-2.9,24.87,74.61,9.22,-12.65,4.45,-0.45,-0.21,-14.87,15.39,0.7532,0.8232,0.4795,0.3307,,False,예
251340,12,최근 5년,5,0,5,-1.35,-1.35,20.0,80.0,2.02,-4.18,2.36,98,0,98,-0.13,-0.45,43.88,55.1,9.22,-8.86,3.93,-1.21,-0.9,-23.88,24.9,,,,,표본 부족으로 검정 불가,False,아니오
2203,1,앞 절반,8,0,8,-1.67,-0.92,25.0,75.0,1.22,-9.34,3.34,140,0,140,-0.71,-0.85,37.86,62.14,5.44,-10.23,2.56,-0.97,-0.07,-12.86,12.86,,,,,표본 부족으로 검정 불가,False,아니오
2203,1,뒤 절반,9,0,9,1.34,1.35,55.56,44.44,26.16,-9.65,10.53,156,0,156,0.26,-1.33,48.08,51.92,30.2,-18.2,10.18,1.08,2.68,7.48,-7.48,,,,,표본 부족으로 검정 불가,False,아니오
2203,1,최근 10년,10,0,10,1.1,0.11,50.0,50.0,26.16,-9.65,9.96,195,0,195,1.0,-0.77,47.69,52.31,32.56,-18.2,10.14,0.09,0.88,2.31,-2.31,0.994,0.8402,1.0,1.0,,False,예
2203,1,최근 5년,5,0,5,3.18,1.35,60.0,40.0,26.16,-9.65,13.8,96,0,96,2.7,1.24,56.25,43.75,32.56,-18.2,13.14,0.48,0.11,3.75,-3.75,,,,,표본 부족으로 검정 불가,False,아니오
2203,2,앞 절반,8,0,8,0.41,0.57,75.0,25.0,2.07,-2.18,1.39,125,0,125,0.93,0.92,68.0,32.0,7.29,-8.33,3.13,-0.53,-0.34,7.0,-7.0,,,,,표본 부족으로 검정 불가,False,아니오
2203,2,뒤 절반,9,0,9,-1.22,-0.61,33.33,66.67,4.52,-8.49,3.97,143,0,143,0.06,0.13,51.75,48.25,13.77,-10.38,5.54,-1.28,-0.74,-18.41,18.41,,,,,표본 부족으로 검정 불가,False,아니오
2203,2,최근 10년,10,0,10,-1.17,-0.68,30.0,70.0,4.52,-8.49,3.74,177,0,177,0.15,0.35,52.54,47.46,13.77,-10.38,5.1,-1.32,-1.03,-22.54,22.54,0.3856,0.5055,0.2248,0.2248,,False,예
2203,2,최근 5년,5,0,5,1.0,1.01,60.0,40.0,4.52,-2.78,2.76,89,0,89,3.12,2.51,78.65,21.35,13.77,-4.37,4.26,-2.12,-1.5,-18.65,18.65,,,,,표본 부족으로 검정 불가,False,아니오
2203,3,앞 절반,8,0,8,0.74,0.44,50.0,50.0,6.92,-2.31,3.06,143,0,143,0.49,0.38,58.04,41.96,8.18,-4.53,2.25,0.25,0.06,-8.04,8.04,,,,,표본 부족으로 검정 불가,False,아니오
