대상,격자 칸,진입 달력일,청산 상대 거래일,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
2203,15일 → 말일+2,15,2,200,0,200,0.13,0.6,52.0,48.0,26.88,-16.05,5.48,4101,0,4101,0.36,0.35,53.62,46.38,30.22,-20.03,5.2,-0.23,0.25,-1.62,1.62,0.5275,0.4456,0.6643,0.6643,,False,예
2203,15일 → 말일+3,15,3,200,0,200,0.15,0.18,51.5,48.5,26.42,-19.02,5.78,4101,0,4101,0.35,0.43,53.35,46.65,30.64,-20.24,5.47,-0.19,-0.25,-1.85,1.85,0.6184,0.5504,0.5914,0.5914,,False,예
2203,16일 → 말일-3,16,-3,200,0,200,-0.45,-0.13,49.5,50.5,17.76,-12.76,4.08,3301,0,3301,-0.16,-0.01,49.86,50.14,22.16,-28.91,4.62,-0.29,-0.12,-0.36,0.36,0.3786,0.7003,0.9351,0.9351,,False,예
2203,16일 → 말일-2,16,-2,200,0,200,-0.62,-0.12,47.5,52.5,26.57,-18.13,4.65,3501,0,3501,-0.33,-0.17,47.36,52.61,31.29,-33.28,4.99,-0.29,0.05,0.14,-0.11,0.4036,0.7912,0.9391,0.9381,,False,예
2203,16일 → 말일-1,16,-1,200,0,200,-0.33,-0.35,48.5,51.5,30.52,-21.41,4.87,3701,0,3701,-0.02,0.06,50.45,49.53,35.38,-35.95,5.05,-0.31,-0.41,-1.95,1.97,0.3866,0.2058,0.6294,0.6244,,False,예
2203,16일 → 말일,16,0,200,0,200,-0.21,0.01,50.0,50.0,27.8,-11.51,5.01,3901,0,3901,0.11,0.17,51.86,48.14,32.56,-27.46,4.99,-0.32,-0.15,-1.86,1.86,0.3437,0.6114,0.6294,0.6294,,False,예
2203,16일 → 말일+1,16,1,200,0,200,0.0,0.2,51.5,48.5,20.78,-10.65,4.84,4101,0,4101,0.32,0.31,53.84,46.14,25.56,-25.3,4.78,-0.32,-0.11,-2.34,2.36,0.3746,0.7133,0.5255,0.5255,,False,예
2203,16일 → 말일+2,16,2,200,0,200,0.03,0.27,52.0,48.0,25.53,-14.22,5.28,4101,0,4101,0.36,0.35,53.62,46.38,30.22,-20.03,5.2,-0.33,-0.08,-1.62,1.62,0.3746,0.8492,0.6643,0.6643,,False,예
2203,16일 → 말일+3,16,3,200,0,200,0.06,0.15,51.5,48.5,25.08,-17.36,5.6,4101,0,4101,0.35,0.43,53.35,46.65,30.64,-20.24,5.47,-0.29,-0.28,-1.85,1.85,0.4486,0.4955,0.5914,0.5914,,False,예
2203,17일 → 말일-3,17,-3,200,0,200,-0.44,0.15,51.0,49.0,17.76,-12.76,3.9,3301,0,3301,-0.16,-0.01,49.86,50.14,22.16,-28.91,4.62,-0.29,0.16,1.14,-1.14,0.3866,0.4985,0.7612,0.7612,,True,예
