종목,만기월,방향,손절선(%),시기,신호,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),이길 때(%),질 때(%),질 때 표본,최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,시기 시작일,시기 종료일
DIA,12,위,-8.5,앞 절반,14,12.89,0.92,71.43,1.517,39.73,1.75,-1.15,4,3.8,-2.8,1.84,0,0,4.29,예,1998-12-18,2011-12-16
DIA,12,위,-8.5,뒤 절반,14,12.2,0.87,92.86,0.532,65.29,1.1,-2.06,1,2.85,-2.06,1.18,0,0,4.29,예,2012-12-21,2025-12-19
DIA,12,위,-8.5,최근 10년,10,8.85,0.88,100.0,,,0.88,,0,2.85,0.04,0.84,0,0,4.4,예,2016-12-16,2025-12-19
DIA,12,위,-8.5,최근 5년,5,4.4,0.88,100.0,,,0.88,,0,1.62,0.31,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19
DIA,12,위,-9.0,전체,28,25.08,0.9,82.14,1.034,49.16,1.38,-1.34,5,3.8,-2.8,1.52,0,0,4.29,예,1998-12-18,2025-12-19
DIA,12,위,-9.0,앞 절반,14,12.89,0.92,71.43,1.517,39.73,1.75,-1.15,4,3.8,-2.8,1.84,0,0,4.29,예,1998-12-18,2011-12-16
DIA,12,위,-9.0,뒤 절반,14,12.2,0.87,92.86,0.532,65.29,1.1,-2.06,1,2.85,-2.06,1.18,0,0,4.29,예,2012-12-21,2025-12-19
DIA,12,위,-9.0,최근 10년,10,8.85,0.88,100.0,,,0.88,,0,2.85,0.04,0.84,0,0,4.4,예,2016-12-16,2025-12-19
DIA,12,위,-9.0,최근 5년,5,4.4,0.88,100.0,,,0.88,,0,1.62,0.31,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19
DIA,12,위,-9.5,전체,28,25.08,0.9,82.14,1.034,49.16,1.38,-1.34,5,3.8,-2.8,1.52,0,0,4.29,예,1998-12-18,2025-12-19
DIA,12,위,-9.5,앞 절반,14,12.89,0.92,71.43,1.517,39.73,1.75,-1.15,4,3.8,-2.8,1.84,0,0,4.29,예,1998-12-18,2011-12-16
DIA,12,위,-9.5,뒤 절반,14,12.2,0.87,92.86,0.532,65.29,1.1,-2.06,1,2.85,-2.06,1.18,0,0,4.29,예,2012-12-21,2025-12-19
DIA,12,위,-9.5,최근 10년,10,8.85,0.88,100.0,,,0.88,,0,2.85,0.04,0.84,0,0,4.4,예,2016-12-16,2025-12-19
DIA,12,위,-9.5,최근 5년,5,4.4,0.88,100.0,,,0.88,,0,1.62,0.31,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19
DIA,12,위,-10.0,전체,28,25.08,0.9,82.14,1.034,49.16,1.38,-1.34,5,3.8,-2.8,1.52,0,0,4.29,예,1998-12-18,2025-12-19
DIA,12,위,-10.0,앞 절반,14,12.89,0.92,71.43,1.517,39.73,1.75,-1.15,4,3.8,-2.8,1.84,0,0,4.29,예,1998-12-18,2011-12-16
DIA,12,위,-10.0,뒤 절반,14,12.2,0.87,92.86,0.532,65.29,1.1,-2.06,1,2.85,-2.06,1.18,0,0,4.29,예,2012-12-21,2025-12-19
DIA,12,위,-10.0,최근 10년,10,8.85,0.88,100.0,,,0.88,,0,2.85,0.04,0.84,0,0,4.4,예,2016-12-16,2025-12-19
DIA,12,위,-10.0,최근 5년,5,4.4,0.88,100.0,,,0.88,,0,1.62,0.31,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19
KODEX 200,9,위,무손절,전체,23,28.71,1.25,78.26,1.082,48.03,2.15,-1.98,5,4.61,-3.32,2.28,0,0,5.3,예,2003-09-09,2025-09-11
KODEX 200,9,위,무손절,앞 절반,11,18.95,1.72,81.82,1.375,42.11,2.51,-1.83,2,4.61,-3.15,2.37,0,0,5.36,예,2003-09-09,2013-09-12
KODEX 200,9,위,무손절,뒤 절반,12,9.75,0.81,75.0,0.853,53.98,1.78,-2.09,3,4.44,-3.32,2.21,0,0,5.25,예,2014-09-11,2025-09-11
KODEX 200,9,위,무손절,최근 10년,10,6.16,0.62,70.0,0.85,54.05,1.77,-2.09,3,4.44,-3.32,2.34,0,0,5.1,예,2016-09-08,2025-09-11
KODEX 200,9,위,무손절,최근 5년,5,2.64,0.53,60.0,1.264,44.17,1.86,-1.47,2,4.44,-2.78,2.59,0,0,5.0,아니오,2021-09-09,2025-09-11
KODEX 200,9,위,-1.0,전체,23,19.54,0.85,56.52,1.9,34.48,2.53,-1.33,10,4.61,-5.35,2.42,2,6,4.3,예,2003-09-09,2025-09-11
KODEX 200,9,위,-1.0,앞 절반,11,12.64,1.15,63.64,1.491,40.15,2.93,-1.96,4,4.61,-5.35,3.01,1,2,4.45,예,2003-09-09,2013-09-12
KODEX 200,9,위,-1.0,뒤 절반,12,6.9,0.57,50.0,2.269,30.59,2.06,-0.91,6,4.44,-1.27,1.82,1,4,4.17,예,2014-09-11,2025-09-11
KODEX 200,9,위,-1.0,최근 10년,10,7.07,0.71,50.0,2.595,27.82,2.3,-0.89,5,4.44,-1.27,1.94,1,3,4.2,예,2016-09-08,2025-09-11
KODEX 200,9,위,-1.0,최근 5년,5,2.85,0.57,40.0,3.258,23.48,2.65,-0.81,3,4.44,-1.27,2.32,1,1,4.6,아니오,2021-09-09,2025-09-11
KODEX 200,9,위,-1.5,전체,23,23.21,1.01,69.57,1.201,45.43,2.28,-1.9,7,4.61,-5.35,2.5,2,3,4.78,예,2003-09-09,2025-09-11
KODEX 200,9,위,-1.5,앞 절반,11,11.64,1.06,63.64,1.322,43.06,2.93,-2.21,4,4.61,-5.35,3.09,1,2,4.45,예,2003-09-09,2013-09-12
KODEX 200,9,위,-1.5,뒤 절반,12,11.57,0.96,75.0,1.203,45.4,1.78,-1.48,3,4.44,-2.78,1.95,1,1,5.08,예,2014-09-11,2025-09-11
KODEX 200,9,위,-1.5,최근 10년,10,7.98,0.8,70.0,1.199,45.48,1.77,-1.48,3,4.44,-2.78,2.06,1,1,4.9,예,2016-09-08,2025-09-11
KODEX 200,9,위,-1.5,최근 5년,5,3.92,0.78,60.0,2.239,30.87,1.86,-0.83,2,4.44,-1.5,2.22,0,1,4.8,아니오,2021-09-09,2025-09-11
KODEX 200,9,위,-2.0,전체,23,21.71,0.94,69.57,1.08,48.09,2.28,-2.11,7,4.61,-5.35,2.57,2,3,4.83,예,2003-09-09,2025-09-11
KODEX 200,9,위,-2.0,앞 절반,11,10.64,0.97,63.64,1.188,45.7,2.93,-2.46,4,4.61,-5.35,3.18,1,2,4.55,예,2003-09-09,2013-09-12
KODEX 200,9,위,-2.0,뒤 절반,12,11.07,0.92,75.0,1.081,48.06,1.78,-1.65,3,4.44,-2.78,2.01,1,1,5.08,예,2014-09-11,2025-09-11
KODEX 200,9,위,-2.0,최근 10년,10,7.48,0.75,70.0,1.078,48.13,1.77,-1.65,3,4.44,-2.78,2.13,1,1,4.9,예,2016-09-08,2025-09-11
KODEX 200,9,위,-2.0,최근 5년,5,3.42,0.68,60.0,1.721,36.75,1.86,-1.08,2,4.44,-2.0,2.36,0,1,4.8,아니오,2021-09-09,2025-09-11
KODEX 200,9,위,-2.5,전체,23,19.36,0.84,69.57,0.931,51.77,2.28,-2.45,7,4.61,-5.35,2.71,3,2,5.04,예,2003-09-09,2025-09-11
KODEX 200,9,위,-2.5,앞 절반,11,9.64,0.88,63.64,1.079,48.11,2.93,-2.71,4,4.61,-5.35,3.27,1,2,4.91,예,2003-09-09,2013-09-12
KODEX 200,9,위,-2.5,뒤 절반,12,9.72,0.81,75.0,0.848,54.1,1.78,-2.1,3,4.44,-3.35,2.22,2,0,5.17,예,2014-09-11,2025-09-11
KODEX 200,9,위,-2.5,최근 10년,10,6.12,0.61,70.0,0.846,54.18,1.77,-2.1,3,4.44,-3.35,2.35,2,0,5.0,예,2016-09-08,2025-09-11
KODEX 200,9,위,-2.5,최근 5년,5,2.07,0.41,60.0,1.059,48.58,1.86,-1.76,2,4.44,-3.35,2.78,1,0,5.0,아니오,2021-09-09,2025-09-11
KODEX 200,9,위,-3.0,전체,23,18.13,0.79,69.57,0.869,53.49,2.28,-2.62,7,4.61,-5.35,2.78,2,3,5.04,예,2003-09-09,2025-09-11
KODEX 200,9,위,-3.0,앞 절반,11,8.64,0.79,63.64,0.988,50.31,2.93,-2.96,4,4.61,-5.35,3.38,1,2,4.91,예,2003-09-09,2013-09-12
KODEX 200,9,위,-3.0,뒤 절반,12,9.5,0.79,75.0,0.819,54.97,1.78,-2.17,3,4.44,-3.35,2.25,1,1,5.17,예,2014-09-11,2025-09-11
KODEX 200,9,위,-3.0,최근 10년,10,5.9,0.59,70.0,0.817,55.04,1.77,-2.17,3,4.44,-3.35,2.39,1,1,5.0,예,2016-09-08,2025-09-11
KODEX 200,9,위,-3.0,최근 5년,5,2.07,0.41,60.0,1.059,48.58,1.86,-1.76,2,4.44,-3.35,2.78,1,0,5.0,아니오,2021-09-09,2025-09-11
KODEX 200,9,위,-3.5,전체,23,16.84,0.73,69.57,0.812,55.18,2.28,-2.81,7,4.61,-5.35,2.86,1,3,5.04,예,2003-09-09,2025-09-11
KODEX 200,9,위,-3.5,앞 절반,11,7.99,0.73,63.64,0.937,51.64,2.93,-3.13,4,4.61,-5.35,3.46,1,1,4.91,예,2003-09-09,2013-09-12
KODEX 200,9,위,-3.5,뒤 절반,12,8.85,0.74,75.0,0.745,57.3,1.78,-2.39,3,4.44,-3.5,2.35,0,2,5.17,예,2014-09-11,2025-09-11
KODEX 200,9,위,-3.5,최근 10년,10,5.25,0.53,70.0,0.743,57.37,1.77,-2.39,3,4.44,-3.5,2.5,0,2,5.0,예,2016-09-08,2025-09-11
KODEX 200,9,위,-3.5,최근 5년,5,1.92,0.38,60.0,1.016,49.6,1.86,-1.83,2,4.44,-3.5,2.83,0,1,5.0,아니오,2021-09-09,2025-09-11
KODEX 200,9,위,-4.0,전체,23,17.24,0.75,69.57,0.829,54.67,2.28,-2.75,7,4.61,-5.35,2.84,1,1,5.09,예,2003-09-09,2025-09-11
KODEX 200,9,위,-4.0,앞 절반,11,7.49,0.68,63.64,0.901,52.61,2.93,-3.25,4,4.61,-5.35,3.52,1,1,4.91,예,2003-09-09,2013-09-12
KODEX 200,9,위,-4.0,뒤 절반,12,9.75,0.81,75.0,0.853,53.98,1.78,-2.09,3,4.44,-3.32,2.21,0,0,5.25,예,2014-09-11,2025-09-11
KODEX 200,9,위,-4.0,최근 10년,10,6.16,0.62,70.0,0.85,54.05,1.77,-2.09,3,4.44,-3.32,2.34,0,0,5.1,예,2016-09-08,2025-09-11
KODEX 200,9,위,-4.0,최근 5년,5,2.64,0.53,60.0,1.264,44.17,1.86,-1.47,2,4.44,-2.78,2.59,0,0,5.0,아니오,2021-09-09,2025-09-11
KODEX 200,9,위,-4.5,전체,23,16.74,0.73,69.57,0.808,55.31,2.28,-2.82,7,4.61,-5.35,2.88,1,1,5.09,예,2003-09-09,2025-09-11
KODEX 200,9,위,-4.5,앞 절반,11,6.99,0.64,63.64,0.867,53.55,2.93,-3.38,4,4.61,-5.35,3.59,1,1,4.91,예,2003-09-09,2013-09-12
KODEX 200,9,위,-4.5,뒤 절반,12,9.75,0.81,75.0,0.853,53.98,1.78,-2.09,3,4.44,-3.32,2.21,0,0,5.25,예,2014-09-11,2025-09-11
KODEX 200,9,위,-4.5,최근 10년,10,6.16,0.62,70.0,0.85,54.05,1.77,-2.09,3,4.44,-3.32,2.34,0,0,5.1,예,2016-09-08,2025-09-11
KODEX 200,9,위,-4.5,최근 5년,5,2.64,0.53,60.0,1.264,44.17,1.86,-1.47,2,4.44,-2.78,2.59,0,0,5.0,아니오,2021-09-09,2025-09-11
KODEX 200,9,위,-5.0,전체,23,16.24,0.71,69.57,0.788,55.92,2.28,-2.89,7,4.61,-5.35,2.93,1,1,5.09,예,2003-09-09,2025-09-11
KODEX 200,9,위,-5.0,앞 절반,11,6.49,0.59,63.64,0.836,54.46,2.93,-3.5,4,4.61,-5.35,3.66,1,1,4.91,예,2003-09-09,2013-09-12
KODEX 200,9,위,-5.0,뒤 절반,12,9.75,0.81,75.0,0.853,53.98,1.78,-2.09,3,4.44,-3.32,2.21,0,0,5.25,예,2014-09-11,2025-09-11
KODEX 200,9,위,-5.0,최근 10년,10,6.16,0.62,70.0,0.85,54.05,1.77,-2.09,3,4.44,-3.32,2.34,0,0,5.1,예,2016-09-08,2025-09-11
KODEX 200,9,위,-5.0,최근 5년,5,2.64,0.53,60.0,1.264,44.17,1.86,-1.47,2,4.44,-2.78,2.59,0,0,5.0,아니오,2021-09-09,2025-09-11
KODEX 200,9,위,-5.5,전체,23,21.17,0.92,73.91,0.838,54.41,2.15,-2.57,6,4.61,-5.5,2.67,0,1,5.17,예,2003-09-09,2025-09-11
KODEX 200,9,위,-5.5,앞 절반,11,11.42,1.04,72.73,0.843,54.26,2.57,-3.05,3,4.61,-5.5,3.21,0,1,5.09,예,2003-09-09,2013-09-12
KODEX 200,9,위,-5.5,뒤 절반,12,9.75,0.81,75.0,0.853,53.98,1.78,-2.09,3,4.44,-3.32,2.21,0,0,5.25,예,2014-09-11,2025-09-11
KODEX 200,9,위,-5.5,최근 10년,10,6.16,0.62,70.0,0.85,54.05,1.77,-2.09,3,4.44,-3.32,2.34,0,0,5.1,예,2016-09-08,2025-09-11
KODEX 200,9,위,-5.5,최근 5년,5,2.64,0.53,60.0,1.264,44.17,1.86,-1.47,2,4.44,-2.78,2.59,0,0,5.0,아니오,2021-09-09,2025-09-11
