종목,청산 요일,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 비율 우연확률,내린 비율 우연확률,비고,만기월,시기
SPY,금요일,17,0,17,0.57,0.55,58.82,41.18,4.22,-3.95,2.25,0.3846,0.3846,,10,뒤 절반
SPY,금요일,16,0,16,1.2,0.6,62.5,37.5,13.29,-2.15,3.52,1.0,1.0,,11,앞 절반
SPY,금요일,17,0,17,0.3,0.42,70.59,29.41,3.7,-4.62,2.27,1.0,1.0,,11,뒤 절반
SPY,금요일,16,0,16,0.25,0.36,56.25,43.75,3.53,-2.9,1.58,1.0,1.0,,12,앞 절반
SPY,금요일,17,0,17,1.15,0.93,82.35,17.65,3.95,-1.93,1.38,0.014,0.014,,12,뒤 절반
DIA,금요일,14,0,14,-1.07,-0.39,35.71,64.29,2.48,-5.47,2.43,0.3716,0.3716,,1,앞 절반
DIA,금요일,14,0,14,0.61,0.85,78.57,21.43,2.16,-3.41,1.51,0.0719,0.0719,,1,뒤 절반
DIA,금요일,14,0,14,-0.97,-0.67,28.57,71.43,1.56,-4.03,1.7,0.0629,0.0629,,2,앞 절반
DIA,금요일,15,0,15,-0.7,0.3,66.67,33.33,1.58,-12.14,3.41,0.5465,0.5465,,2,뒤 절반
DIA,금요일,14,0,14,0.47,-0.12,50.0,50.0,6.97,-4.18,3.06,0.5455,0.5455,,3,앞 절반
DIA,금요일,15,0,15,0.25,-0.43,46.67,53.33,12.74,-5.61,3.9,0.7672,0.7672,,3,뒤 절반
DIA,금요일,14,0,14,0.3,0.58,64.29,35.71,2.45,-3.66,1.62,0.7622,0.7622,,4,앞 절반
DIA,금요일,15,0,15,0.36,0.66,53.33,46.67,2.47,-1.9,1.28,0.5624,0.5624,,4,뒤 절반
DIA,금요일,14,0,14,-0.88,-0.47,35.71,64.29,2.38,-3.85,1.85,0.5255,0.5255,,5,앞 절반
DIA,금요일,15,0,15,0.76,0.74,60.0,40.0,6.29,-2.4,2.2,0.5844,0.5844,,5,뒤 절반
DIA,금요일,14,0,14,-1.12,-0.84,7.14,92.86,3.0,-4.04,1.74,0.001,0.001,,6,앞 절반
DIA,금요일,15,0,15,0.2,-0.35,40.0,60.0,5.46,-3.25,2.36,0.2507,0.2507,,6,뒤 절반
DIA,금요일,14,0,14,-0.08,-0.6,50.0,50.0,4.01,-4.64,2.92,0.5504,0.5504,,7,앞 절반
