종목,테스트,파라미터,시작연도,방향,시대 구간,신호,사건,베이스라인,구간,기준,신호 표본,베이스라인 표본,평균 초과(%p),중앙값 초과(%p),승률 초과(%p)
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,단순 보유,6개월,종가,3,5818,2.21,-1.66,-11.61
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,단순 보유,6개월,익일시가,3,5818,2.54,-1.74,-11.33
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,단순 보유,1년,종가,3,5692,11.63,12.52,14.18
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,단순 보유,1년,익일시가,3,5692,11.69,12.49,14.16
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,조건부 SMA200,1일,종가,3,1226,-3.03,-4.37,-52.28
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,조건부 SMA200,1일,익일시가,3,1226,-3.1,-1.73,-52.85
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,조건부 SMA200,1주,종가,3,1226,-1.84,-5.35,-24.17
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,조건부 SMA200,1주,익일시가,3,1226,-1.9,-2.61,-22.05
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,조건부 SMA200,1개월,종가,3,1226,-7.61,-10.75,-30.94
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,조건부 SMA200,1개월,익일시가,3,1226,-7.5,-10.99,-30.7
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,조건부 SMA200,3개월,종가,3,1226,-6.78,-13.81,-39.42
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,조건부 SMA200,3개월,익일시가,3,1226,-6.53,-14.04,-39.18
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,조건부 SMA200,6개월,종가,3,1214,-0.16,-4.0,-10.43
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,조건부 SMA200,6개월,익일시가,3,1214,0.11,-4.17,-10.43
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,조건부 SMA200,1년,종가,3,1214,6.16,5.45,16.64
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,조건부 SMA200,1년,익일시가,3,1214,6.17,5.38,16.64
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,조건부 EMA200,1일,종가,3,1111,-3.05,-4.37,-52.39
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,조건부 EMA200,1일,익일시가,3,1111,-3.1,-1.72,-52.3
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,조건부 EMA200,1주,종가,3,1111,-1.89,-5.43,-24.36
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,조건부 EMA200,1주,익일시가,3,1111,-1.95,-2.69,-22.2
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,조건부 EMA200,1개월,종가,3,1111,-7.68,-10.81,-29.67
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,조건부 EMA200,1개월,익일시가,3,1111,-7.56,-10.94,-29.4
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,조건부 EMA200,3개월,종가,3,1111,-7.4,-14.74,-40.38
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,조건부 EMA200,3개월,익일시가,3,1111,-7.14,-14.91,-40.2
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,조건부 EMA200,6개월,종가,3,1103,-1.68,-5.32,-11.12
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,조건부 EMA200,6개월,익일시가,3,1103,-1.39,-5.72,-11.12
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,조건부 EMA200,1년,종가,3,1103,4.19,4.11,16.14
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,조건부 EMA200,1년,익일시가,3,1103,4.21,3.93,16.14
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,단순 보유,1일,종가,4,5943,6.02,6.39,44.96
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,단순 보유,1일,익일시가,4,5943,3.6,3.41,46.9
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,단순 보유,1주,종가,4,5939,-2.05,-0.41,16.17
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,단순 보유,1주,익일시가,4,5939,-4.3,-4.38,-57.74
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,단순 보유,1개월,종가,4,5923,4.16,5.24,-15.0
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,단순 보유,1개월,익일시가,4,5923,1.52,1.94,-15.19
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,단순 보유,3개월,종가,4,5881,7.04,8.82,-22.5
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,단순 보유,3개월,익일시가,4,5881,4.01,5.11,-22.37
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,단순 보유,6개월,종가,4,5818,18.21,21.96,-3.27
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,단순 보유,6개월,익일시가,4,5818,14.69,17.68,-3.0
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,단순 보유,1년,종가,4,5692,38.67,41.92,14.18
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,단순 보유,1년,익일시가,4,5692,34.57,36.98,14.16
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 SMA200,1일,종가,4,1226,6.0,6.39,47.72
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 SMA200,1일,익일시가,4,1226,3.54,3.38,47.15
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 SMA200,1주,종가,4,1226,-2.15,-0.56,17.5
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 SMA200,1주,익일시가,4,1226,-4.44,-4.48,-55.38
