종목,청산 요일,만기월,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남
DIA,금요일,6,29,0,29,-0.44,-0.45,24.14,75.86,5.46,-4.04,2.15,122,0,122,-0.12,-0.06,48.36,51.64,5.6,-5.45,2.11,-0.32,-0.39,-24.22,24.22,0.3457,0.3606,0.006,0.006,,False
DIA,금요일,7,29,0,29,0.18,0.34,62.07,37.93,4.01,-4.64,2.19,120,0,120,0.2,0.36,61.67,38.33,7.39,-7.99,2.26,-0.02,-0.02,0.4,-0.4,0.981,0.9111,1.0,1.0,,False
DIA,금요일,8,28,0,28,0.28,0.55,57.14,42.86,4.44,-5.62,1.99,126,0,126,-0.03,0.12,50.79,49.21,5.29,-6.0,1.93,0.31,0.43,6.35,-6.35,0.3147,0.1908,0.5335,0.5335,,False
DIA,금요일,9,28,0,28,-0.94,-1.02,28.57,71.43,6.7,-6.45,2.49,119,0,119,-0.08,-0.14,47.06,52.94,6.7,-7.15,2.09,-0.86,-0.87,-18.49,18.49,0.012,0.026,0.028,0.028,,False
DIA,금요일,10,28,0,28,0.74,0.75,67.86,32.14,5.69,-5.08,2.48,124,0,124,0.66,0.75,66.13,33.87,12.53,-18.85,3.21,0.09,0.0,1.73,-1.73,0.8412,0.995,1.0,1.0,,False
DIA,금요일,11,28,0,28,0.7,0.79,60.71,39.29,9.63,-4.75,2.63,120,0,120,0.49,0.49,60.0,40.0,9.63,-6.56,2.35,0.21,0.31,0.71,-0.71,0.5884,0.3447,1.0,1.0,,False
DIA,금요일,12,28,0,28,0.9,0.67,82.14,17.86,3.8,-2.8,1.52,116,0,116,0.25,0.33,58.62,41.38,6.03,-7.18,1.89,0.64,0.34,23.52,-23.52,0.041,0.3077,0.007,0.007,,False
KODEX 200,금요일,1,24,0,24,0.01,-0.36,41.67,58.33,6.21,-5.68,3.04,100,0,100,0.23,0.03,51.0,48.0,6.58,-7.14,3.02,-0.23,-0.38,-9.33,10.33,0.6424,0.3616,0.3586,0.2557,,True
KODEX 200,금요일,2,24,0,24,0.69,0.56,70.83,29.17,6.12,-9.26,2.94,91,0,91,-0.01,0.27,57.14,42.86,11.53,-12.07,3.46,0.7,0.29,13.69,-13.69,0.2058,0.6014,0.1269,0.1269,,False
KODEX 200,금요일,3,24,0,24,1.16,1.68,75.0,25.0,10.41,-13.44,4.07,103,0,103,0.51,0.62,58.25,41.75,17.61,-13.78,3.85,0.66,1.05,16.75,-16.75,0.2987,0.0559,0.0889,0.0889,,False
KODEX 200,금요일,4,24,0,24,0.94,0.56,54.17,45.83,8.92,-4.9,3.14,101,0,101,0.32,-0.03,48.51,50.5,15.92,-8.8,3.48,0.62,0.58,5.65,-4.66,0.3367,0.3756,0.6543,0.6513,,False
KODEX 200,금요일,5,24,0,24,-0.16,0.17,54.17,45.83,3.8,-8.5,3.18,96,0,96,0.36,0.55,59.38,40.62,9.55,-9.43,2.98,-0.52,-0.37,-5.21,5.21,0.3287,0.4505,0.6274,0.6274,,True
KODEX 200,금요일,6,24,0,24,0.3,-0.58,45.83,54.17,18.62,-7.35,4.89,100,0,100,-0.03,-0.0,50.0,50.0,18.62,-10.16,3.49,0.33,-0.58,-4.17,4.17,0.6124,0.1908,0.8022,0.8022,,True
KODEX 200,금요일,7,24,0,24,0.42,0.83,70.83,29.17,3.73,-7.39,2.27,106,0,106,0.13,0.43,55.66,43.4,11.93,-10.23,2.85,0.29,0.41,15.17,-14.23,0.5874,0.2607,0.1099,0.1638,,False
KODEX 200,금요일,8,24,0,24,-1.02,-0.32,50.0,50.0,6.31,-13.01,4.13,100,0,100,-0.03,0.27,58.0,42.0,11.28,-13.01,3.44,-0.99,-0.59,-8.0,8.0,0.1059,0.2158,0.4655,0.4655,,False
KODEX 200,금요일,9,23,0,23,1.25,1.49,78.26,21.74,4.61,-3.32,2.28,93,0,93,0.29,0.43,56.99,41.94,7.51,-7.93,2.88,0.96,1.06,21.27,-20.2,0.0519,0.033,0.025,0.025,,False
KODEX 200,금요일,10,23,0,23,0.15,0.85,65.22,34.78,6.38,-8.32,3.3,97,0,97,0.13,0.39,56.7,43.3,9.06,-22.77,4.0,0.02,0.46,8.52,-8.52,0.966,0.4366,0.4885,0.4885,,False
KODEX 200,금요일,11,24,0,24,-0.03,0.26,50.0,50.0,6.92,-8.2,3.45,102,0,102,0.36,0.28,53.92,45.1,15.0,-8.2,3.36,-0.39,-0.02,-3.92,4.9,0.5285,0.9341,0.8062,0.6364,,False
KODEX 200,금요일,12,24,0,24,0.05,0.45,62.5,37.5,3.23,-4.58,1.84,98,0,98,0.56,0.79,66.33,33.67,9.81,-5.01,2.47,-0.52,-0.34,-3.83,3.83,0.2348,0.4266,0.6184,0.6184,,False
KODEX 200,목요일,1,24,0,24,0.11,0.57,66.67,33.33,5.1,-7.62,3.0,100,0,100,0.29,0.33,55.0,42.0,6.21,-8.22,2.66,-0.18,0.24,11.67,-8.67,0.6593,0.6464,0.2577,0.4845,,False
KODEX 200,목요일,2,24,0,24,0.59,0.24,58.33,37.5,6.67,-5.65,2.27,91,0,91,0.2,0.31,56.04,41.76,12.6,-12.05,3.09,0.39,-0.07,2.29,-4.26,0.4206,0.7932,0.8232,0.6344,,False
KODEX 200,목요일,3,24,0,24,0.58,1.1,66.67,33.33,8.94,-19.62,4.97,103,0,103,0.29,0.51,53.4,46.6,14.85,-19.62,3.75,0.29,0.59,13.27,-13.27,0.6673,0.1019,0.1518,0.1518,,False
KODEX 200,목요일,4,24,0,24,0.86,0.41,66.67,33.33,8.55,-3.27,2.72,101,0,101,0.44,0.16,54.46,44.55,15.73,-7.25,3.07,0.42,0.25,12.21,-11.22,0.4545,0.5345,0.2408,0.2388,,False
KODEX 200,목요일,5,24,0,24,-0.08,0.23,54.17,45.83,4.19,-5.71,2.89,96,0,96,0.37,0.35,58.33,41.67,7.99,-5.86,2.85,-0.45,-0.12,-4.17,4.17,0.3746,0.6344,0.7852,0.7852,,True
KODEX 200,목요일,6,24,0,24,0.48,-0.29,45.83,54.17,18.65,-6.65,4.68,100,0,100,0.02,0.25,54.0,45.0,18.65,-15.29,3.54,0.46,-0.54,-8.17,9.17,0.4685,0.2787,0.3407,0.3197,,True
KODEX 200,목요일,7,24,0,24,0.44,0.78,70.83,29.17,4.38,-7.39,2.18,106,0,106,0.15,0.68,60.38,39.62,12.85,-22.6,3.54,0.29,0.1,10.46,-10.46,0.6543,0.6494,0.2627,0.2627,,False
KODEX 200,목요일,8,24,0,24,-0.67,0.37,54.17,45.83,4.98,-10.13,3.52,100,0,100,0.02,0.46,56.0,43.0,8.46,-10.55,3.11,-0.69,-0.09,-1.83,2.83,0.2198,0.9181,1.0,0.8022,,True
KODEX 200,목요일,9,23,0,23,0.89,0.99,78.26,21.74,5.85,-3.8,2.55,93,0,93,0.25,0.42,60.22,38.71,8.39,-6.69,2.72,0.64,0.57,18.05,-16.97,0.1888,0.2597,0.0529,0.0609,,False
KODEX 200,목요일,10,23,0,23,0.26,0.92,56.52,43.48,6.7,-7.11,3.13,96,0,96,0.12,0.1,52.08,47.92,7.39,-12.35,3.18,0.14,0.82,4.44,-4.44,0.8002,0.1379,0.6254,0.6254,,False
KODEX 200,목요일,11,24,0,24,-0.04,-0.01,50.0,50.0,6.55,-12.46,3.76,102,0,102,0.37,0.76,60.78,39.22,12.63,-12.46,3.15,-0.4,-0.76,-10.78,10.78,0.4685,0.1229,0.2238,0.2238,,False
KODEX 200,목요일,12,24,0,24,-0.14,0.31,58.33,41.67,3.01,-5.63,1.95,98,0,98,0.45,0.59,61.22,38.78,14.91,-5.63,2.62,-0.59,-0.28,-2.89,2.89,0.2218,0.7343,0.8062,0.8062,,True
