종목,테스트,파라미터,시작연도,방향,시대 구간,신호,사건,구간,표본,치우친 쪽,적중률(%),방향 기대값(%),합산 수익률(%),1차 판정
QQQ,테스트 A(역대급 등락),K=20,2011,역방향 전체,전체,8,3,1주,8,위,50.0,-0.12,-0.96,제외
QQQ,테스트 A(역대급 등락),K=20,2011,역방향 전체,전체,8,3,2주,8,아래,62.5,-0.02,-0.14,제외
QQQ,테스트 A(역대급 등락),K=20,2011,역방향 전체,전체,8,3,1개월,8,아래,62.5,0.99,7.9,후보
QQQ,테스트 A(역대급 등락),K=5,2011,폭등,2020년대,1,1,1일,1,아래,100.0,4.25,4.25,후보
QQQ,테스트 A(역대급 등락),K=5,2011,폭등,2020년대,1,1,2일,1,아래,100.0,2.49,2.49,후보
QQQ,테스트 A(역대급 등락),K=5,2011,폭등,2020년대,1,1,3일,1,아래,100.0,1.83,1.83,후보
QQQ,테스트 A(역대급 등락),K=5,2011,폭등,2020년대,1,1,1주,1,아래,100.0,4.68,4.68,후보
QQQ,테스트 A(역대급 등락),K=5,2011,폭등,2020년대,1,1,2주,1,위,100.0,0.29,0.29,후보
QQQ,테스트 A(역대급 등락),K=5,2011,폭등,2020년대,1,1,1개월,1,위,100.0,4.71,4.71,후보
QQQ,테스트 A(역대급 등락),K=5,2011,폭락,2020년대,2,1,1일,2,위,100.0,8.03,16.05,후보
QQQ,테스트 A(역대급 등락),K=5,2011,폭락,2020년대,2,1,2일,2,위,50.0,-0.11,-0.21,제외
QQQ,테스트 A(역대급 등락),K=5,2011,폭락,2020년대,2,1,3일,2,위,100.0,3.83,7.66,후보
QQQ,테스트 A(역대급 등락),K=5,2011,폭락,2020년대,2,1,1주,2,위,100.0,0.44,0.88,후보
QQQ,테스트 A(역대급 등락),K=5,2011,폭락,2020년대,2,1,2주,2,위,100.0,10.83,21.65,후보
QQQ,테스트 A(역대급 등락),K=5,2011,폭락,2020년대,2,1,1개월,2,위,100.0,19.1,38.2,후보
QQQ,테스트 A(역대급 등락),K=5,2011,역방향 전체,2020년대,3,2,1일,3,위,100.0,6.77,20.31,후보
