종목,테스트,파라미터,시작연도,방향,시대 구간,신호,사건,베이스라인,구간,신호 표본,베이스라인 표본,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p)
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 SMA200,3일,7,1226,-2.83,-2.23,-11.96,12.04
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 SMA200,1주,7,1226,-1.89,0.06,-0.36,0.52
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 SMA200,2주,7,1226,-2.92,-1.26,-4.6,4.77
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 SMA200,1개월,7,1226,1.84,1.84,7.15,-7.15
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,7,3,단순 보유,1일,7,5969,4.56,5.31,30.68,-30.19
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,7,3,단순 보유,2일,7,5968,1.41,1.57,14.79,-14.36
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,7,3,단순 보유,3일,7,5967,0.4,2.37,-0.56,0.69
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,7,3,단순 보유,1주,7,5965,-1.01,-0.33,12.65,-12.45
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,7,3,단순 보유,2주,7,5960,0.96,2.93,-4.22,4.37
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,7,3,단순 보유,1개월,7,5949,3.22,-0.31,-7.86,7.96
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,7,3,조건부 SMA200,1일,7,1226,4.53,5.31,33.43,-33.19
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,7,3,조건부 SMA200,2일,7,1226,1.37,1.57,18.08,-17.68
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,7,3,조건부 SMA200,3일,7,1226,0.33,2.32,2.33,-2.25
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,7,3,조건부 SMA200,1주,7,1226,-1.11,-0.48,13.92,-13.76
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,7,3,조건부 SMA200,2주,7,1226,0.71,2.31,-4.6,4.77
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,7,3,조건부 SMA200,1개월,7,1226,2.77,-1.41,-7.13,7.13
QQQ,테스트 A(역대급 등락),K=20,2003,역방향 전체,전체,14,5,단순 보유,1일,14,11938,3.94,3.8,35.96,-35.47
QQQ,테스트 A(역대급 등락),K=20,2003,역방향 전체,전체,14,5,단순 보유,2일,14,11936,1.82,2.13,14.5,-14.07
QQQ,테스트 A(역대급 등락),K=20,2003,역방향 전체,전체,14,5,단순 보유,3일,14,11934,1.58,2.27,7.21,-7.08
QQQ,테스트 A(역대급 등락),K=20,2003,역방향 전체,전체,14,5,단순 보유,1주,14,11930,0.39,0.11,7.24,-7.04
QQQ,테스트 A(역대급 등락),K=20,2003,역방향 전체,전체,14,5,단순 보유,2주,14,11920,1.82,1.69,0.08,0.08
