종목,파라미터,시작연도,방향,손절선(%),시기,신호,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),손익분기 대비(%p),이길 때(%),질 때(%),질 때 표본,최고(%),최악(%),보유 중 최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,시기 시작일,시기 종료일,1차 판정,사건
KODEX 200,K=10,2005,역방향 전체,-8.0,앞 절반,25,21.96,0.88,84.0,0.439,69.47,14.53,1.85,-4.2,4,6.19,-8.0,-8.0,3.1,0,2,1.28,예,2005-11-23,2011-08-19,판정 안 함,6
KODEX 200,K=10,2005,역방향 전체,-8.0,뒤 절반,26,58.64,2.26,80.77,0.798,55.61,25.16,3.98,-4.98,5,10.11,-8.0,-8.0,4.69,0,2,1.15,예,2011-09-27,2026-08-03,판정 안 함,6
KODEX 200,K=10,2005,역방향 전체,-8.0,최근 10년,25,57.56,2.3,80.0,0.827,54.73,25.27,4.12,-4.98,5,10.11,-8.0,-8.0,4.78,0,2,1.16,예,2020-03-19,2026-08-03,판정 안 함,5
KODEX 200,K=10,2005,역방향 전체,-8.0,최근 5년,20,45.46,2.27,80.0,0.785,56.02,23.98,4.17,-5.31,4,10.11,-8.0,-8.0,4.95,0,2,1.15,예,2024-08-05,2026-08-03,판정 안 함,3
KODEX 200,K=10,2005,역방향 전체,-9.0,전체,51,76.6,1.5,82.35,0.573,63.56,18.79,2.91,-5.08,9,10.11,-9.0,-9.0,4.21,0,4,1.24,예,2005-11-23,2026-08-03,후보,12
KODEX 200,K=10,2005,역방향 전체,-9.0,앞 절반,25,19.96,0.8,84.0,0.393,71.8,12.2,1.85,-4.7,4,6.19,-9.0,-9.0,3.34,0,2,1.32,예,2005-11-23,2011-08-19,판정 안 함,6
KODEX 200,K=10,2005,역방향 전체,-9.0,뒤 절반,26,56.64,2.18,80.77,0.739,57.51,23.26,3.98,-5.38,5,10.11,-9.0,-9.0,4.87,0,2,1.15,예,2011-09-27,2026-08-03,판정 안 함,6
KODEX 200,K=10,2005,역방향 전체,-9.0,최근 10년,25,55.56,2.22,80.0,0.766,56.63,23.37,4.12,-5.38,5,10.11,-9.0,-9.0,4.96,0,2,1.16,예,2020-03-19,2026-08-03,판정 안 함,5
KODEX 200,K=10,2005,역방향 전체,-9.0,최근 5년,20,43.46,2.17,80.0,0.717,58.23,21.77,4.17,-5.81,4,10.11,-9.0,-9.0,5.17,0,2,1.15,예,2024-08-05,2026-08-03,판정 안 함,3
KODEX 200,K=10,2005,역방향 전체,-10.0,전체,51,72.6,1.42,82.35,0.527,65.48,16.87,2.91,-5.53,9,10.11,-10.0,-10.0,4.41,0,4,1.24,예,2005-11-23,2026-08-03,후보,12
