대상,격자 칸,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),기준선(%),기준선 대비 차이(%p),우연확률,시기 구간,가장 약한 시기(%),1차 판정,뒷받침,미충족
KODEX 인버스,16일 → 말일,204,아래,54.9,0.33,67.7,54.77,0.13,0.9461,2,48.04,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,16일 → 말일+1,204,아래,56.86,0.44,90.08,56.26,0.6,0.9021,2,50.0,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,16일 → 말일+2,204,위,43.14,-0.47,-96.57,43.04,0.1,1.0,2,38.24,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,16일 → 말일+3,203,위,44.83,-0.55,-112.43,44.09,0.74,0.8202,2,43.56,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,16일 → 말일-1,204,아래,58.33,0.33,67.11,57.05,1.29,0.7632,2,51.96,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,16일 → 말일-2,204,아래,60.29,0.24,48.6,57.14,3.15,0.3966,2,54.9,후보,0/3,차이 · 우연확률 · 시기
KODEX 인버스,16일 → 말일-3,204,위,41.67,-0.21,-43.28,41.38,0.29,0.9411,2,35.29,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,17일 → 말일,204,위,44.61,-0.27,-56.01,44.02,0.59,0.9321,2,41.18,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,17일 → 말일+1,204,위,44.61,-0.38,-78.47,42.4,2.21,0.5924,2,40.2,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,17일 → 말일+2,204,위,45.1,-0.42,-84.7,43.04,2.06,0.5794,2,43.14,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,17일 → 말일+3,203,위,45.32,-0.5,-100.65,44.09,1.23,0.7083,2,45.1,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,17일 → 말일-1,204,위,42.65,-0.27,-55.65,41.33,1.31,0.8022,2,37.25,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,17일 → 말일-2,204,아래,58.82,0.18,37.03,57.14,1.68,0.6703,2,54.9,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,17일 → 말일-3,204,위,43.14,-0.16,-31.64,41.38,1.76,0.6134,2,41.18,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,18일 → 말일,204,위,43.63,-0.26,-53.02,44.02,-0.39,0.8861,2,41.18,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,18일 → 말일+1,204,위,43.63,-0.37,-76.16,42.4,1.23,0.8042,2,40.2,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,18일 → 말일+2,204,위,45.1,-0.4,-81.79,43.04,2.06,0.5794,2,44.12,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,18일 → 말일+3,203,위,45.81,-0.48,-96.93,44.09,1.72,0.6004,2,44.12,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,18일 → 말일-1,204,아래,58.82,0.26,52.7,57.05,1.78,0.6583,2,55.88,제외,1/3,차이 · 우연확률
