지수,1배 종목,배수 종목,배수,상품,구간,1배 연율 분배 기여(%),배수 연율 분배 기여(%),배당 보정분(%p),측정 여부,분배 측정 구간
S&P500,SPY,SH,-1.0,ETF,1년,1.78,2.03,3.81,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,SH,-1.0,ETF,3년,1.78,2.03,11.44,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,SDS,-2.0,ETF,1주,1.78,2.3,0.12,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,SDS,-2.0,ETF,2주,1.78,2.3,0.23,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,SDS,-2.0,ETF,1개월,1.78,2.3,0.49,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,SDS,-2.0,ETF,3개월,1.78,2.3,1.47,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,SDS,-2.0,ETF,6개월,1.78,2.3,2.93,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,SDS,-2.0,ETF,1년,1.78,2.3,5.87,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,SDS,-2.0,ETF,3년,1.78,2.3,17.6,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,SPXU,-3.0,ETF,1주,1.78,1.44,0.13,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,SPXU,-3.0,ETF,2주,1.78,1.44,0.27,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,SPXU,-3.0,ETF,1개월,1.78,1.44,0.57,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,SPXU,-3.0,ETF,3개월,1.78,1.44,1.7,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,SPXU,-3.0,ETF,6개월,1.78,1.44,3.39,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,SPXU,-3.0,ETF,1년,1.78,1.44,6.79,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,SPXU,-3.0,ETF,3년,1.78,1.44,20.36,예,1993-01-29 ~ 2026-08-25
나스닥100,QQQ,QLD,2.0,ETF,1주,0.62,0.68,-0.01,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,QLD,2.0,ETF,2주,0.62,0.68,-0.02,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,QLD,2.0,ETF,1개월,0.62,0.68,-0.05,예,1999-03-10 ~ 2026-08-25
