종목,월,방향,손절적용,구간,신호,제외,합계(%),평균(%),승률(%),최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,구간 시작일,구간 종료일
KODEX 코스닥150,5,위,가능,최근 5년,5,0,13.99,2.8,80.0,6.48,-1.01,2.94,0,0,7.4,아니오,2022-05-20,2026-05-20
KODEX 코스닥150,6,아래,가능,전체,11,0,21.36,1.94,81.82,7.77,-0.76,2.36,0,0,7.18,예,2016-06-20,2026-06-19
KODEX 코스닥150,6,아래,가능,앞 절반,5,0,11.05,2.21,80.0,7.77,-0.17,3.23,0,0,7.2,아니오,2016-06-20,2020-06-19
KODEX 코스닥150,6,아래,가능,뒤 절반,6,0,10.31,1.72,83.33,4.12,-0.76,1.62,0,0,7.17,아니오,2021-06-18,2026-06-19
KODEX 코스닥150,6,아래,가능,최근 10년,10,0,20.49,2.05,80.0,7.77,-0.76,2.46,0,0,7.1,예,2017-06-20,2026-06-19
KODEX 코스닥150,6,아래,가능,최근 5년,5,0,11.07,2.21,100.0,4.12,1.13,1.2,0,0,7.0,아니오,2022-06-20,2026-06-19
KODEX 코스닥150,6,위,가능,전체,11,0,-26.25,-2.39,18.18,0.76,-5.0,2.25,0,4,5.82,예,2016-06-20,2026-06-19
KODEX 코스닥150,6,위,가능,앞 절반,5,0,-12.42,-2.48,20.0,0.17,-5.0,2.47,0,2,6.2,아니오,2016-06-20,2020-06-19
KODEX 코스닥150,6,위,가능,뒤 절반,6,0,-13.83,-2.31,16.67,0.76,-5.0,2.3,0,2,5.5,아니오,2021-06-18,2026-06-19
KODEX 코스닥150,6,위,가능,최근 10년,10,0,-21.25,-2.12,20.0,0.76,-5.0,2.19,0,3,6.0,예,2017-06-20,2026-06-19
KODEX 코스닥150,6,위,가능,최근 5년,5,0,-14.59,-2.92,0.0,-1.13,-5.0,1.94,0,2,5.0,아니오,2022-06-20,2026-06-19
KODEX 코스닥150,7,아래,가능,전체,11,0,4.02,0.37,54.55,6.1,-5.0,3.87,0,2,6.82,예,2016-07-20,2026-07-20
KODEX 코스닥150,7,아래,가능,앞 절반,5,0,8.8,1.76,60.0,6.1,-4.48,4.15,0,0,7.6,아니오,2016-07-20,2020-07-20
KODEX 코스닥150,7,아래,가능,뒤 절반,6,0,-4.78,-0.8,50.0,2.59,-5.0,3.56,0,2,6.17,아니오,2021-07-20,2026-07-20
KODEX 코스닥150,7,아래,가능,최근 10년,10,0,4.12,0.41,60.0,6.1,-5.0,4.08,0,2,6.8,예,2017-07-20,2026-07-20
KODEX 코스닥150,7,아래,가능,최근 5년,5,0,-6.94,-1.39,40.0,2.59,-5.0,3.63,0,2,5.8,아니오,2022-07-20,2026-07-20
KODEX 코스닥150,7,위,가능,전체,11,0,-14.63,-1.33,36.36,4.48,-5.0,3.44,0,3,6.82,예,2016-07-20,2026-07-20
KODEX 코스닥150,7,위,가능,앞 절반,5,0,-8.45,-1.69,40.0,4.48,-5.0,4.03,0,2,6.0,아니오,2016-07-20,2020-07-20
KODEX 코스닥150,7,위,가능,뒤 절반,6,0,-6.19,-1.03,33.33,4.04,-5.0,3.22,0,1,7.5,아니오,2021-07-20,2026-07-20
KODEX 코스닥150,7,위,가능,최근 10년,10,0,-14.73,-1.47,30.0,4.48,-5.0,3.59,0,3,6.8,예,2017-07-20,2026-07-20
KODEX 코스닥150,7,위,가능,최근 5년,5,0,-4.02,-0.8,40.0,4.04,-5.0,3.55,0,1,7.4,아니오,2022-07-20,2026-07-20
KODEX 코스닥150,8,아래,가능,전체,11,0,-15.92,-1.45,36.36,4.55,-5.14,3.41,1,3,6.55,예,2016-08-19,2026-08-20
KODEX 코스닥150,8,아래,가능,앞 절반,5,0,-9.15,-1.83,20.0,4.55,-5.0,3.94,0,2,6.4,아니오,2016-08-19,2020-08-20
KODEX 코스닥150,8,아래,가능,뒤 절반,6,0,-6.77,-1.13,50.0,1.9,-5.14,3.26,1,1,6.67,아니오,2021-08-20,2026-08-20
KODEX 코스닥150,8,아래,가능,최근 10년,10,0,-20.48,-2.05,30.0,1.9,-5.14,2.92,1,3,6.4,예,2017-08-18,2026-08-20
KODEX 코스닥150,8,아래,가능,최근 5년,5,0,-1.64,-0.33,60.0,1.9,-5.0,2.9,0,1,7.4,아니오,2022-08-19,2026-08-20
KODEX 코스닥150,8,위,가능,전체,11,0,9.48,0.86,54.55,8.43,-5.0,5.46,0,4,6.82,예,2016-08-19,2026-08-20
KODEX 코스닥150,8,위,가능,앞 절반,5,0,7.65,1.53,60.0,8.43,-5.0,6.32,0,2,7.4,아니오,2016-08-19,2020-08-20
KODEX 코스닥150,8,위,가능,뒤 절반,6,0,1.83,0.31,50.0,7.31,-5.0,5.19,0,2,6.33,아니오,2021-08-20,2026-08-20
KODEX 코스닥150,8,위,가능,최근 10년,10,0,14.48,1.45,60.0,8.43,-5.0,5.38,0,3,6.7,예,2017-08-18,2026-08-20
KODEX 코스닥150,8,위,가능,최근 5년,5,0,-5.48,-1.1,40.0,5.12,-5.0,4.34,0,2,6.2,아니오,2022-08-19,2026-08-20
KODEX 코스닥150,9,아래,가능,전체,10,0,29.73,2.97,80.0,10.05,-2.1,3.52,0,0,6.3,예,2016-09-20,2025-09-19
KODEX 코스닥150,9,아래,가능,앞 절반,5,0,11.14,2.23,80.0,5.26,-0.04,2.73,0,0,6.2,아니오,2016-09-20,2020-09-18
KODEX 코스닥150,9,아래,가능,뒤 절반,5,0,18.59,3.72,80.0,10.05,-2.1,4.37,0,0,6.4,아니오,2021-09-17,2025-09-19
KODEX 코스닥150,9,아래,가능,최근 10년,10,0,29.73,2.97,80.0,10.05,-2.1,3.52,0,0,6.3,예,2016-09-20,2025-09-19
KODEX 코스닥150,9,아래,가능,최근 5년,5,0,18.59,3.72,80.0,10.05,-2.1,4.37,0,0,6.4,아니오,2021-09-17,2025-09-19
KODEX 코스닥150,9,위,가능,전체,10,0,-26.71,-2.67,20.0,2.1,-5.61,2.81,1,4,4.9,예,2016-09-20,2025-09-19
KODEX 코스닥150,9,위,가능,앞 절반,5,0,-10.75,-2.15,20.0,0.04,-5.0,2.62,0,2,4.6,아니오,2016-09-20,2020-09-18
KODEX 코스닥150,9,위,가능,뒤 절반,5,0,-15.96,-3.19,20.0,2.1,-5.61,3.2,1,2,5.2,아니오,2021-09-17,2025-09-19
KODEX 코스닥150,9,위,가능,최근 10년,10,0,-26.71,-2.67,20.0,2.1,-5.61,2.81,1,4,4.9,예,2016-09-20,2025-09-19
KODEX 코스닥150,9,위,가능,최근 5년,5,0,-15.96,-3.19,20.0,2.1,-5.61,3.2,1,2,5.2,아니오,2021-09-17,2025-09-19
KODEX 코스닥150,10,아래,가능,전체,11,0,8.62,0.78,54.55,12.04,-5.0,5.36,0,3,6.82,예,2015-10-20,2025-10-20
KODEX 코스닥150,10,아래,가능,앞 절반,5,0,7.82,1.56,60.0,12.04,-5.0,6.71,0,1,6.4,아니오,2015-10-20,2019-10-18
KODEX 코스닥150,10,아래,가능,뒤 절반,6,0,0.8,0.13,50.0,5.61,-5.0,4.52,0,2,7.17,아니오,2020-10-20,2025-10-20
KODEX 코스닥150,10,아래,가능,최근 10년,10,0,7.64,0.76,50.0,12.04,-5.0,5.65,0,3,6.7,예,2016-10-20,2025-10-20
KODEX 코스닥150,10,아래,가능,최근 5년,5,0,-3.55,-0.71,40.0,5.61,-5.0,4.49,0,2,7.0,아니오,2021-10-20,2025-10-20
KODEX 코스닥150,10,위,가능,전체,11,0,-1.62,-0.15,45.45,5.32,-5.0,4.17,0,3,7.0,예,2015-10-20,2025-10-20
KODEX 코스닥150,10,위,가능,앞 절반,5,0,-0.46,-0.09,40.0,5.32,-5.0,4.34,0,1,6.8,아니오,2015-10-20,2019-10-18
KODEX 코스닥150,10,위,가능,뒤 절반,6,0,-1.16,-0.19,50.0,4.88,-5.0,4.44,0,2,7.17,아니오,2020-10-20,2025-10-20
KODEX 코스닥150,10,위,가능,최근 10년,10,0,-0.64,-0.06,50.0,5.32,-5.0,4.38,0,3,6.9,예,2016-10-20,2025-10-20
KODEX 코스닥150,10,위,가능,최근 5년,5,0,3.84,0.77,60.0,4.88,-5.0,4.2,0,1,7.8,아니오,2021-10-20,2025-10-20
KODEX 코스닥150,11,아래,가능,전체,11,0,13.95,1.27,54.55,5.87,-2.26,2.97,0,0,7.18,예,2015-11-20,2025-11-20
KODEX 코스닥150,11,아래,가능,앞 절반,5,0,10.36,2.07,60.0,5.37,-1.06,2.72,0,0,7.4,아니오,2015-11-20,2019-11-20
KODEX 코스닥150,11,아래,가능,뒤 절반,6,0,3.59,0.6,50.0,5.87,-2.26,3.25,0,0,7.0,아니오,2020-11-20,2025-11-20
KODEX 코스닥150,11,아래,가능,최근 10년,10,0,14.37,1.44,60.0,5.87,-2.26,3.08,0,0,7.3,예,2016-11-18,2025-11-20
KODEX 코스닥150,11,아래,가능,최근 5년,5,0,5.7,1.14,60.0,5.87,-2.26,3.32,0,0,7.2,아니오,2021-11-19,2025-11-20
KODEX 코스닥150,11,위,가능,전체,11,0,-19.45,-1.77,36.36,2.26,-5.0,2.84,0,3,6.64,예,2015-11-20,2025-11-20
KODEX 코스닥150,11,위,가능,앞 절반,5,0,-9.99,-2.0,40.0,1.06,-5.0,2.61,0,1,7.0,아니오,2015-11-20,2019-11-20
KODEX 코스닥150,11,위,가능,뒤 절반,6,0,-9.46,-1.58,33.33,2.26,-5.0,3.25,0,2,6.33,아니오,2020-11-20,2025-11-20
KODEX 코스닥150,11,위,가능,최근 10년,10,0,-19.86,-1.99,30.0,2.26,-5.0,2.89,0,3,6.7,예,2016-11-18,2025-11-20
KODEX 코스닥150,11,위,가능,최근 5년,5,0,-11.56,-2.31,20.0,2.26,-5.0,3.02,0,2,6.4,아니오,2021-11-19,2025-11-20
KODEX 코스닥150,12,아래,가능,전체,11,0,-32.28,-2.93,9.09,2.53,-5.14,2.44,1,3,5.64,예,2015-12-18,2025-12-19
KODEX 코스닥150,12,아래,가능,앞 절반,5,0,-22.4,-4.48,0.0,-3.25,-5.14,0.82,1,2,5.2,아니오,2015-12-18,2019-12-20
KODEX 코스닥150,12,아래,가능,뒤 절반,6,0,-9.88,-1.65,16.67,2.53,-5.0,2.64,0,1,6.0,아니오,2020-12-18,2025-12-19
KODEX 코스닥150,12,아래,가능,최근 10년,10,0,-28.27,-2.83,10.0,2.53,-5.14,2.54,1,3,5.5,예,2016-12-20,2025-12-19
KODEX 코스닥150,12,아래,가능,최근 5년,5,0,-6.57,-1.31,20.0,2.53,-5.0,2.8,0,1,5.8,아니오,2021-12-20,2025-12-19
KODEX 코스닥150,12,위,가능,전체,11,0,32.86,2.99,90.91,9.82,-2.53,3.11,0,0,6.09,예,2015-12-18,2025-12-19
KODEX 코스닥150,12,위,가능,앞 절반,5,0,24.4,4.88,100.0,9.82,1.86,3.05,0,0,5.8,아니오,2015-12-18,2019-12-20
KODEX 코스닥150,12,위,가능,뒤 절반,6,0,8.46,1.41,83.33,3.57,-2.53,2.32,0,0,6.33,아니오,2020-12-18,2025-12-19
KODEX 코스닥150,12,위,가능,최근 10년,10,0,28.85,2.88,90.0,9.82,-2.53,3.26,0,0,6.0,예,2016-12-20,2025-12-19
KODEX 코스닥150,12,위,가능,최근 5년,5,0,5.15,1.03,80.0,3.57,-2.53,2.38,0,0,6.2,아니오,2021-12-20,2025-12-19
KODEX 코스닥150선물인버스,1,아래,가능,전체,10,0,-13.42,-1.34,50.0,3.68,-5.0,3.98,0,5,5.7,예,2017-01-20,2026-01-20
KODEX 코스닥150선물인버스,1,아래,가능,앞 절반,5,0,-2.59,-0.52,60.0,3.68,-5.0,4.3,0,2,7.0,아니오,2017-01-20,2021-01-20
KODEX 코스닥150선물인버스,1,아래,가능,뒤 절반,5,0,-10.83,-2.17,40.0,2.87,-5.0,3.92,0,3,4.4,아니오,2022-01-20,2026-01-20
KODEX 코스닥150선물인버스,1,아래,가능,최근 10년,10,0,-13.42,-1.34,50.0,3.68,-5.0,3.98,0,5,5.7,예,2017-01-20,2026-01-20
KODEX 코스닥150선물인버스,1,아래,가능,최근 5년,5,0,-10.83,-2.17,40.0,2.87,-5.0,3.92,0,3,4.4,아니오,2022-01-20,2026-01-20
KODEX 코스닥150선물인버스,1,위,가능,전체,10,0,8.16,0.82,40.0,9.74,-5.0,5.34,0,2,6.2,예,2017-01-20,2026-01-20
KODEX 코스닥150선물인버스,1,위,가능,앞 절반,5,0,2.44,0.49,40.0,6.83,-5.0,5.13,0,1,6.8,아니오,2017-01-20,2021-01-20
KODEX 코스닥150선물인버스,1,위,가능,뒤 절반,5,0,5.72,1.14,40.0,9.74,-5.0,6.12,0,1,5.6,아니오,2022-01-20,2026-01-20
KODEX 코스닥150선물인버스,1,위,가능,최근 10년,10,0,8.16,0.82,40.0,9.74,-5.0,5.34,0,2,6.2,예,2017-01-20,2026-01-20
KODEX 코스닥150선물인버스,1,위,가능,최근 5년,5,0,5.72,1.14,40.0,9.74,-5.0,6.12,0,1,5.6,아니오,2022-01-20,2026-01-20
KODEX 코스닥150선물인버스,2,아래,가능,전체,10,0,-7.33,-0.73,30.0,4.21,-5.0,2.99,0,2,5.3,예,2017-02-20,2026-02-20
KODEX 코스닥150선물인버스,2,아래,가능,앞 절반,5,0,-12.77,-2.55,0.0,-0.6,-5.0,2.27,0,2,4.6,아니오,2017-02-20,2021-02-19
KODEX 코스닥150선물인버스,2,아래,가능,뒤 절반,5,0,5.44,1.09,60.0,4.21,-2.49,2.58,0,0,6.0,아니오,2022-02-18,2026-02-20
KODEX 코스닥150선물인버스,2,아래,가능,최근 10년,10,0,-7.33,-0.73,30.0,4.21,-5.0,2.99,0,2,5.3,예,2017-02-20,2026-02-20
KODEX 코스닥150선물인버스,2,아래,가능,최근 5년,5,0,5.44,1.09,60.0,4.21,-2.49,2.58,0,0,6.0,아니오,2022-02-18,2026-02-20
KODEX 코스닥150선물인버스,2,위,가능,전체,10,0,10.87,1.09,70.0,8.47,-5.0,3.91,0,1,5.9,예,2017-02-20,2026-02-20
KODEX 코스닥150선물인버스,2,위,가능,앞 절반,5,0,17.1,3.42,100.0,8.47,0.6,3.56,0,0,5.8,아니오,2017-02-20,2021-02-19
KODEX 코스닥150선물인버스,2,위,가능,뒤 절반,5,0,-6.23,-1.25,40.0,2.49,-5.0,2.83,0,1,6.0,아니오,2022-02-18,2026-02-20
KODEX 코스닥150선물인버스,2,위,가능,최근 10년,10,0,10.87,1.09,70.0,8.47,-5.0,3.91,0,1,5.9,예,2017-02-20,2026-02-20
KODEX 코스닥150선물인버스,2,위,가능,최근 5년,5,0,-6.23,-1.25,40.0,2.49,-5.0,2.83,0,1,6.0,아니오,2022-02-18,2026-02-20
KODEX 코스닥150선물인버스,3,아래,가능,전체,10,0,-13.69,-1.37,40.0,6.58,-6.07,4.48,2,3,5.9,예,2017-03-20,2026-03-20
KODEX 코스닥150선물인버스,3,아래,가능,앞 절반,5,0,-14.02,-2.8,20.0,2.65,-6.07,3.79,2,1,5.4,아니오,2017-03-20,2021-03-19
KODEX 코스닥150선물인버스,3,아래,가능,뒤 절반,5,0,0.34,0.07,60.0,6.58,-5.0,5.06,0,2,6.4,아니오,2022-03-18,2026-03-20
KODEX 코스닥150선물인버스,3,아래,가능,최근 10년,10,0,-13.69,-1.37,40.0,6.58,-6.07,4.48,2,3,5.9,예,2017-03-20,2026-03-20
KODEX 코스닥150선물인버스,3,아래,가능,최근 5년,5,0,0.34,0.07,60.0,6.58,-5.0,5.06,0,2,6.4,아니오,2022-03-18,2026-03-20
KODEX 코스닥150선물인버스,3,위,가능,전체,10,0,4.41,0.44,50.0,9.93,-6.01,5.54,2,1,7.0,예,2017-03-20,2026-03-20
KODEX 코스닥150선물인버스,3,위,가능,앞 절반,5,0,-2.49,-0.5,60.0,3.04,-6.01,3.84,1,0,7.0,아니오,2017-03-20,2021-03-19
KODEX 코스닥150선물인버스,3,위,가능,뒤 절반,5,0,6.89,1.38,40.0,9.93,-5.26,7.22,1,1,7.0,아니오,2022-03-18,2026-03-20
KODEX 코스닥150선물인버스,3,위,가능,최근 10년,10,0,4.41,0.44,50.0,9.93,-6.01,5.54,2,1,7.0,예,2017-03-20,2026-03-20
KODEX 코스닥150선물인버스,3,위,가능,최근 5년,5,0,6.89,1.38,40.0,9.93,-5.26,7.22,1,1,7.0,아니오,2022-03-18,2026-03-20
KODEX 코스닥150선물인버스,4,아래,가능,전체,10,0,-14.22,-1.42,30.0,4.1,-5.0,2.99,0,3,6.3,예,2017-04-20,2026-04-20
KODEX 코스닥150선물인버스,4,아래,가능,앞 절반,5,0,-8.45,-1.69,20.0,0.68,-5.0,2.13,0,1,6.4,아니오,2017-04-20,2021-04-20
KODEX 코스닥150선물인버스,4,아래,가능,뒤 절반,5,0,-5.77,-1.15,40.0,4.1,-5.0,3.92,0,2,6.2,아니오,2022-04-20,2026-04-20
KODEX 코스닥150선물인버스,4,아래,가능,최근 10년,10,0,-14.22,-1.42,30.0,4.1,-5.0,2.99,0,3,6.3,예,2017-04-20,2026-04-20
KODEX 코스닥150선물인버스,4,아래,가능,최근 5년,5,0,-5.77,-1.15,40.0,4.1,-5.0,3.92,0,2,6.2,아니오,2022-04-20,2026-04-20
KODEX 코스닥150선물인버스,4,위,가능,전체,10,0,6.33,0.63,70.0,7.29,-5.0,3.45,0,1,6.7,예,2017-04-20,2026-04-20
KODEX 코스닥150선물인버스,4,위,가능,앞 절반,5,0,10.74,2.15,80.0,7.29,-0.68,3.06,0,0,6.8,아니오,2017-04-20,2021-04-20
KODEX 코스닥150선물인버스,4,위,가능,뒤 절반,5,0,-4.4,-0.88,60.0,2.33,-5.0,3.41,0,1,6.6,아니오,2022-04-20,2026-04-20
KODEX 코스닥150선물인버스,4,위,가능,최근 10년,10,0,6.33,0.63,70.0,7.29,-5.0,3.45,0,1,6.7,예,2017-04-20,2026-04-20
KODEX 코스닥150선물인버스,4,위,가능,최근 5년,5,0,-4.4,-0.88,60.0,2.33,-5.0,3.41,0,1,6.6,아니오,2022-04-20,2026-04-20
KODEX 코스닥150선물인버스,5,아래,가능,전체,10,0,19.43,1.94,80.0,7.35,-1.12,2.52,0,0,7.6,예,2017-05-19,2026-05-20
KODEX 코스닥150선물인버스,5,아래,가능,앞 절반,5,0,4.8,0.96,80.0,2.21,-1.12,1.35,0,0,7.8,아니오,2017-05-19,2021-05-20
KODEX 코스닥150선물인버스,5,아래,가능,뒤 절반,5,0,14.62,2.92,80.0,7.35,-1.1,3.17,0,0,7.4,아니오,2022-05-20,2026-05-20
KODEX 코스닥150선물인버스,5,아래,가능,최근 10년,10,0,19.43,1.94,80.0,7.35,-1.12,2.52,0,0,7.6,예,2017-05-19,2026-05-20
KODEX 코스닥150선물인버스,5,아래,가능,최근 5년,5,0,14.62,2.92,80.0,7.35,-1.1,3.17,0,0,7.4,아니오,2022-05-20,2026-05-20
KODEX 코스닥150선물인버스,5,위,가능,전체,10,0,-17.08,-1.71,20.0,1.12,-5.0,2.02,0,1,7.1,예,2017-05-19,2026-05-20
KODEX 코스닥150선물인버스,5,위,가능,앞 절반,5,0,-4.8,-0.96,20.0,1.12,-2.21,1.35,0,0,7.8,아니오,2017-05-19,2021-05-20
KODEX 코스닥150선물인버스,5,위,가능,뒤 절반,5,0,-12.28,-2.46,20.0,1.1,-5.0,2.44,0,1,6.4,아니오,2022-05-20,2026-05-20
KODEX 코스닥150선물인버스,5,위,가능,최근 10년,10,0,-17.08,-1.71,20.0,1.12,-5.0,2.02,0,1,7.1,예,2017-05-19,2026-05-20
KODEX 코스닥150선물인버스,5,위,가능,최근 5년,5,0,-12.28,-2.46,20.0,1.1,-5.0,2.44,0,1,6.4,아니오,2022-05-20,2026-05-20
