종목,청산 요일,만기월,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),손익비,손익분기 적중률(%),빗나간 표본,기준선(%),기준선 대비 차이(%p),우연확률,시기 구간,가장 약한 시기(%),1차 판정,뒷받침 충족,뒷받침 물음,미충족
KODEX 200,금요일,11,24,아래,50.0,0.03,0.76,1.025,49.37,12,45.1,4.9,0.6368,2,41.67,제외,1,4,차이 · 우연확률 · 시기
KODEX 200,금요일,12,24,아래,37.5,-0.05,-1.17,1.557,39.11,15,33.67,3.83,0.8458,2,25.0,제외,1,4,차이 · 우연확률 · 시기
KODEX 200,목요일,1,24,위,66.67,0.11,2.56,0.548,64.62,8,55.0,11.67,0.2836,2,66.67,후보,2,4,우연확률 · 손익비
KODEX 200,목요일,2,24,위,58.33,0.59,14.26,1.425,41.23,9,56.04,2.29,0.806,2,58.33,제외,2,4,차이 · 우연확률
KODEX 200,목요일,3,24,위,66.67,0.58,13.92,0.745,57.29,8,53.4,13.27,0.2289,2,50.0,후보,1,4,우연확률 · 시기 · 손익비
KODEX 200,목요일,4,24,위,66.67,0.86,20.68,1.372,42.15,8,54.46,12.21,0.2637,2,58.33,후보,3,4,우연확률
KODEX 200,목요일,5,24,아래,45.83,0.08,2.01,1.273,44.0,13,41.67,4.17,0.6119,2,41.67,제외,1,4,차이 · 우연확률 · 시기
KODEX 200,목요일,6,24,아래,54.17,-0.48,-11.45,0.604,62.36,11,45.0,9.17,0.393,2,50.0,제외,0,4,차이 · 우연확률 · 시기 · 손익비
KODEX 200,목요일,7,24,위,70.83,0.44,10.51,0.753,57.05,7,60.38,10.46,0.4129,2,66.67,후보,2,4,우연확률 · 손익비
KODEX 200,목요일,8,24,아래,45.83,0.67,16.13,1.955,33.84,13,43.14,2.7,0.8159,2,33.33,제외,1,4,차이 · 우연확률 · 시기
KODEX 200,목요일,9,23,위,78.26,0.89,20.42,0.668,59.97,5,60.22,18.05,0.0796,2,72.73,후보,2,4,우연확률 · 손익비
KODEX 200,목요일,10,23,위,56.52,0.26,5.99,0.952,51.24,10,52.08,4.44,0.6468,2,45.45,제외,0,4,차이 · 우연확률 · 시기 · 손익비
KODEX 200,목요일,11,24,아래,50.0,0.04,0.86,1.028,49.32,12,39.22,10.78,0.3333,2,41.67,제외,2,4,우연확률 · 시기
KODEX 200,목요일,12,24,아래,41.67,0.14,3.28,1.691,37.16,14,38.78,2.89,0.7811,2,25.0,제외,1,4,차이 · 우연확률 · 시기
