날짜,종가,NAV,괴리율
2018-07-04,9485,9489.62,-0.05
2018-07-05,9505,9514.87,-0.1
2018-07-06,9485,9496.75,-0.12
2018-07-09,9455,9469.52,-0.15
2018-07-10,9500,9500.43,-0.0
2018-07-11,9525,9532.95,-0.08
2018-07-12,9585,9589.67,-0.05
2018-07-13,9575,9572.06,0.03
2018-07-16,9610,9605.49,0.05
2018-07-17,9575,9575.17,-0.0
2018-07-18,9635,9642.04,-0.07
2018-07-19,9645,9650.99,-0.06
2018-07-20,9640,9661.97,-0.23
2018-07-23,9635,9632.42,0.03
2018-07-24,9665,9681.18,-0.17
2018-07-25,9595,9592.0,0.03
2018-07-26,9525,9550.68,-0.27
2018-07-27,9520,9509.6,0.11
2018-07-30,9530,9547.21,-0.18
2018-07-31,9535,9533.0,0.02
2018-08-01,9545,9549.53,-0.05
2018-08-02,9585,9589.93,-0.05
2018-08-03,9610,9613.62,-0.04
2018-08-06,9565,9581.51,-0.17
2018-08-07,9580,9574.15,0.06
2018-08-08,9545,9544.64,0.0
2018-08-09,9525,9532.24,-0.08
2018-08-10,9615,9624.91,-0.1
2018-08-13,9665,9667.83,-0.03
2018-08-14,9620,9624.37,-0.05
2018-08-16,9640,9631.76,0.09
2018-08-17,9605,9589.76,0.16
2018-08-20,9580,9572.94,0.07
2018-08-21,9540,9540.75,-0.01
2018-08-22,9545,9539.43,0.06
2018-08-23,9565,9562.85,0.02
2018-08-24,9540,9537.82,0.02
2018-08-27,9505,9498.74,0.07
2018-08-28,9465,9470.82,-0.06
2018-08-29,9470,9475.4,-0.06
2018-08-30,9465,9468.03,-0.03
2018-08-31,9505,9499.24,0.06
2018-09-03,9480,9471.54,0.09
2018-09-04,9505,9517.01,-0.13
2018-09-05,9560,9564.26,-0.04
2018-09-06,9585,9591.1,-0.06
2018-09-07,9560,9578.72,-0.2
2018-09-10,9630,9642.11,-0.13
2018-09-11,9595,9608.21,-0.14
2018-09-12,9630,9634.99,-0.05
2018-09-13,9585,9588.73,-0.04
