종목,테스트,파라미터,시작연도,방향,시대 구간,사건,구간,기준,신호,제외,표본,평균(%),중앙값(%),승률(%),최고(%),최악(%),표준편차(%)
QQQ,테스트 B(연속 등락),N=3,2003,연속 상승,전체,66,1일,종가,440,0,440,0.05,0.09,53.86,4.35,-5.18,1.12
QQQ,테스트 B(연속 등락),N=3,2003,연속 상승,전체,66,1일,익일시가,440,0,440,0.01,0.05,52.73,4.6,-3.74,0.92
QQQ,테스트 B(연속 등락),N=3,2003,연속 상승,전체,66,1주,종가,440,0,440,0.16,0.47,59.55,7.56,-13.58,2.52
QQQ,테스트 B(연속 등락),N=3,2003,연속 상승,전체,66,1주,익일시가,440,0,440,0.12,0.38,57.95,8.08,-12.16,2.42
QQQ,테스트 B(연속 등락),N=3,2003,연속 상승,전체,66,1개월,종가,440,1,439,1.31,1.8,66.97,15.03,-25.03,5.09
QQQ,테스트 B(연속 등락),N=3,2003,연속 상승,전체,66,1개월,익일시가,440,1,439,1.28,1.82,68.56,15.64,-24.87,5.06
QQQ,테스트 B(연속 등락),N=3,2003,연속 상승,전체,66,3개월,종가,440,5,435,3.8,4.5,70.57,28.43,-35.63,8.43
QQQ,테스트 B(연속 등락),N=3,2003,연속 상승,전체,66,3개월,익일시가,440,5,435,3.77,4.54,70.34,28.47,-35.52,8.41
QQQ,테스트 B(연속 등락),N=3,2003,연속 상승,전체,66,6개월,종가,440,7,433,7.74,8.76,78.75,44.68,-43.31,11.63
QQQ,테스트 B(연속 등락),N=3,2003,연속 상승,전체,66,6개월,익일시가,440,7,433,7.7,8.73,78.98,44.73,-43.52,11.6
QQQ,테스트 B(연속 등락),N=3,2003,연속 상승,전체,66,1년,종가,440,16,424,15.49,15.9,86.79,67.76,-44.37,17.96
QQQ,테스트 B(연속 등락),N=3,2003,연속 상승,전체,66,1년,익일시가,440,16,424,15.44,16.01,86.32,65.25,-44.25,17.9
QQQ,테스트 B(연속 등락),N=3,2003,연속 하락,전체,105,1일,종가,289,1,288,0.28,0.3,58.33,6.18,-5.22,1.61
QQQ,테스트 B(연속 등락),N=3,2003,연속 하락,전체,105,1일,익일시가,289,1,288,0.13,0.11,53.12,6.47,-5.42,1.36
QQQ,테스트 B(연속 등락),N=3,2003,연속 하락,전체,105,1주,종가,289,1,288,0.56,0.61,59.72,10.03,-13.43,3.31
QQQ,테스트 B(연속 등락),N=3,2003,연속 하락,전체,105,1주,익일시가,289,1,288,0.41,0.5,56.6,16.33,-15.82,3.31
QQQ,테스트 B(연속 등락),N=3,2003,연속 하락,전체,105,1개월,종가,289,2,287,1.59,2.22,63.41,22.07,-18.55,5.95
QQQ,테스트 B(연속 등락),N=3,2003,연속 하락,전체,105,1개월,익일시가,289,2,287,1.44,2.22,62.37,19.7,-18.08,5.87
QQQ,테스트 B(연속 등락),N=3,2003,연속 하락,전체,105,3개월,종가,289,6,283,4.16,4.97,70.67,42.46,-39.65,10.04
QQQ,테스트 B(연속 등락),N=3,2003,연속 하락,전체,105,3개월,익일시가,289,6,283,4.02,4.71,71.73,39.7,-40.07,9.93
QQQ,테스트 B(연속 등락),N=3,2003,연속 하락,전체,105,6개월,종가,289,9,280,7.31,9.07,73.57,56.8,-41.25,14.19
QQQ,테스트 B(연속 등락),N=3,2003,연속 하락,전체,105,6개월,익일시가,289,9,280,7.18,8.97,72.86,53.75,-41.33,14.15
QQQ,테스트 B(연속 등락),N=3,2003,연속 하락,전체,105,1년,종가,289,15,274,14.4,15.28,84.67,81.78,-43.52,20.53
QQQ,테스트 B(연속 등락),N=3,2003,연속 하락,전체,105,1년,익일시가,289,15,274,14.28,14.99,84.67,78.25,-44.1,20.55
QQQ,테스트 B(연속 등락),N=4,2003,연속 상승,전체,102,1일,종가,237,0,237,-0.02,0.09,56.54,2.62,-5.48,1.06
QQQ,테스트 B(연속 등락),N=4,2003,연속 상승,전체,102,1일,익일시가,237,0,237,-0.01,0.09,54.01,2.25,-3.59,0.81
QQQ,테스트 B(연속 등락),N=4,2003,연속 상승,전체,102,1주,종가,237,0,237,0.15,0.43,57.81,6.55,-10.05,2.22
QQQ,테스트 B(연속 등락),N=4,2003,연속 상승,전체,102,1주,익일시가,237,0,237,0.16,0.34,57.38,6.67,-8.64,2.16
QQQ,테스트 B(연속 등락),N=4,2003,연속 상승,전체,102,1개월,종가,237,1,236,1.42,2.23,69.49,15.82,-15.91,5.06
QQQ,테스트 B(연속 등락),N=4,2003,연속 상승,전체,102,1개월,익일시가,237,1,236,1.42,2.09,70.76,16.39,-16.1,4.99
