종목,월,방향,손절선(%),구간,신호,제외,합계(%),평균(%),승률(%),최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능
229200,2,아래,4.0,최근 5년,5,0,-4.7,-0.94,40.0,2.55,-4.0,2.52,0,1,5.8,아니오
229200,2,아래,5.0,전체,11,0,10.16,0.92,63.64,8.23,-5.0,3.68,0,1,5.91,예
229200,2,아래,5.0,앞 절반,5,0,9.94,1.99,80.0,8.23,-0.77,3.57,0,0,6.0,아니오
229200,2,아래,5.0,뒤 절반,6,0,0.22,0.04,50.0,5.92,-5.0,3.85,0,1,5.83,아니오
229200,2,아래,5.0,최근 10년,10,0,10.93,1.09,70.0,8.23,-5.0,3.83,0,1,5.9,예
229200,2,아래,5.0,최근 5년,5,0,-5.7,-1.14,40.0,2.55,-5.0,2.85,0,1,6.0,아니오
229200,2,아래,6.0,전체,11,0,10.83,0.98,63.64,8.23,-4.33,3.57,0,0,5.91,예
229200,2,아래,6.0,앞 절반,5,0,9.94,1.99,80.0,8.23,-0.77,3.57,0,0,6.0,아니오
229200,2,아래,6.0,뒤 절반,6,0,0.9,0.15,50.0,5.92,-4.33,3.68,0,0,5.83,아니오
229200,2,아래,6.0,최근 10년,10,0,11.61,1.16,70.0,8.23,-4.33,3.72,0,0,5.9,예
229200,2,아래,6.0,최근 5년,5,0,-5.02,-1.0,40.0,2.55,-4.33,2.63,0,0,6.0,아니오
229200,2,아래,7.0,전체,11,0,10.83,0.98,63.64,8.23,-4.33,3.57,0,0,5.91,예
229200,2,아래,7.0,앞 절반,5,0,9.94,1.99,80.0,8.23,-0.77,3.57,0,0,6.0,아니오
229200,2,아래,7.0,뒤 절반,6,0,0.9,0.15,50.0,5.92,-4.33,3.68,0,0,5.83,아니오
229200,2,아래,7.0,최근 10년,10,0,11.61,1.16,70.0,8.23,-4.33,3.72,0,0,5.9,예
229200,2,아래,7.0,최근 5년,5,0,-5.02,-1.0,40.0,2.55,-4.33,2.63,0,0,6.0,아니오
229200,2,아래,8.0,전체,11,0,10.83,0.98,63.64,8.23,-4.33,3.57,0,0,5.91,예
229200,2,아래,8.0,앞 절반,5,0,9.94,1.99,80.0,8.23,-0.77,3.57,0,0,6.0,아니오
229200,2,아래,8.0,뒤 절반,6,0,0.9,0.15,50.0,5.92,-4.33,3.68,0,0,5.83,아니오
229200,2,아래,8.0,최근 10년,10,0,11.61,1.16,70.0,8.23,-4.33,3.72,0,0,5.9,예
229200,2,아래,8.0,최근 5년,5,0,-5.02,-1.0,40.0,2.55,-4.33,2.63,0,0,6.0,아니오
229200,2,아래,9.0,전체,11,0,10.83,0.98,63.64,8.23,-4.33,3.57,0,0,5.91,예
