종목,월,방향,손절적용,구간,신호,제외,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),질 때 표본,최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,구간 시작일,구간 종료일
KODEX 코스닥150,4,위,가능,최근 5년,5,0,-6.5,-1.3,40.0,0.625,61.52,3,3.86,-5.0,3.82,0,2,6.4,아니오,2022-04-20,2026-04-20
KODEX 코스닥150,5,아래,가능,전체,11,0,-19.52,-1.77,18.18,0.497,66.81,9,1.42,-5.0,2.15,0,2,7.09,예,2016-05-20,2026-05-20
KODEX 코스닥150,5,아래,가능,앞 절반,5,0,-5.94,-1.19,20.0,0.771,56.48,4,1.42,-2.56,1.66,0,0,7.8,아니오,2016-05-20,2020-05-20
KODEX 코스닥150,5,아래,가능,뒤 절반,6,0,-13.59,-2.26,16.67,0.345,74.37,5,1.01,-5.0,2.53,0,2,6.5,아니오,2021-05-20,2026-05-20
KODEX 코스닥150,5,아래,가능,최근 10년,10,0,-16.97,-1.7,20.0,0.5,66.68,8,1.42,-5.0,2.25,0,2,7.1,예,2017-05-19,2026-05-20
KODEX 코스닥150,5,아래,가능,최근 5년,5,0,-13.12,-2.62,20.0,0.285,77.83,4,1.01,-5.0,2.65,0,2,6.4,아니오,2022-05-20,2026-05-20
KODEX 코스닥150,5,위,가능,전체,11,0,20.39,1.85,81.82,2.092,32.34,2,6.48,-1.42,2.33,0,0,7.55,예,2016-05-20,2026-05-20
KODEX 코스닥150,5,위,가능,앞 절반,5,0,5.94,1.19,80.0,1.298,43.52,1,2.56,-1.42,1.66,0,0,7.8,아니오,2016-05-20,2020-05-20
KODEX 코스닥150,5,위,가능,뒤 절반,6,0,14.45,2.41,83.33,3.074,24.55,1,6.48,-1.01,2.8,0,0,7.33,아니오,2021-05-20,2026-05-20
KODEX 코스닥150,5,위,가능,최근 10년,10,0,17.83,1.78,80.0,2.09,32.36,2,6.48,-1.42,2.44,0,0,7.6,예,2017-05-19,2026-05-20
KODEX 코스닥150,5,위,가능,최근 5년,5,0,13.99,2.8,80.0,3.726,21.16,1,6.48,-1.01,2.94,0,0,7.4,아니오,2022-05-20,2026-05-20
KODEX 코스닥150,6,아래,가능,전체,11,0,21.36,1.94,81.82,5.31,15.85,2,7.77,-0.76,2.36,0,0,7.18,예,2016-06-20,2026-06-19
KODEX 코스닥150,6,아래,가능,앞 절반,5,0,11.05,2.21,80.0,16.273,5.79,1,7.77,-0.17,3.23,0,0,7.2,아니오,2016-06-20,2020-06-19
KODEX 코스닥150,6,아래,가능,뒤 절반,6,0,10.31,1.72,83.33,2.912,25.56,1,4.12,-0.76,1.62,0,0,7.17,아니오,2021-06-18,2026-06-19
KODEX 코스닥150,6,아래,가능,최근 10년,10,0,20.49,2.05,80.0,5.742,14.83,2,7.77,-0.76,2.46,0,0,7.1,예,2017-06-20,2026-06-19
KODEX 코스닥150,6,아래,가능,최근 5년,5,0,11.07,2.21,100.0,,,0,4.12,1.13,1.2,0,0,7.0,아니오,2022-06-20,2026-06-19
KODEX 코스닥150,6,위,가능,전체,11,0,-26.25,-2.39,18.18,0.154,86.62,9,0.76,-5.0,2.25,0,4,5.82,예,2016-06-20,2026-06-19
KODEX 코스닥150,6,위,가능,앞 절반,5,0,-12.42,-2.48,20.0,0.055,94.81,4,0.17,-5.0,2.47,0,2,6.2,아니오,2016-06-20,2020-06-19
