종목,사이클 위치,진입 연도,분할 방식,미체결 처리,진입일,진입가,2번째 몫 체결일,2번째 몫 체결가,2번째 몫 체결 사유,3번째 몫 체결일,3번째 몫 체결가,3번째 몫 체결 사유,4번째 몫 체결일,4번째 몫 체결가,4번째 몫 체결 사유,청산일,청산가,투자 비율(%),첫 몫 대비 평균 매수가(%),수익률(%),보유 중 최악(%)
SPY,중간선거해,1998,B 사다리 10%,현금 유지,1998-09-30,101.75,,,미체결,,,미체결,,,,1999-06-30,137.0,33.33,0.0,11.55,-3.12
SPY,중간선거해,2002,B 사다리 10%,현금 유지,2002-09-30,81.79,,,미체결,,,미체결,,,,2003-06-30,97.63,33.33,0.0,6.46,-1.92
SPY,중간선거해,2006,B 사다리 10%,현금 유지,2006-09-29,133.58,,,미체결,,,미체결,,,,2007-06-29,150.43,33.33,0.0,4.2,-0.23
SPY,중간선거해,2010,B 사다리 10%,현금 유지,2010-09-30,114.13,,,미체결,,,미체결,,,,2011-06-30,131.97,33.33,0.0,5.21,-0.28
SPY,중간선거해,2014,B 사다리 10%,현금 유지,2014-09-30,197.02,,,미체결,,,미체결,,,,2015-06-30,205.85,33.33,0.0,1.49,-2.55
SPY,중간선거해,2018,B 사다리 10%,현금 유지,2018-09-28,290.72,2018-12-17,255.36,단계 도달,,,미체결,,,,2019-06-28,293.0,66.67,-6.48,5.17,-9.35
SPY,중간선거해,2022,B 사다리 10%,현금 유지,2022-09-30,357.18,,,미체결,,,미체결,,,,2023-06-30,443.28,33.33,0.0,8.04,-0.85
SPY,중간선거해,1994,C1 RSI(14) 30 아래,12월 말 일괄 매수,1994-09-30,46.1719,1994-12-30,45.5625,12월 말 일괄,1994-12-30,45.5625,12월 말 일괄,,,,1995-06-30,54.4062,100.0,-0.88,18.88,-1.13
SPY,중간선거해,1998,C1 RSI(14) 30 아래,12월 말 일괄 매수,1998-09-30,101.75,1998-12-31,123.3125,12월 말 일괄,1998-12-31,123.3125,12월 말 일괄,,,,1999-06-30,137.0,100.0,13.2,18.95,-3.12
SPY,중간선거해,2002,C1 RSI(14) 30 아래,12월 말 일괄 매수,2002-09-30,81.79,2002-12-31,88.23,12월 말 일괄,2002-12-31,88.23,12월 말 일괄,,,,2003-06-30,97.63,100.0,5.11,13.56,-7.67
