종목,사이클 위치,방향,손절선(%),시기,신호,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),손익분기 대비(%p),이길 때(%),질 때(%),질 때 표본,최고(%),최악(%),보유 중 최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,시기 시작일,시기 종료일,1차 판정
DIA,중간선거해,위,-8.0,뒤 절반,4,29.82,7.45,75.0,1.576,38.82,36.18,12.61,-8.0,1,19.68,-8.0,-8.0,12.36,0,1,146.25,아니오,2010-09-30,2022-09-30,판정 안 함
DIA,중간선거해,위,-8.0,최근 10년,2,11.68,5.84,50.0,2.46,28.9,21.1,19.68,-8.0,1,19.68,-8.0,-8.0,19.58,0,1,104.0,아니오,2018-09-28,2022-09-30,판정 안 함
DIA,중간선거해,위,-8.0,최근 5년,1,19.68,19.68,100.0,,,,19.68,,0,19.68,19.68,-0.24,,0,0,187.0,아니오,2022-09-30,2022-09-30,판정 안 함
DIA,중간선거해,위,-10.0,전체,7,100.96,14.42,85.71,1.849,35.1,50.61,18.49,-10.0,1,39.89,-10.0,-10.0,15.33,0,1,168.71,아니오,1998-09-30,2022-09-30,후보
DIA,중간선거해,위,-10.0,앞 절반,3,73.15,24.38,100.0,,,,24.38,,0,39.89,14.96,-5.22,13.53,0,0,187.67,아니오,1998-09-30,2006-09-29,판정 안 함
DIA,중간선거해,위,-10.0,뒤 절반,4,27.82,6.95,75.0,1.261,44.24,30.76,12.61,-10.0,1,19.68,-10.0,-10.0,13.2,0,1,154.5,아니오,2010-09-30,2022-09-30,판정 안 함
DIA,중간선거해,위,-10.0,최근 10년,2,9.68,4.84,50.0,1.968,33.69,16.31,19.68,-10.0,1,19.68,-10.0,-10.0,20.99,0,1,120.5,아니오,2018-09-28,2022-09-30,판정 안 함
DIA,중간선거해,위,-10.0,최근 5년,1,19.68,19.68,100.0,,,,19.68,,0,19.68,19.68,-0.24,,0,0,187.0,아니오,2022-09-30,2022-09-30,판정 안 함
DIA,중간선거해,위,-12.0,전체,7,98.96,14.14,85.71,1.541,39.35,46.36,18.49,-12.0,1,39.89,-12.0,-12.0,15.87,0,1,169.0,아니오,1998-09-30,2022-09-30,후보
DIA,중간선거해,위,-12.0,앞 절반,3,73.15,24.38,100.0,,,,24.38,,0,39.89,14.96,-5.22,13.53,0,0,187.67,아니오,1998-09-30,2006-09-29,판정 안 함
DIA,중간선거해,위,-12.0,뒤 절반,4,25.82,6.45,75.0,1.05,48.77,26.23,12.61,-12.0,1,19.68,-12.0,-12.0,14.07,0,1,155.0,아니오,2010-09-30,2022-09-30,판정 안 함
DIA,중간선거해,위,-12.0,최근 10년,2,7.68,3.84,50.0,1.64,37.87,12.13,19.68,-12.0,1,19.68,-12.0,-12.0,22.4,0,1,121.5,아니오,2018-09-28,2022-09-30,판정 안 함
DIA,중간선거해,위,-12.0,최근 5년,1,19.68,19.68,100.0,,,,19.68,,0,19.68,19.68,-0.24,,0,0,187.0,아니오,2022-09-30,2022-09-30,판정 안 함
DIA,중간선거해,위,-15.0,전체,7,95.96,13.71,85.71,1.233,44.78,40.93,18.49,-15.0,1,39.89,-15.0,-15.0,16.71,0,1,169.29,아니오,1998-09-30,2022-09-30,후보
DIA,중간선거해,위,-15.0,앞 절반,3,73.15,24.38,100.0,,,,24.38,,0,39.89,14.96,-5.22,13.53,0,0,187.67,아니오,1998-09-30,2006-09-29,판정 안 함
DIA,중간선거해,위,-15.0,뒤 절반,4,22.82,5.7,75.0,0.84,54.34,20.66,12.61,-15.0,1,19.68,-15.0,-15.0,15.4,0,1,155.5,아니오,2010-09-30,2022-09-30,판정 안 함
DIA,중간선거해,위,-15.0,최근 10년,2,4.68,2.34,50.0,1.312,43.25,6.75,19.68,-15.0,1,19.68,-15.0,-15.0,24.52,0,1,122.5,아니오,2018-09-28,2022-09-30,판정 안 함
DIA,중간선거해,위,-15.0,최근 5년,1,19.68,19.68,100.0,,,,19.68,,0,19.68,19.68,-0.24,,0,0,187.0,아니오,2022-09-30,2022-09-30,판정 안 함
DIA,중간선거해,위,-20.0,전체,7,111.51,15.93,100.0,,,,15.93,,0,39.89,0.55,-17.94,12.85,0,0,187.71,아니오,1998-09-30,2022-09-30,후보
DIA,중간선거해,위,-20.0,앞 절반,3,73.15,24.38,100.0,,,,24.38,,0,39.89,14.96,-5.22,13.53,0,0,187.67,아니오,1998-09-30,2006-09-29,판정 안 함
DIA,중간선거해,위,-20.0,뒤 절반,4,38.37,9.59,100.0,,,,9.59,,0,19.68,0.55,-17.94,9.11,0,0,187.75,아니오,2010-09-30,2022-09-30,판정 안 함
DIA,중간선거해,위,-20.0,최근 10년,2,20.23,10.12,100.0,,,,10.12,,0,19.68,0.55,-17.94,13.53,0,0,187.0,아니오,2018-09-28,2022-09-30,판정 안 함
DIA,중간선거해,위,-20.0,최근 5년,1,19.68,19.68,100.0,,,,19.68,,0,19.68,19.68,-0.24,,0,0,187.0,아니오,2022-09-30,2022-09-30,판정 안 함
DIA,중간선거해,위,-25.0,전체,7,111.51,15.93,100.0,,,,15.93,,0,39.89,0.55,-17.94,12.85,0,0,187.71,아니오,1998-09-30,2022-09-30,후보
DIA,중간선거해,위,-25.0,앞 절반,3,73.15,24.38,100.0,,,,24.38,,0,39.89,14.96,-5.22,13.53,0,0,187.67,아니오,1998-09-30,2006-09-29,판정 안 함
DIA,중간선거해,위,-25.0,뒤 절반,4,38.37,9.59,100.0,,,,9.59,,0,19.68,0.55,-17.94,9.11,0,0,187.75,아니오,2010-09-30,2022-09-30,판정 안 함
DIA,중간선거해,위,-25.0,최근 10년,2,20.23,10.12,100.0,,,,10.12,,0,19.68,0.55,-17.94,13.53,0,0,187.0,아니오,2018-09-28,2022-09-30,판정 안 함
DIA,중간선거해,위,-25.0,최근 5년,1,19.68,19.68,100.0,,,,19.68,,0,19.68,19.68,-0.24,,0,0,187.0,아니오,2022-09-30,2022-09-30,판정 안 함
DIA,중간선거해,위,-30.0,전체,7,111.51,15.93,100.0,,,,15.93,,0,39.89,0.55,-17.94,12.85,0,0,187.71,아니오,1998-09-30,2022-09-30,후보
DIA,중간선거해,위,-30.0,앞 절반,3,73.15,24.38,100.0,,,,24.38,,0,39.89,14.96,-5.22,13.53,0,0,187.67,아니오,1998-09-30,2006-09-29,판정 안 함
DIA,중간선거해,위,-30.0,뒤 절반,4,38.37,9.59,100.0,,,,9.59,,0,19.68,0.55,-17.94,9.11,0,0,187.75,아니오,2010-09-30,2022-09-30,판정 안 함
DIA,중간선거해,위,-30.0,최근 10년,2,20.23,10.12,100.0,,,,10.12,,0,19.68,0.55,-17.94,13.53,0,0,187.0,아니오,2018-09-28,2022-09-30,판정 안 함
DIA,중간선거해,위,-30.0,최근 5년,1,19.68,19.68,100.0,,,,19.68,,0,19.68,19.68,-0.24,,0,0,187.0,아니오,2022-09-30,2022-09-30,판정 안 함
QQQ,중간선거해,위,무손절,전체,6,125.02,20.84,100.0,,,,20.84,,0,44.55,0.51,-22.78,17.13,0,0,187.67,아니오,2002-09-30,2022-09-30,후보
QQQ,중간선거해,위,무손절,앞 절반,3,77.91,25.97,100.0,,,,25.97,,0,44.55,16.26,-4.63,16.09,0,0,188.0,아니오,2002-09-30,2010-09-30,판정 안 함
QQQ,중간선거해,위,무손절,뒤 절반,3,47.12,15.71,100.0,,,,15.71,,0,38.22,0.51,-22.78,19.9,0,0,187.33,아니오,2014-09-30,2022-09-30,판정 안 함
QQQ,중간선거해,위,무손절,최근 10년,2,38.74,19.37,100.0,,,,19.37,,0,38.22,0.51,-22.78,26.67,0,0,187.0,아니오,2018-09-28,2022-09-30,판정 안 함
QQQ,중간선거해,위,무손절,최근 5년,1,38.22,38.22,100.0,,,,38.22,,0,38.22,38.22,-4.86,,0,0,187.0,아니오,2022-09-30,2022-09-30,판정 안 함
QQQ,중간선거해,위,-5.0,전체,6,106.13,17.69,66.67,5.807,14.69,51.98,29.03,-5.0,2,44.55,-5.0,-5.0,20.86,0,2,128.0,아니오,2002-09-30,2022-09-30,후보
QQQ,중간선거해,위,-5.0,앞 절반,3,77.91,25.97,100.0,,,,25.97,,0,44.55,16.26,-4.63,16.09,0,0,188.0,아니오,2002-09-30,2010-09-30,판정 안 함
QQQ,중간선거해,위,-5.0,뒤 절반,3,28.22,9.41,33.33,7.645,11.57,21.76,38.22,-5.0,2,38.22,-5.0,-5.0,24.96,0,2,68.0,아니오,2014-09-30,2022-09-30,판정 안 함
QQQ,중간선거해,위,-5.0,최근 10년,2,33.22,16.61,50.0,7.645,11.57,38.43,38.22,-5.0,1,38.22,-5.0,-5.0,30.56,0,1,97.5,아니오,2018-09-28,2022-09-30,판정 안 함
QQQ,중간선거해,위,-5.0,최근 5년,1,38.22,38.22,100.0,,,,38.22,,0,38.22,38.22,-4.86,,0,0,187.0,아니오,2022-09-30,2022-09-30,판정 안 함
QQQ,중간선거해,위,-8.0,전체,6,100.13,16.69,66.67,3.629,21.6,45.07,29.03,-8.0,2,44.55,-8.0,-8.0,22.18,0,2,128.5,아니오,2002-09-30,2022-09-30,후보
QQQ,중간선거해,위,-8.0,앞 절반,3,77.91,25.97,100.0,,,,25.97,,0,44.55,16.26,-4.63,16.09,0,0,188.0,아니오,2002-09-30,2010-09-30,판정 안 함
QQQ,중간선거해,위,-8.0,뒤 절반,3,22.22,7.41,33.33,4.778,17.31,16.02,38.22,-8.0,2,38.22,-8.0,-8.0,26.69,0,2,69.0,아니오,2014-09-30,2022-09-30,판정 안 함
QQQ,중간선거해,위,-8.0,최근 10년,2,30.22,15.11,50.0,4.778,17.31,32.69,38.22,-8.0,1,38.22,-8.0,-8.0,32.69,0,1,98.0,아니오,2018-09-28,2022-09-30,판정 안 함
QQQ,중간선거해,위,-8.0,최근 5년,1,38.22,38.22,100.0,,,,38.22,,0,38.22,38.22,-4.86,,0,0,187.0,아니오,2022-09-30,2022-09-30,판정 안 함
QQQ,중간선거해,위,-10.0,전체,6,114.51,19.09,83.33,2.49,28.65,54.68,24.9,-10.0,1,44.55,-10.0,-10.0,19.94,0,1,159.5,아니오,2002-09-30,2022-09-30,후보
