종목,사이클 위치,진입 연도,방향,손절선(%),진입일,진입가,청산일,보유일,청산가,수익률(%),보유 중 최악(%),청산 사유
DIA,대선해,2004,위,-15.0,2004-10-01,102.16,2005-06-30,188,102.75,0.58,-4.79,기한청산
DIA,대선해,2008,위,-15.0,2008-10-01,108.7,2008-10-08,5,92.395,-15.0,-15.0,장중손절
DIA,대선해,2012,위,-15.0,2012-10-01,134.78,2013-06-28,185,148.55,10.22,-7.69,기한청산
DIA,대선해,2016,위,-15.0,2016-10-03,182.32,2017-06-30,187,213.24,16.96,-2.02,기한청산
DIA,대선해,2020,위,-15.0,2020-10-01,278.14,2021-06-30,187,344.95,24.02,-6.01,기한청산
DIA,대선해,2024,위,-15.0,2024-10-01,421.5,2025-06-30,185,440.65,4.54,-13.09,기한청산
DIA,대선해,2000,위,-20.0,2000-10-02,107.0938,2001-06-29,187,105.24,-1.73,-15.03,기한청산
DIA,대선해,2004,위,-20.0,2004-10-01,102.16,2005-06-30,188,102.75,0.58,-4.79,기한청산
DIA,대선해,2008,위,-20.0,2008-10-01,108.7,2008-10-09,6,86.96,-20.0,-20.0,장중손절
DIA,대선해,2012,위,-20.0,2012-10-01,134.78,2013-06-28,185,148.55,10.22,-7.69,기한청산
DIA,대선해,2016,위,-20.0,2016-10-03,182.32,2017-06-30,187,213.24,16.96,-2.02,기한청산
DIA,대선해,2020,위,-20.0,2020-10-01,278.14,2021-06-30,187,344.95,24.02,-6.01,기한청산
DIA,대선해,2024,위,-20.0,2024-10-01,421.5,2025-06-30,185,440.65,4.54,-13.09,기한청산
DIA,대선해,2000,위,-25.0,2000-10-02,107.0938,2001-06-29,187,105.24,-1.73,-15.03,기한청산
DIA,대선해,2004,위,-25.0,2004-10-01,102.16,2005-06-30,188,102.75,0.58,-4.79,기한청산
DIA,대선해,2008,위,-25.0,2008-10-01,108.7,2008-10-10,7,81.525,-25.0,-25.0,장중손절
DIA,대선해,2012,위,-25.0,2012-10-01,134.78,2013-06-28,185,148.55,10.22,-7.69,기한청산
DIA,대선해,2016,위,-25.0,2016-10-03,182.32,2017-06-30,187,213.24,16.96,-2.02,기한청산
DIA,대선해,2020,위,-25.0,2020-10-01,278.14,2021-06-30,187,344.95,24.02,-6.01,기한청산
DIA,대선해,2024,위,-25.0,2024-10-01,421.5,2025-06-30,185,440.65,4.54,-13.09,기한청산
DIA,대선해,2000,위,-30.0,2000-10-02,107.0938,2001-06-29,187,105.24,-1.73,-15.03,기한청산
DIA,대선해,2004,위,-30.0,2004-10-01,102.16,2005-06-30,188,102.75,0.58,-4.79,기한청산
DIA,대선해,2008,위,-30.0,2008-10-01,108.7,2008-11-20,36,76.09,-30.0,-30.0,장중손절
DIA,대선해,2012,위,-30.0,2012-10-01,134.78,2013-06-28,185,148.55,10.22,-7.69,기한청산
DIA,대선해,2016,위,-30.0,2016-10-03,182.32,2017-06-30,187,213.24,16.96,-2.02,기한청산
DIA,대선해,2020,위,-30.0,2020-10-01,278.14,2021-06-30,187,344.95,24.02,-6.01,기한청산
DIA,대선해,2024,위,-30.0,2024-10-01,421.5,2025-06-30,185,440.65,4.54,-13.09,기한청산
DIA,대선다음해,2001,위,무손절,2001-10-01,88.68,2002-06-28,187,92.53,4.34,-0.72,기한청산
