종목,조합,월,방향,손절선(%),시기,신호,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),손익분기 대비(%p),이길 때(%),질 때(%),질 때 표본,최고(%),최악(%),보유 중 최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,시기 시작일,시기 종료일,1차 판정
SPY,만기→말일,12,아래,-5.0,최근 5년,5,-3.67,-0.73,40.0,0.34,74.63,-34.63,0.54,-1.58,3,0.86,-3.28,-4.16,1.62,0,0,8.0,아니오,2021-12-17,2025-12-19,판정 안 함
SPY,만기→말일,12,아래,무손절,전체,33,-24.28,-0.74,39.39,0.466,68.21,-28.82,0.81,-1.74,20,1.96,-4.06,-5.27,1.63,0,0,7.64,예,1993-12-17,2025-12-19,제외
SPY,만기→말일,12,아래,무손절,앞 절반,16,-7.28,-0.46,50.0,0.526,65.55,-15.55,1.01,-1.92,8,1.96,-4.06,-5.27,1.82,0,0,7.69,예,1993-12-17,2008-12-19,판정 안 함
SPY,만기→말일,12,아래,무손절,뒤 절반,17,-17.0,-1.0,29.41,0.307,76.54,-47.13,0.5,-1.62,12,0.86,-3.83,-4.45,1.44,0,0,7.59,예,2009-12-18,2025-12-19,판정 안 함
SPY,만기→말일,12,아래,무손절,최근 10년,10,-8.59,-0.86,30.0,0.394,71.71,-41.71,0.58,-1.48,7,0.86,-3.83,-4.45,1.59,0,0,7.7,예,2016-12-16,2025-12-19,판정 안 함
SPY,만기→말일,12,아래,무손절,최근 5년,5,-3.67,-0.73,40.0,0.34,74.63,-34.63,0.54,-1.58,3,0.86,-3.28,-4.16,1.62,0,0,8.0,아니오,2021-12-17,2025-12-19,판정 안 함
SPY,20일→다음주금,9,위,-5.0,전체,33,-26.13,-0.79,39.39,0.538,63.06,-23.67,1.17,-2.18,19,5.8,-5.76,-5.76,2.32,1,3,5.94,예,1993-09-20,2025-09-19,제외
SPY,20일→다음주금,9,위,-5.0,앞 절반,16,-5.02,-0.31,50.0,0.623,57.76,-7.76,1.55,-2.49,7,5.8,-5.0,-5.0,2.7,0,2,6.19,예,1993-09-20,2008-09-19,판정 안 함
SPY,20일→다음주금,9,위,-5.0,뒤 절반,17,-21.11,-1.24,29.41,0.279,78.16,-48.75,0.56,-1.99,12,1.35,-5.76,-5.76,1.87,1,1,5.71,예,2009-09-18,2025-09-19,판정 안 함
SPY,20일→다음주금,9,위,-5.0,최근 10년,10,-7.92,-0.79,40.0,0.352,73.95,-33.95,0.61,-1.72,6,1.35,-5.0,-5.0,1.82,0,1,6.0,예,2016-09-20,2025-09-19,판정 안 함
SPY,20일→다음주금,9,위,-5.0,최근 5년,5,-7.21,-1.44,40.0,0.117,89.49,-49.49,0.31,-2.61,3,0.57,-5.0,-5.0,2.32,0,1,5.8,아니오,2021-09-20,2025-09-19,판정 안 함
SPY,20일→다음주금,9,위,무손절,전체,33,-24.67,-0.75,39.39,0.558,62.26,-22.87,1.17,-2.1,19,5.8,-7.01,-7.38,2.31,0,0,6.48,예,1993-09-20,2025-09-19,제외
SPY,20일→다음주금,9,위,무손절,앞 절반,16,-1.47,-0.09,50.0,0.782,52.6,-2.6,1.55,-1.99,7,5.8,-3.81,-5.99,2.34,0,0,6.62,예,1993-09-20,2008-09-19,판정 안 함
SPY,20일→다음주금,9,위,무손절,뒤 절반,17,-23.2,-1.36,29.41,0.257,79.56,-50.15,0.56,-2.16,12,1.35,-7.01,-7.38,2.17,0,0,6.35,예,2009-09-18,2025-09-19,판정 안 함
SPY,20일→다음주금,9,위,무손절,최근 10년,10,-9.92,-0.99,40.0,0.295,77.22,-37.22,0.61,-2.06,6,1.35,-7.01,-7.04,2.37,0,0,6.5,예,2016-09-20,2025-09-19,판정 안 함
SPY,20일→다음주금,9,위,무손절,최근 5년,5,-9.22,-1.84,40.0,0.093,91.45,-51.45,0.31,-3.28,3,0.57,-7.01,-7.04,3.12,0,0,6.8,아니오,2021-09-20,2025-09-19,판정 안 함
SPY,20일→다음주금,9,아래,-5.0,전체,33,25.47,0.77,57.58,1.894,33.51,24.07,2.1,-1.11,13,7.01,-5.0,-5.0,2.25,0,1,6.48,예,1993-09-20,2025-09-19,제외
SPY,20일→다음주금,9,아래,-5.0,앞 절반,16,2.28,0.14,43.75,1.367,39.61,4.14,1.99,-1.45,8,3.81,-5.0,-5.0,2.21,0,1,6.62,예,1993-09-20,2008-09-19,판정 안 함
SPY,20일→다음주금,9,아래,-5.0,뒤 절반,17,23.2,1.36,70.59,3.893,20.44,50.15,2.16,-0.56,5,7.01,-1.35,-2.5,2.17,0,0,6.35,예,2009-09-18,2025-09-19,판정 안 함
SPY,20일→다음주금,9,아래,-5.0,최근 10년,10,9.92,0.99,60.0,3.389,22.78,37.22,2.06,-0.61,4,7.01,-1.35,-2.5,2.37,0,0,6.5,예,2016-09-20,2025-09-19,판정 안 함
SPY,20일→다음주금,9,아래,-5.0,최근 5년,5,9.22,1.84,60.0,10.699,8.55,51.45,3.28,-0.31,2,7.01,-0.57,-2.5,3.12,0,0,6.8,아니오,2021-09-20,2025-09-19,판정 안 함
SPY,20일→다음주금,9,아래,무손절,전체,33,24.67,0.75,57.58,1.794,34.71,22.87,2.1,-1.17,13,7.01,-5.8,-11.05,2.31,0,0,6.48,예,1993-09-20,2025-09-19,제외
SPY,20일→다음주금,9,아래,무손절,앞 절반,16,1.47,0.09,43.75,1.278,41.15,2.6,1.99,-1.55,8,3.81,-5.8,-11.05,2.34,0,0,6.62,예,1993-09-20,2008-09-19,판정 안 함
SPY,20일→다음주금,9,아래,무손절,뒤 절반,17,23.2,1.36,70.59,3.893,20.44,50.15,2.16,-0.56,5,7.01,-1.35,-2.5,2.17,0,0,6.35,예,2009-09-18,2025-09-19,판정 안 함
SPY,20일→다음주금,9,아래,무손절,최근 10년,10,9.92,0.99,60.0,3.389,22.78,37.22,2.06,-0.61,4,7.01,-1.35,-2.5,2.37,0,0,6.5,예,2016-09-20,2025-09-19,판정 안 함
SPY,20일→다음주금,9,아래,무손절,최근 5년,5,9.22,1.84,60.0,10.699,8.55,51.45,3.28,-0.31,2,7.01,-0.57,-2.5,3.12,0,0,6.8,아니오,2021-09-20,2025-09-19,판정 안 함
SPY,20일→다음주금,12,위,-5.0,전체,33,18.95,0.57,63.64,1.219,45.08,18.56,1.7,-1.39,12,4.39,-5.0,-5.0,2.02,0,1,5.39,예,1993-12-20,2025-12-19,제외
SPY,20일→다음주금,12,위,-5.0,앞 절반,16,10.43,0.65,56.25,1.962,33.76,22.49,1.92,-0.98,7,3.91,-2.9,-3.06,1.89,0,0,5.62,예,1993-12-20,2008-12-19,판정 안 함
SPY,20일→다음주금,12,위,-5.0,뒤 절반,17,8.52,0.5,70.59,0.776,56.31,14.28,1.53,-1.98,5,4.39,-5.0,-5.0,2.19,0,1,5.18,예,2009-12-18,2025-12-19,판정 안 함
SPY,20일→다음주금,12,위,-5.0,최근 10년,10,2.76,0.28,60.0,0.955,51.15,8.85,1.52,-1.6,4,4.39,-5.0,-5.0,2.37,0,1,5.2,예,2016-12-20,2025-12-19,판정 안 함
