종목,조합,월,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 평균(%),내린 평균(%),오른 건수,내린 건수,기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),기준선 오른 평균(%),기준선 내린 평균(%),기준선 오른 건수,기준선 내린 건수,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능,다른 조합과 같은 해,이 조합만 다른 해,배당락 대조 건수,배당락 걸린 건수,배당락 평균 왜곡(%p)
KODEX 200,20일→다음주금,9,23,0,23,-1.11,-0.49,43.48,56.52,2.96,-8.09,2.82,1.28,2.94,10,13,451,1,450,0.39,0.45,57.78,41.78,9.89,-13.91,3.23,2.45,2.46,260,188,-1.5,-0.94,-14.3,14.74,0.033,0.1638,0.1978,0.1908,,False,예,20,3,12,0,0.0018
KODEX 200,20일→다음주금,12,24,0,24,0.97,1.17,83.33,16.67,5.02,-6.41,2.75,1.99,4.1,20,4,488,0,488,0.94,0.89,64.96,34.63,14.47,-6.41,2.89,2.52,2.01,317,169,0.03,0.27,18.37,-17.96,0.96,0.5964,0.0659,0.0669,,False,예,24,0,12,3,0.0
KODEX 200,20일→말일,9,23,0,23,-1.13,-0.49,39.13,60.87,2.25,-8.09,2.55,1.01,2.5,9,14,451,23,428,0.33,0.36,55.14,44.39,12.15,-11.38,3.71,2.77,2.7,236,190,-1.46,-0.85,-16.01,16.48,0.0689,0.2218,0.1538,0.1508,,False,예,21,2,12,1,0.003
KODEX 200,20일→말일,12,24,0,24,1.3,1.39,79.17,16.67,6.61,-10.06,3.48,2.53,4.24,19,4,488,24,464,1.56,1.34,71.34,28.23,12.1,-12.94,3.93,3.35,2.95,331,131,-0.26,0.05,7.83,-11.57,0.7712,0.9311,0.4955,0.2647,,False,예,24,0,12,3,0.0
코스피200 지수,만기→다음주금,9,36,0,36,-1.06,-0.26,41.67,58.33,5.2,-12.13,3.62,1.88,3.17,15,21,143,1,142,0.15,0.59,54.23,45.77,11.39,-12.8,3.33,2.41,2.52,77,65,-1.22,-0.84,-12.56,12.56,0.012,0.1309,0.1209,0.1209,,False,예,17,19,,,
코스피200 지수,만기→다음주금,12,36,0,36,0.08,0.35,58.33,41.67,8.13,-7.17,3.43,2.13,2.8,21,15,136,0,136,0.33,0.5,56.62,43.38,18.01,-17.74,3.96,2.64,2.69,77,59,-0.25,-0.14,1.72,-1.72,0.6334,0.8561,0.8541,0.8541,,False,예,19,17,,,
코스피200 지수,만기→말일,9,36,0,36,-0.94,-0.56,41.67,58.33,4.62,-10.08,3.73,2.34,3.28,15,21,143,12,131,-0.22,0.04,52.67,47.33,11.39,-14.0,4.49,2.91,3.71,69,62,-0.72,-0.6,-11.01,11.01,0.2777,0.2957,0.1508,0.1508,,False,예,18,18,,,
코스피200 지수,만기→말일,12,36,0,36,0.25,-0.19,47.22,52.78,10.76,-11.44,4.4,3.54,2.69,17,19,136,5,131,0.37,0.06,51.91,48.09,20.71,-12.26,4.66,3.59,3.11,68,63,-0.11,-0.25,-4.69,4.69,0.7932,0.5355,0.5614,0.5614,,True,예,19,17,,,
코스피200 지수,20일→다음주금,9,36,0,36,-1.12,-0.65,44.44,55.56,5.2,-10.03,3.44,1.76,3.43,16,20,742,1,741,0.04,0.25,54.52,45.48,11.39,-15.38,3.83,2.63,3.07,404,337,-1.16,-0.89,-10.08,10.08,0.0549,0.1109,0.2188,0.2188,,False,예,27,9,,,
코스피200 지수,20일→다음주금,12,36,0,36,0.32,0.47,61.11,38.89,8.22,-7.17,3.37,2.25,2.71,22,14,741,1,740,0.53,0.45,56.35,43.65,24.1,-18.36,4.13,3.04,2.72,417,323,-0.21,0.02,4.76,-4.76,0.7483,0.8891,0.5814,0.5814,,False,예,34,2,,,
