대상,격자 칸,진입 달력일,청산 상대 거래일,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 평균(%),내린 평균(%),오른 건수,내린 건수,기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),기준선 오른 평균(%),기준선 내린 평균(%),기준선 오른 건수,기준선 내린 건수,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
KODEX 200,18일 → 말일+3,18,3,287,0,287,0.69,0.57,57.14,42.86,22.93,-14.9,4.35,3.39,2.92,164,123,5894,0,5894,0.83,0.58,56.14,43.47,47.87,-22.47,4.89,3.78,2.98,3309,2562,-0.14,-0.0,1.0,-0.61,0.6274,0.987,0.7822,0.8661,,False,예
KODEX 200,19일 → 말일-3,19,-3,287,0,287,0.18,0.21,56.45,43.55,14.85,-13.77,2.96,1.95,2.11,162,125,4746,0,4746,0.39,0.45,57.5,42.01,28.2,-28.88,4.12,2.72,2.8,2729,1994,-0.2,-0.24,-1.06,1.54,0.3976,0.1748,0.7822,0.6444,,False,예
KODEX 200,19일 → 말일-2,19,-2,287,0,287,0.24,0.33,56.45,43.21,17.61,-17.79,3.4,2.23,2.36,162,124,5033,0,5033,0.41,0.45,58.0,41.74,28.79,-33.39,4.22,2.75,2.85,2919,2101,-0.17,-0.11,-1.55,1.46,0.4825,0.4575,0.6144,0.6214,,False,예
KODEX 200,19일 → 말일-1,19,-1,287,0,287,0.28,0.35,55.05,44.6,16.92,-19.6,3.51,2.47,2.41,158,128,5320,0,5320,0.43,0.42,56.5,43.08,30.71,-34.86,4.23,2.89,2.78,3006,2292,-0.15,-0.07,-1.45,1.52,0.5005,0.5814,0.5964,0.6004,,False,예
KODEX 200,19일 → 말일,19,0,287,0,287,0.46,0.41,55.4,44.25,19.0,-13.05,3.7,2.78,2.45,159,127,5607,0,5607,0.6,0.47,57.52,41.97,29.46,-19.26,4.13,3.01,2.71,3225,2353,-0.14,-0.07,-2.12,2.29,0.5425,0.6823,0.4885,0.4486,,False,예
KODEX 200,19일 → 말일+1,19,1,287,0,287,0.56,0.68,56.1,43.21,23.69,-9.21,3.92,3.08,2.71,161,124,5894,0,5894,0.68,0.61,58.59,41.11,34.67,-26.33,4.32,3.16,2.85,3453,2423,-0.12,0.07,-2.49,2.1,0.6503,0.7473,0.4515,0.5255,,False,예
KODEX 200,19일 → 말일+2,19,2,287,0,287,0.64,0.58,56.45,43.21,23.85,-15.91,4.31,3.28,2.81,162,124,5894,0,5894,0.76,0.59,57.99,41.69,44.87,-25.42,4.7,3.45,2.96,3418,2457,-0.13,-0.02,-1.55,1.52,0.6703,0.8881,0.5774,0.6154,,False,예
KODEX 200,19일 → 말일+3,19,3,287,0,287,0.7,0.62,56.1,43.9,22.93,-13.89,4.35,3.47,2.84,161,126,5894,0,5894,0.83,0.58,56.14,43.47,47.87,-22.47,4.89,3.78,2.98,3309,2562,-0.12,0.05,-0.04,0.43,0.6623,0.8661,1.0,0.9131,,False,예
KODEX 200,20일 → 말일-3,20,-3,285,0,285,0.12,0.16,54.04,45.61,11.84,-15.19,2.63,1.8,1.87,154,130,4746,0,4746,0.39,0.45,57.5,42.01,28.2,-28.88,4.12,2.72,2.8,2729,1994,-0.27,-0.28,-3.47,3.6,0.2567,0.1109,0.2517,0.2338,,False,예
KODEX 200,20일 → 말일-2,20,-2,287,0,287,0.17,0.35,57.84,41.81,15.23,-18.42,3.13,2.02,2.38,166,120,5033,0,5033,0.41,0.45,58.0,41.74,28.79,-33.39,4.22,2.75,2.85,2919,2101,-0.23,-0.1,-0.16,0.07,0.3407,0.5105,1.0,1.0,,False,예
