대상,격자 칸,진입 달력일,청산 상대 거래일,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
코스피200 지수,21일 → 말일-2,21,-2,437,0,437,-0.29,0.02,50.34,49.66,12.22,-17.41,3.41,8137,0,8137,-0.08,0.04,50.4,49.5,37.23,-33.56,5.07,-0.21,-0.02,-0.06,0.15,0.3626,0.975,1.0,0.962,,True,예
코스피200 지수,21일 → 말일-1,21,-1,440,0,440,-0.2,0.11,52.05,47.95,16.73,-18.72,3.71,8577,0,8577,0.02,0.08,51.04,48.86,47.92,-34.66,5.27,-0.22,0.03,1.0,-0.91,0.3307,0.8412,0.6733,0.7103,,True,예
코스피200 지수,21일 → 말일,21,0,440,0,440,-0.03,0.08,50.91,48.86,21.86,-18.45,3.96,9017,0,9017,0.19,0.13,51.59,48.32,50.15,-26.84,5.32,-0.22,-0.05,-0.68,0.54,0.4056,0.8681,0.8252,0.8561,,True,예
코스피200 지수,21일 → 말일+1,21,1,440,0,440,0.31,0.42,55.0,45.0,21.05,-21.33,4.17,9457,0,9457,0.53,0.42,54.96,45.0,43.04,-28.31,5.4,-0.21,-0.0,0.04,-0.0,0.4066,0.952,1.0,1.0,,False,예
코스피200 지수,21일 → 말일+2,21,2,440,0,440,0.37,0.41,54.09,45.91,22.21,-24.38,4.66,9457,0,9457,0.58,0.43,54.86,45.08,45.83,-31.09,5.79,-0.21,-0.02,-0.77,0.83,0.4545,0.9211,0.7822,0.7802,,False,예
코스피200 지수,21일 → 말일+3,21,3,440,0,440,0.47,0.38,53.18,46.82,22.31,-22.64,4.97,9457,0,9457,0.68,0.42,54.01,45.94,48.44,-29.51,6.12,-0.2,-0.05,-0.83,0.87,0.4885,0.8621,0.7642,0.7283,,False,예
코스피200 지수,22일 → 말일-3,22,-3,427,0,427,-0.22,-0.11,46.14,53.4,10.07,-18.3,2.88,7697,0,7697,-0.11,0.02,50.16,49.72,34.14,-29.18,5.02,-0.1,-0.12,-4.03,3.68,0.6833,0.4845,0.1019,0.1359,,False,예
코스피200 지수,22일 → 말일-2,22,-2,436,0,436,-0.18,-0.02,49.31,50.69,10.55,-17.87,3.24,8137,0,8137,-0.08,0.04,50.4,49.5,37.23,-33.56,5.07,-0.1,-0.06,-1.09,1.19,0.6983,0.7423,0.6294,0.6014,,False,예
코스피200 지수,22일 → 말일-1,22,-1,439,0,439,-0.08,0.07,50.8,49.2,17.39,-19.23,3.64,8577,0,8577,0.02,0.08,51.04,48.86,47.92,-34.66,5.27,-0.11,-0.01,-0.25,0.34,0.6444,0.988,0.967,0.9271,,True,예
코스피200 지수,22일 → 말일,22,0,440,0,440,0.09,0.16,51.82,48.18,19.15,-21.21,3.95,9017,0,9017,0.19,0.13,51.59,48.32,50.15,-26.84,5.32,-0.1,0.02,0.23,-0.14,0.7273,0.8681,0.9271,0.957,,False,예
코스피200 지수,22일 → 말일+1,22,1,440,0,440,0.43,0.38,54.55,45.45,17.72,-18.62,4.1,9457,0,9457,0.53,0.42,54.96,45.0,43.04,-28.31,5.4,-0.09,-0.04,-0.42,0.45,0.7113,0.8152,0.9061,0.9021,,False,예
코스피200 지수,22일 → 말일+2,22,2,440,0,440,0.49,0.38,56.36,43.64,18.85,-21.78,4.61,9457,0,9457,0.58,0.43,54.86,45.08,45.83,-31.09,5.79,-0.09,-0.05,1.5,-1.44,0.7542,0.8132,0.5215,0.5185,,False,예
코스피200 지수,22일 → 말일+3,22,3,440,0,440,0.59,0.47,54.32,45.68,19.22,-19.98,4.93,9457,0,9457,0.68,0.42,54.01,45.94,48.44,-29.51,6.12,-0.08,0.05,0.31,-0.26,0.7712,0.8412,0.8901,0.9211,,False,예
코스피200 지수,23일 → 말일-3,23,-3,407,0,407,-0.1,-0.07,47.67,52.33,13.61,-18.71,2.74,7697,0,7697,-0.11,0.02,50.16,49.72,34.14,-29.18,5.02,0.01,-0.09,-2.5,2.61,0.9221,0.6364,0.3327,0.3087,,False,예
