대상,격자 칸,진입 달력일,청산 상대 거래일,시기,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
KODEX 200,18일 → 말일-3,18,-3,앞 절반,143,0,143,0.1,0.39,57.34,42.66,10.81,-13.77,3.32,2370,0,2370,0.2,0.53,56.96,42.45,21.32,-28.11,4.19,-0.1,-0.14,0.38,0.21,0.7493,0.5974,1.0,0.9191,,False,예
KODEX 200,18일 → 말일-3,18,-3,뒤 절반,144,0,144,0.24,0.22,59.03,40.97,8.83,-12.22,2.71,2352,0,2352,0.56,0.38,58.21,41.41,28.2,-28.88,4.04,-0.32,-0.17,0.82,-0.44,0.3247,0.3546,0.8611,0.9231,,False,예
KODEX 200,18일 → 말일-3,18,-3,최근 10년,120,0,120,0.22,0.17,57.5,42.5,8.83,-12.22,2.89,1968,0,1968,0.59,0.34,57.22,42.53,28.2,-28.88,4.33,-0.37,-0.17,0.28,-0.03,0.3037,0.3556,1.0,1.0,,False,예
KODEX 200,18일 → 말일-3,18,-3,최근 5년,60,0,60,0.21,0.13,58.33,41.67,8.83,-12.22,3.52,978,0,978,0.92,0.45,58.79,41.0,28.2,-28.88,5.29,-0.71,-0.32,-0.46,0.66,0.2897,0.3117,1.0,1.0,,False,예
KODEX 200,18일 → 말일-2,18,-2,앞 절반,143,0,143,0.18,0.51,55.94,43.36,11.0,-17.05,3.48,2512,0,2512,0.26,0.5,57.64,42.04,20.55,-30.85,4.13,-0.08,0.02,-1.7,1.32,0.8611,0.9291,0.7592,0.8202,,False,예
KODEX 200,18일 → 말일-2,18,-2,뒤 절반,144,0,144,0.27,0.43,57.64,42.36,11.03,-17.79,3.37,2495,0,2495,0.55,0.42,58.44,41.36,28.79,-33.39,4.32,-0.28,0.01,-0.8,1.0,0.3846,0.959,0.8751,0.8701,,False,예
KODEX 200,18일 → 말일-2,18,-2,최근 10년,120,0,120,0.24,0.4,56.67,43.33,11.03,-17.79,3.61,2088,0,2088,0.56,0.39,57.14,42.67,28.79,-33.39,4.65,-0.32,0.01,-0.47,0.66,0.4635,0.9211,1.0,0.9321,,False,예
KODEX 200,18일 → 말일-2,18,-2,최근 5년,60,0,60,0.21,0.5,56.67,43.33,11.03,-17.79,4.52,1038,0,1038,0.83,0.51,57.13,42.77,28.79,-33.39,5.74,-0.62,-0.01,-0.46,0.56,0.4106,0.978,1.0,1.0,,False,예
KODEX 200,18일 → 말일-1,18,-1,앞 절반,143,0,143,0.39,0.48,58.04,41.96,11.98,-8.65,3.41,2654,0,2654,0.47,0.61,58.06,41.45,21.88,-20.49,3.92,-0.08,-0.13,-0.02,0.51,0.7682,0.6164,1.0,0.9381,,False,예
KODEX 200,18일 → 말일-1,18,-1,뒤 절반,144,0,144,0.16,0.35,56.25,43.06,16.08,-19.6,3.79,2638,0,2638,0.4,0.3,55.08,44.58,30.71,-34.86,4.53,-0.24,0.04,1.17,-1.52,0.4935,0.7982,0.7912,0.7263,,False,예
KODEX 200,18일 → 말일-1,18,-1,최근 10년,120,0,120,0.13,0.26,55.0,44.17,16.08,-19.6,4.08,2208,0,2208,0.4,0.27,54.48,45.2,30.71,-34.86,4.89,-0.28,-0.02,0.52,-1.03,0.5145,0.984,0.9171,0.8521,,False,예
KODEX 200,18일 → 말일-1,18,-1,최근 5년,60,0,60,0.04,0.29,56.67,43.33,16.08,-19.6,5.22,1098,0,1098,0.6,0.36,53.83,45.9,30.71,-34.86,6.12,-0.57,-0.07,2.84,-2.57,0.4456,0.8561,0.6893,0.7782,,False,예
KODEX 200,18일 → 말일,18,0,앞 절반,143,0,143,0.74,0.72,60.84,38.46,14.07,-9.66,3.63,2796,0,2796,0.82,0.85,61.62,37.73,23.77,-19.26,3.99,-0.08,-0.14,-0.78,0.73,0.7842,0.6753,0.8551,0.9301,,False,예
KODEX 200,18일 → 말일,18,0,뒤 절반,144,0,144,0.14,0.13,52.08,46.53,14.98,-15.6,3.72,2781,0,2781,0.38,0.22,53.61,45.99,29.46,-19.11,4.26,-0.23,-0.1,-1.53,0.54,0.4895,0.7063,0.7313,0.9271,,False,예
KODEX 200,18일 → 말일,18,0,최근 10년,120,0,120,0.12,0.05,50.83,48.33,14.98,-15.6,4.01,2328,0,2328,0.39,0.19,52.53,47.08,29.46,-19.11,4.59,-0.27,-0.14,-1.7,1.25,0.4805,0.6703,0.7103,0.7762,,False,예
KODEX 200,18일 → 말일,18,0,최근 5년,60,0,60,0.23,-0.0,50.0,50.0,14.98,-15.6,4.89,1158,0,1158,0.78,0.23,52.42,47.32,29.46,-19.11,5.52,-0.55,-0.23,-2.42,2.68,0.4196,0.6623,0.7023,0.7023,,False,예
KODEX 200,18일 → 말일+1,18,1,앞 절반,143,0,143,0.87,0.95,62.24,37.76,13.81,-9.68,3.85,2938,0,2938,0.93,1.04,62.87,36.76,22.7,-19.96,4.21,-0.06,-0.09,-0.63,1.0,0.7952,0.8292,0.8332,0.7612,,False,예
