대상,격자 칸,진입 달력일,청산 상대 거래일,시기,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
KODEX 200,17일 → 말일-3,17,-3,최근 5년,60,0,60,0.42,0.29,60.0,40.0,8.83,-12.22,3.63,978,0,978,0.92,0.45,58.79,41.0,28.2,-28.88,5.29,-0.5,-0.17,1.21,-1.0,0.4505,0.5624,0.8991,0.8921,,False,예
KODEX 200,17일 → 말일-2,17,-2,앞 절반,143,0,143,0.18,0.47,58.04,41.96,11.0,-17.05,3.5,2512,0,2512,0.26,0.5,57.64,42.04,20.55,-30.85,4.13,-0.08,-0.03,0.4,-0.08,0.8412,0.9361,0.9401,1.0,,False,예
KODEX 200,17일 → 말일-2,17,-2,뒤 절반,144,0,144,0.3,0.44,59.03,40.97,11.43,-17.79,3.35,2495,0,2495,0.55,0.42,58.4,41.4,28.79,-33.39,4.32,-0.25,0.02,0.63,-0.43,0.4276,0.8991,0.9181,0.9291,,False,예
KODEX 200,17일 → 말일-2,17,-2,최근 10년,120,0,120,0.26,0.36,57.5,42.5,11.43,-17.79,3.59,2088,0,2088,0.56,0.39,57.14,42.67,28.79,-33.39,4.65,-0.3,-0.03,0.36,-0.17,0.4965,0.9481,0.9171,1.0,,False,예
KODEX 200,17일 → 말일-2,17,-2,최근 5년,60,0,60,0.41,0.28,51.67,48.33,11.43,-17.79,4.5,1038,0,1038,0.83,0.51,57.13,42.77,28.79,-33.39,5.74,-0.42,-0.23,-5.46,5.56,0.5564,0.6444,0.4116,0.4166,,False,예
KODEX 200,17일 → 말일-1,17,-1,앞 절반,143,0,143,0.39,0.37,53.85,44.06,11.98,-9.28,3.38,2654,0,2654,0.47,0.61,58.06,41.45,21.88,-20.49,3.92,-0.08,-0.25,-4.22,2.61,0.7992,0.3946,0.3367,0.5215,,False,예
KODEX 200,17일 → 말일-1,17,-1,뒤 절반,144,0,144,0.19,0.31,56.94,43.06,16.08,-19.6,3.76,2638,0,2638,0.4,0.3,55.08,44.58,30.71,-34.86,4.53,-0.21,0.01,1.86,-1.52,0.5305,0.9381,0.6683,0.7353,,False,예
KODEX 200,17일 → 말일-1,17,-1,최근 10년,120,0,120,0.15,0.25,55.0,45.0,16.08,-19.6,4.05,2208,0,2208,0.4,0.27,54.48,45.2,30.71,-34.86,4.89,-0.25,-0.02,0.52,-0.2,0.5475,0.979,0.9171,1.0,,False,예
KODEX 200,17일 → 말일-1,17,-1,최근 5년,60,0,60,0.24,0.39,53.33,46.67,16.08,-19.6,5.17,1098,0,1098,0.6,0.36,53.83,45.9,30.71,-34.86,6.12,-0.36,0.04,-0.49,0.77,0.6274,0.957,1.0,0.8861,,False,예
KODEX 200,17일 → 말일,17,0,앞 절반,143,0,143,0.74,0.68,58.04,41.96,14.07,-9.28,3.59,2796,0,2796,0.82,0.86,61.62,37.73,23.77,-19.26,3.99,-0.08,-0.17,-3.58,4.23,0.7542,0.5544,0.3626,0.2697,,False,예
KODEX 200,17일 → 말일,17,0,뒤 절반,144,0,144,0.18,0.27,54.86,45.14,15.03,-11.22,3.69,2781,0,2781,0.37,0.22,53.61,45.99,29.46,-19.11,4.26,-0.2,0.05,1.25,-0.85,0.5704,0.7872,0.8022,0.8711,,False,예
KODEX 200,17일 → 말일,17,0,최근 10년,120,0,120,0.15,0.13,52.5,47.5,15.03,-11.22,3.97,2328,0,2328,0.39,0.19,52.53,47.08,29.46,-19.11,4.59,-0.25,-0.06,-0.03,0.42,0.5285,0.8631,1.0,0.9271,,False,예
KODEX 200,17일 → 말일,17,0,최근 5년,60,0,60,0.43,-0.06,50.0,50.0,15.03,-10.88,4.79,1158,0,1158,0.78,0.23,52.42,47.32,29.46,-19.11,5.52,-0.35,-0.29,-2.42,2.68,0.5974,0.5874,0.7023,0.7023,,False,예
KODEX 200,17일 → 말일+1,17,1,앞 절반,143,0,143,0.87,0.8,62.24,37.06,13.81,-9.77,3.82,2938,0,2938,0.93,1.04,62.87,36.76,22.7,-19.96,4.21,-0.06,-0.23,-0.63,0.3,0.8102,0.4945,0.8541,0.9271,,False,예
KODEX 200,17일 → 말일+1,17,1,뒤 절반,144,0,144,0.26,0.4,54.17,45.83,20.64,-10.37,3.98,2924,0,2924,0.44,0.29,54.51,45.28,34.67,-26.33,4.43,-0.18,0.11,-0.35,0.55,0.6134,0.6364,0.9361,0.9371,,False,예
