대상,월,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
코스피200 지수,10,36,0,36,-0.36,-0.33,47.22,52.78,14.2,-15.31,5.05,737,0,737,0.24,0.05,50.2,49.66,37.84,-26.84,7.44,-0.6,-0.39,-2.98,3.12,0.6004,0.6424,0.7223,0.7213,,False,예
코스피200 지수,11,36,0,36,0.15,0.96,55.56,44.44,13.86,-14.27,4.39,773,0,773,-0.04,0.17,51.1,48.9,19.02,-25.69,5.26,0.18,0.79,4.46,-4.46,0.7792,0.1938,0.5814,0.5814,,False,예
코스피200 지수,12,36,0,36,0.4,0.14,55.56,44.44,8.8,-11.44,3.92,705,0,705,0.47,0.35,54.33,45.53,26.94,-14.6,4.72,-0.07,-0.21,1.23,-1.09,0.8811,0.7592,1.0,1.0,,False,예
코스피 종합지수,1,47,0,47,0.51,0.38,57.45,42.55,8.66,-6.96,4.28,981,0,981,1.28,0.38,54.84,45.06,47.18,-12.83,6.09,-0.77,-0.01,2.6,-2.5,0.3706,0.8971,0.7632,0.7612,,False,예
코스피 종합지수,2,47,0,47,-0.66,0.04,53.19,46.81,7.5,-9.5,3.4,919,0,919,-0.23,-0.2,47.12,52.77,26.15,-15.13,4.64,-0.43,0.24,6.08,-5.97,0.5085,0.5714,0.4715,0.4655,,True,예
코스피 종합지수,3,47,0,47,0.74,0.58,63.83,36.17,12.04,-12.61,4.2,1022,0,1022,1.02,0.96,63.99,36.01,20.38,-16.25,4.62,-0.28,-0.38,-0.16,0.16,0.6993,0.4635,1.0,1.0,,False,예
코스피 종합지수,4,47,0,47,0.27,0.6,55.32,44.68,9.97,-10.27,3.68,1012,0,1012,0.9,0.73,58.4,41.6,26.08,-17.85,5.21,-0.63,-0.14,-3.08,3.08,0.3926,0.8731,0.7742,0.7742,,False,예
코스피 종합지수,5,47,0,47,1.19,1.47,59.57,40.43,17.58,-10.06,4.33,978,0,978,0.93,0.61,59.51,40.39,22.19,-18.33,4.57,0.26,0.85,0.07,0.04,0.7323,0.1289,1.0,1.0,,False,예
코스피 종합지수,6,47,0,47,-0.13,-0.54,40.43,59.57,8.07,-6.36,3.52,994,0,994,-0.08,-0.18,47.99,52.01,19.3,-13.88,4.4,-0.05,-0.36,-7.56,7.56,0.9241,0.4316,0.2877,0.2877,,False,예
코스피 종합지수,7,47,0,47,0.52,0.9,57.45,42.55,9.85,-9.36,3.64,1055,0,1055,0.72,0.59,58.77,41.23,18.94,-20.57,4.82,-0.2,0.31,-1.32,1.32,0.8032,0.6154,1.0,1.0,,False,예
코스피 종합지수,8,47,0,47,0.37,-0.2,46.81,53.19,20.33,-8.9,4.7,1036,0,1036,-0.2,-0.27,44.5,55.5,22.6,-13.45,4.38,0.58,0.07,2.31,-2.31,0.3227,0.7812,0.7582,0.7582,,True,예
코스피 종합지수,9,46,0,46,-1.12,-0.48,39.13,60.87,3.99,-10.46,3.48,942,0,942,-0.58,-0.16,48.09,51.8,11.22,-14.75,4.2,-0.54,-0.32,-8.96,9.06,0.3536,0.5285,0.2328,0.2338,,False,예
코스피 종합지수,10,46,0,46,-0.52,-0.37,45.65,54.35,13.9,-16.77,4.7,961,0,961,-0.16,-0.2,47.87,52.13,32.18,-27.14,6.68,-0.36,-0.17,-2.21,2.21,0.6703,0.6973,0.7542,0.7542,,False,예
코스피 종합지수,11,46,0,46,0.46,0.92,65.22,34.78,13.43,-16.49,4.15,1019,0,1019,0.52,0.62,56.92,43.08,18.34,-26.61,5.02,-0.06,0.3,8.3,-8.3,0.956,0.6064,0.2637,0.2637,,False,예
코스피 종합지수,12,46,0,46,0.41,0.41,52.17,47.83,7.17,-11.54,3.36,906,0,906,0.74,0.75,60.26,39.62,26.12,-14.8,4.37,-0.33,-0.34,-8.09,8.2,0.5534,0.4306,0.2507,0.2478,,False,예
KODEX 코스닥150,1,11,0,11,1.12,1.12,54.55,45.45,26.39,-9.6,9.48,214,0,214,1.13,0.34,51.4,48.6,32.77,-17.96,9.71,-0.0,0.78,3.14,-3.14,0.999,0.6224,1.0,1.0,,False,예
KODEX 코스닥150,2,11,0,11,-0.98,-0.45,36.36,63.64,4.33,-8.23,3.57,194,0,194,0.01,0.42,53.09,46.91,13.87,-9.9,5.05,-1.0,-0.87,-16.73,16.73,0.4895,0.5574,0.3397,0.3397,,False,예
